district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Banana,2002,6,675.0,2,41.71818181818182,1.3906060606060606,2.0067370629850974e-05
ahmadabad,Banana,2002,7,712.5,4,355.80000000000007,11.47741935483871,1.9296217830795932e-05
ahmadabad,Banana,2006,7,504.0,25,614.2,19.81290322580645,1.6314707457000158e-05
ahmadabad,Banana,2006,8,446.0,25,588.0,18.967741935483872,3.0267156518329703e-05
ahmadabad,Banana,2006,9,416.3157894736842,19,114.0,3.8,4.3589307496655816e-05
ahmadabad,Banana,2006,10,341.6666666666667,9,0.0,0.0,3.840154487867378e-05
ahmadabad,Banana,2008,2,1304.878048780488,41,0.0,0.0,3.675588447087456e-05
ahmadabad,Banana,2008,3,1400.0,6,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05
ahmadabad,Banana,2008,4,841.8367346938776,49,2.4,0.08,2.3945607607829e-05
ahmadabad,Banana,2008,5,885.7142857142857,7,0.0,0.0,2.1848210216849822e-05
ahmadabad,Banana,2008,7,475.0,2,283.1,9.13225806451613,2.260650554224059e-05
ahmadabad,Banana,2008,8,672.6470588235294,51,235.9,7.609677419354837,3.8641801018280085e-05
ahmadabad,Banana,2008,9,598.5849056603773,53,131.1,4.37,4.037186397074391e-05
ahmadabad,Banana,2008,10,655.0,20,2.2,0.0709677419354838,3.932383510342132e-05
ahmadabad,Banana,2009,1,588.7254901960785,51,0.0,0.0,4.0747087302437816e-05
ahmadabad,Banana,2009,2,622.0930232558139,43,0.0,0.0,3.3766832062874406e-05
ahmadabad,Banana,2009,3,597.7083333333334,48,0.2,0.0064516129032258,2.6851341813599344e-05
ahmadabad,Banana,2009,4,689.795918367347,49,1.5,0.05,2.3134792960604133e-05
ahmadabad,Banana,2009,5,658.2352941176471,51,0.0,0.0,2.0974650475139565e-05
ahmadabad,Banana,2009,6,659.3137254901961,51,17.1,0.5700000000000001,2.0082294557862617e-05
ahmadabad,Banana,2009,7,683.5344827586207,58,452.9,14.609677419354838,2.111029201948397e-05
ahmadabad,Banana,2009,8,945.0,50,124.5,4.016129032258065,3.6569448274530135e-05
ahmadabad,Banana,2009,9,868.3673469387755,49,16.1,0.5366666666666667,3.9649148696792685e-05
ahmadabad,Banana,2009,10,764.1509433962265,53,1.9,0.0612903225806451,3.395838409913904e-05
ahmadabad,Banana,2009,11,703.2608695652174,46,1.5,0.05,3.217276102460755e-05
ahmadabad,Banana,2009,12,712.5,52,0.4,0.0129032258064516,3.40859821208877e-05
ahmadabad,Banana,2010,1,807.6086956521739,46,1.3,0.0419354838709677,3.604698647025337e-05
ahmadabad,Banana,2010,2,687.8048780487804,41,0.0,0.0,3.1869253498065125e-05
ahmadabad,Banana,2010,3,687.0,50,0.0,0.0,2.5084470714421704e-05
ahmadabad,Banana,2010,4,705.6122448979592,49,0.0,0.0,2.200529165647741e-05
ahmadabad,Banana,2010,5,727.3,50,0.0,0.0,2.007171407263436e-05
ahmadabad,Banana,2010,6,668.75,52,14.6,0.4866666666666666,2.002290102615415e-05
ahmadabad,Banana,2010,7,691.6666666666666,51,339.6,10.95483870967742,2.255873841629846e-05
ahmadabad,Banana,2010,8,744.8,50,442.6,14.27741935483871,3.2205732438232136e-05
ahmadabad,Banana,2010,9,707.8125,48,260.8,8.693333333333333,4.559610648436607e-05
ahmadabad,Banana,2010,10,795.0,50,3.6,0.1161290322580645,4.3520674184389214e-05
ahmadabad,Banana,2010,11,917.8571428571428,42,49.3,1.643333333333333,3.901224088512793e-05
ahmadabad,Banana,2010,12,765.9090909090909,44,1.5,0.0483870967741935,3.744680341643629e-05
ahmadabad,Banana,2011,1,808.3333333333334,36,0.0,0.0,4.203450763616721e-05
ahmadabad,Banana,2011,2,1018.181818181818,33,0.0,0.0,4.083951836030256e-05
ahmadabad,Banana,2011,3,1205.952380952381,42,0.0,0.0,2.9471120754200672e-05
ahmadabad,Banana,2011,4,1186.1702127659576,47,1.3,0.0433333333333333,2.3823716092164785e-05
ahmadabad,Banana,2011,5,1168.2692307692307,52,0.0,0.0,2.2045195652924648e-05
ahmadabad,Banana,2011,6,719.4230769230769,52,2.2,0.0733333333333333,1.5734096315889965e-05
ahmadabad,Banana,2011,7,753.2608695652174,46,237.8,7.670967741935484,2.536464201442824e-05
ahmadabad,Banana,2011,8,952.0833333333334,48,319.6,10.30967741935484,3.502258074228614e-05
ahmadabad,Banana,2011,9,801.9230769230769,52,152.9,5.096666666666667,4.8115735450896725e-05
ahmadabad,Banana,2011,10,665.7777777777778,45,0.2,0.0064516129032258,4.15905270930363e-05
ahmadabad,Banana,2011,11,644.3877551020408,49,0.0,0.0,3.681234060874164e-05
ahmadabad,Banana,2011,12,685.4545454545455,44,0.0,0.0,3.7399040940659465e-05
ahmadabad,Banana,2012,1,730.5555555555555,36,0.0,0.0,3.9490096615958726e-05
ahmadabad,Banana,2012,2,891.6666666666666,36,0.0,0.0,3.6470896191358274e-05
ahmadabad,Banana,2012,3,965.5,40,0.0,0.0,2.755383882199435e-05
ahmadabad,Banana,2012,4,446.25,40,0.4,0.0133333333333333,2.5504882704756164e-05
ahmadabad,Banana,2012,5,1066.571428571429,35,0.0,0.0,2.187474578236645e-05
ahmadabad,Banana,2012,6,1262.2222222222222,45,12.1,0.4033333333333333,2.0578665043537125e-05
ahmadabad,Banana,2012,7,1208.4905660377358,53,115.0,3.70967741935484,1.6491301369643384e-05
ahmadabad,Banana,2012,8,1088.8461538461538,65,112.6,3.6322580645161286,2.8479090943260748e-05
ahmadabad,Banana,2012,9,689.3478260869565,69,251.1,8.37,4.728124608155365e-05
ahmadabad,Banana,2012,10,747.1527777777778,72,0.5,0.0161290322580645,3.8289504275662086e-05
ahmadabad,Banana,2012,11,901.4754098360656,61,0.0,0.0,3.47102364280335e-05
ahmadabad,Banana,2012,12,993.6363636363636,55,0.0,0.0,3.711251140255428e-05
ahmadabad,Banana,2013,1,1097.3684210526317,38,0.0,0.0,3.856358394037367e-05
ahmadabad,Banana,2013,2,1111.7948717948718,39,0.1,0.0035714285714285,3.6533058565094496e-05
ahmadabad,Banana,2013,3,1114.375,40,0.0,0.0,2.7710110226993e-05
ahmadabad,Banana,2013,4,1110.625,48,6.7,0.2233333333333333,2.308900986885841e-05
ahmadabad,Banana,2013,5,477.037037037037,27,0.0,0.0,2.2132935282320857e-05
ahmadabad,Banana,2013,6,258.2608695652174,23,110.2,3.673333333333333,2.252353647885816e-05
ahmadabad,Banana,2013,7,211.11111111111111,18,295.8,9.541935483870969,1.7022086694368705e-05
ahmadabad,Banana,2013,8,210.0,1,146.8,4.735483870967743,4.1705939216023214e-05
ahmadabad,Banana,2013,9,199.0909090909091,22,305.0,10.166666666666666,4.664705449173006e-05
ahmadabad,Banana,2013,10,229.0909090909091,22,90.7,2.925806451612903,4.848301558508023e-05
ahmadabad,Banana,2013,11,276.3333333333333,30,0.0,0.0,4.149167689621332e-05
ahmadabad,Banana,2013,12,272.5,8,0.0,0.0,3.805047920468666e-05
ahmadabad,Banana,2014,1,280.0,2,4.1,0.132258064516129,4.375416162986223e-05
ahmadabad,Banana,2014,5,261.8269230769231,52,0.0,0.0,2.3239107558223665e-05
ahmadabad,Banana,2014,6,238.4090909090909,44,2.8000000000000003,0.0933333333333333,1.997316834987928e-05
ahmadabad,Banana,2014,7,211.4,50,320.6,10.341935483870968,2.053775386116393e-05
ahmadabad,Banana,2014,8,219.56521739130437,46,135.9,4.383870967741935,4.127694207266024e-05
ahmadabad,Banana,2014,9,222.35294117647055,51,301.7,10.056666666666668,4.8125408136149806e-05
ahmadabad,Banana,2014,10,223.54166666666663,48,2.2,0.0709677419354838,4.452559177120333e-05
ahmadabad,Banana,2014,11,250.58823529411765,34,6.2,0.2066666666666666,3.87043634130837e-05
ahmadabad,Banana,2014,12,231.38888888888889,36,0.0,0.0,3.924645696206544e-05
ahmadabad,Banana,2015,1,225.48387096774192,31,5.5,0.1774193548387097,4.429137115981123e-05
ahmadabad,Banana,2015,2,980.0,29,0.0,0.0,3.9949274143456674e-05
ahmadabad,Banana,2015,3,1300.0,6,32.9,1.0612903225806452,3.055394557662524e-05
ahmadabad,Banana,2015,4,896.6666666666666,6,2.8,0.0933333333333333,2.522566601032541e-05
ahmadabad,Banana,2015,5,900.0,1,0.1,0.0032258064516129,2.2208772614804723e-05
ahmadabad,Banana,2015,6,1039.1666666666667,24,44.3,1.4766666666666666,2.123323246445273e-05
ahmadabad,Banana,2015,7,982.4324324324324,37,363.5,11.725806451612904,1.9348974284763044e-05
ahmadabad,Banana,2015,8,980.7692307692308,39,25.8,0.832258064516129,3.993645080618366e-05
ahmadabad,Banana,2015,9,950.0,38,72.3,2.41,4.816321713473653e-05
ahmadabad,Banana,2015,10,973.8636363636364,44,0.0,0.0,4.292876526750568e-05
ahmadabad,Banana,2015,11,1039.0243902439024,41,0.0,0.0,3.8085233574586754e-05
ahmadabad,Banana,2015,12,894.2857142857143,35,0.0,0.0,3.595764888621849e-05
ahmadabad,Banana,2016,1,715.7407407407408,27,0.0,0.0,3.82949029180592e-05
ahmadabad,Banana,2016,2,802.8571428571429,35,0.0,0.0,3.58758547397519e-05
