district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
amreli,Beans,2017,8,2065.0,1,159.6,5.148387096774194,5.670463742000445e-05
amreli,Beans,2017,9,2327.5,2,89.5,2.9833333333333334,6.7223582390645e-05
amreli,Beans,2017,10,1261.5,2,22.0,0.7096774193548387,6.006724069910199e-05
amreli,Beans,2017,11,1733.25,4,0.0,0.0,5.0196016199177394e-05
amreli,Beans,2017,12,2275.0,1,52.900000000000006,1.706451612903226,4.518820137838651e-05
amreli,Beans,2018,1,1973.75,4,0.0,0.0,3.851921189393881e-05
amreli,Beans,2018,2,1995.0,1,0.1,0.0035714285714285,3.04821089281625e-05
amreli,Beans,2018,3,1861.6666666666667,3,0.0,0.0,2.684657651830099e-05
amreli,Beans,2018,4,1636.6,5,0.3,0.01,2.366241612810579e-05
amreli,Beans,2018,5,1763.6,5,0.6,0.0193548387096774,2.0191594475459023e-05
amreli,Beans,2018,6,1741.25,4,13.3,0.4433333333333333,2.092899240131024e-05
amreli,Beans,2018,7,1510.0,1,274.3,8.848387096774195,1.2409608963376372e-05
amreli,Beans,2018,8,2000.0,2,108.8,3.509677419354839,3.8785131472883126e-05
amreli,Beans,2018,10,3060.0,3,0.1,0.0032258064516129,4.62680725455932e-05
amreli,Beans,2018,11,1850.0,1,0.0,0.0,3.935811048476951e-05
amreli,Beans,2018,12,4012.5,2,0.0,0.0,3.429750982370284e-05
amreli,Beans,2019,1,3971.0,3,0.0,0.0,3.157605078545908e-05
amreli,Beans,2019,2,4095.0,2,0.4,0.0142857142857142,2.909319762769552e-05
amreli,Beans,2019,3,4481.0,5,0.0,0.0,2.490678257996999e-05
amreli,Beans,2019,4,5166.666666666667,3,0.0,0.0,2.285470441189334e-05
amreli,Beans,2019,6,2812.6666666666665,3,66.60000000000001,2.22,2.3781206132071503e-05
amreli,Beans,2019,8,2000.0,1,297.4,9.593548387096773,5.662337852556345e-05
amreli,Beans,2019,10,1250.0,1,32.4,1.0451612903225806,6.711231418138825e-05
amreli,Beans,2019,12,3852.5,2,5.800000000000001,0.1870967741935484,5.4606626516601855e-05
amreli,Beans,2020,1,4652.5,2,1.9,0.0612903225806451,4.899520967573585e-05
amreli,Beans,2020,2,5250.0,1,0.0,0.0,4.0911711896084144e-05
amreli,Beans,2020,3,3300.0,1,0.1,0.0032258064516129,3.259821518959986e-05
amreli,Beans,2020,7,5675.0,1,304.9,9.83548387096774,5.348506780328316e-05
amreli,Beans,2020,9,5000.0,1,108.9,3.63,6.667743497761665e-05
amreli,Beans,2020,11,3750.0,1,0.0,0.0,4.956707150364796e-05
amreli,Beans,2021,1,5727.0,5,0.0,0.0,4.779490591896284e-05
amreli,Beans,2021,4,4000.0,1,0.0,0.0,2.9090689533970867e-05
amreli,Beans,2021,9,1755.0,1,502.8,16.76,6.414450665634003e-05
amreli,Beans,2021,10,4000.0,1,28.3,0.9129032258064516,5.929161049373013e-05
amreli,Beans,2022,1,5500.0,1,3.6,0.1161290322580645,4.99096794619047e-05
amreli,Beans,2022,2,4710.0,3,0.0,0.0,4.170617500114927e-05
amreli,Beans,2022,4,5000.0,1,0.0,0.0,2.798920566812281e-05
amreli,Beans,2022,12,3255.0,1,0.9,0.0290322580645161,4.5459638862662445e-05
amreli,Beans,2023,2,5600.0,1,0.0,0.0,3.630461576371185e-05
amreli,Beans,2023,3,9250.0,2,4.1,0.132258064516129,3.030875340378996e-05
amreli,Beans,2023,4,5505.0,1,2.1,0.07,2.843944878290436e-05
amreli,Beans,2023,6,9505.0,1,117.6,3.92,2.610036026850317e-05
anand,Beans,2015,3,3290.0,3,24.7,0.7967741935483871,4.8426807310791616e-05
anand,Beans,2015,4,3425.0,4,2.1,0.0699999999999999,4.205202075820144e-05
anand,Beans,2015,5,3950.0,5,0.5,0.0161290322580645,3.641421853016898e-05
anand,Beans,2015,6,4101.666666666667,3,111.3,3.71,3.1744352579783714e-05
anand,Beans,2015,7,3832.5,2,224.1,7.229032258064516,3.1791690826655315e-05
anand,Beans,2015,11,2662.5,2,0.0,0.0,4.8080660609809125e-05
anand,Beans,2016,3,3755.3333333333335,3,0.7,0.0225806451612903,4.451559854979114e-05
anand,Beans,2016,4,4695.0,4,0.0,0.0,4.023992986935967e-05
anand,Beans,2016,5,5652.5,2,0.2,0.0064516129032258,3.6393084520122e-05
anand,Beans,2016,6,5873.0,1,45.2,1.5066666666666668,2.9809239893759976e-05
anand,Beans,2016,7,6075.0,1,199.3,6.429032258064517,2.4486653264383813e-05
anand,Beans,2016,11,9195.0,1,0.0,0.0,4.620618052298941e-05
anand,Beans,2017,3,4798.0,1,0.2,0.0064516129032258,4.356904426161075e-05
anand,Beans,2017,4,5510.0,2,0.1,0.0033333333333333,4.129342477599949e-05
anand,Beans,2017,6,5380.0,1,77.3,2.5766666666666667,3.486156570204304e-05
anand,Beans,2017,7,5000.0,1,548.4,17.690322580645162,3.067572718982467e-05
anand,Beans,2017,8,5020.0,1,252.2,8.135483870967741,5.274484440554776e-05
anand,Beans,2017,10,4835.0,1,8.3,0.267741935483871,5.184385671731083e-05
anand,Beans,2017,11,4375.0,2,0.0,0.0,4.6256478489659216e-05
anand,Beans,2018,1,3689.0,2,0.0,0.0,5.925182710244541e-05
anand,Beans,2018,2,3655.0,1,0.1,0.0035714285714285,5.372474981680363e-05
anand,Beans,2018,3,3590.833333333333,6,0.0,0.0,4.383019445562136e-05
anand,Beans,2018,4,3547.5,2,2.1,0.07,4.129823243342884e-05
anand,Beans,2018,5,3340.0,1,0.0,0.0,3.533464118561801e-05
anand,Beans,2018,6,3286.5,2,37.4,1.2466666666666666,2.886940846618755e-05
anand,Beans,2018,10,3310.0,1,0.0,0.0,5.2661010297528126e-05
anand,Beans,2020,3,3805.0,1,5.4,0.1741935483870967,4.8162845497560376e-05
anand,Beans,2020,5,3797.6666666666665,3,0.1,0.0032258064516129,3.946074908437278e-05
anand,Beans,2020,6,3834.0,2,95.1,3.17,3.953731118605086e-05
anand,Beans,2020,7,3391.0,2,222.0,7.161290322580645,3.883579920208414e-05
anand,Beans,2021,3,4533.0,1,0.0,0.0,4.482576939441262e-05
anand,Beans,2021,4,4628.0,1,0.0,0.0,4.1832734972549816e-05
anand,Beans,2022,3,4694.0,2,0.0,0.0,4.518505209482587e-05
anand,Beans,2022,4,4515.5,2,0.0,0.0,4.291406924096078e-05
anand,Beans,2023,11,4297.0,1,18.3,0.61,4.543436128432688e-05
banaskantha,Beans,2009,10,1693.75,8,0.1,0.0032258064516129,3.866569667624071e-05
banaskantha,Beans,2009,11,1821.4285714285716,7,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2009,12,1437.5,8,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2010,1,1150.0,7,4.2,0.1354838709677419,3.866569667624071e-05
banaskantha,Beans,2010,3,750.0,3,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2010,8,2750.0,1,347.1,11.196774193548386,3.866569667624071e-05
banaskantha,Beans,2010,9,2750.0,2,115.6,3.8533333333333335,3.866569667624071e-05
banaskantha,Beans,2010,10,2666.6666666666665,6,0.8999999999999999,0.0290322580645161,3.866569667624071e-05
banaskantha,Beans,2010,11,1416.6666666666667,3,75.5,2.5166666666666666,3.866569667624071e-05
banaskantha,Beans,2010,12,1212.5,4,0.2,0.0064516129032258,3.866569667624071e-05
banaskantha,Beans,2011,1,2130.0,5,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2011,4,1100.0,1,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2011,9,2500.0,1,251.3,8.376666666666667,3.866569667624071e-05
banaskantha,Beans,2011,10,2700.0,2,0.2,0.0064516129032258,3.866569667624071e-05
banaskantha,Beans,2011,11,1850.0,5,0.3,0.01,3.866569667624071e-05
banaskantha,Beans,2011,12,1300.0,3,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2012,2,1750.0,2,0.0,0.0,3.866569667624071e-05
banaskantha,Beans,2012,3,1375.0,2,0.0,0.0,3.866569667624071e-05
