district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Carrot,2001,12,550.0,6,1.6136363636363635,0.05205278592375366,3.829408083429443e-05
ahmadabad,Carrot,2002,1,300.0,1,0.8782608695652173,0.02834969611968208,4.140102487551057e-05
ahmadabad,Carrot,2002,2,234.375,8,0.6454545454545455,0.023035154500671732,3.819933382519588e-05
ahmadabad,Carrot,2002,3,187.5,4,2.517391304347826,0.08120617110799437,2.944533888328668e-05
ahmadabad,Carrot,2002,4,233.33333333333331,9,1.4047619047619047,0.046825396825396805,2.5029154284588178e-05
ahmadabad,Carrot,2002,5,678.5714285714286,7,8.94090909090909,0.28841642228738995,2.2118421678291084e-05
ahmadabad,Carrot,2002,6,862.5,4,80.50909090909092,2.6836363636363636,2.0163367254881227e-05
ahmadabad,Carrot,2002,7,850.0,4,352.0086956521739,11.355119214586257,2.0866191101797692e-05
ahmadabad,Carrot,2002,11,737.5,4,4.821739130434782,0.1607246376811594,3.7622105144421015e-05
ahmadabad,Carrot,2002,12,680.0,5,1.6136363636363635,0.05205278592375366,3.829408083429443e-05
ahmadabad,Carrot,2003,1,366.6666666666667,9,0.1,0.0032258064516129,4.140102487551057e-05
ahmadabad,Carrot,2003,2,150.0,1,10.9,0.3892857142857143,3.819933382519588e-05
ahmadabad,Carrot,2003,3,217.8571428571429,7,0.0,0.0,2.944533888328668e-05
ahmadabad,Carrot,2003,4,225.0,11,0.4,0.0133333333333333,2.5029154284588178e-05
ahmadabad,Carrot,2003,5,955.5555555555557,9,0.0,0.0,2.2118421678291084e-05
ahmadabad,Carrot,2003,6,855.5555555555555,9,87.2,2.9066666666666667,2.0163367254881227e-05
ahmadabad,Carrot,2003,7,1125.0,10,397.5,12.82258064516129,2.0866191101797692e-05
ahmadabad,Carrot,2003,8,1375.0,6,194.5,6.274193548387097,3.807829145197295e-05
ahmadabad,Carrot,2003,9,1487.5,8,19.4,0.6466666666666666,4.662284846623507e-05
ahmadabad,Carrot,2003,10,720.0,10,0.6,0.0193548387096774,4.226398822509829e-05
ahmadabad,Carrot,2003,11,925.0,6,0.0,0.0,3.7622105144421015e-05
