district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
amreli,Chili Red,2003,4,4670.833333333333,6,0.0,0.0,2.5321620478150258e-05
amreli,Chili Red,2003,5,3848.928571428572,14,0.1,0.0032258064516129,2.3632074536603635e-05
amreli,Chili Red,2004,3,5272.1875,16,0.0,0.0,2.7653684154594747e-05
amreli,Chili Red,2004,4,4389.736842105263,19,0.0,0.0,2.5321620478150258e-05
amreli,Chili Red,2005,3,5700.5,10,0.1,0.0032258064516129,2.5223973676498737e-05
amreli,Chili Red,2005,4,5618.25,20,1.9,0.0633333333333333,2.3230678973964467e-05
amreli,Chili Red,2005,5,4188.888888888889,9,0.0,0.0,2.2399762831116085e-05
amreli,Chili Red,2006,3,4698.181818181818,11,13.7,0.4419354838709677,2.885752435266206e-05
amreli,Chili Red,2006,4,4984.375,16,0.1,0.0033333333333333,2.457337190414844e-05
amreli,Chili Red,2006,5,5391.25,4,0.6,0.0193548387096774,2.2027132428345106e-05
amreli,Chili Red,2007,3,6094.0625,16,0.0,0.0,2.744307185448957e-05
amreli,Chili Red,2007,4,6364.666666666667,15,0.1,0.0033333333333333,2.5035011472918773e-05
amreli,Chili Red,2008,3,6357.142857142857,7,0.0,0.0,3.046723996764088e-05
amreli,Chili Red,2008,4,5088.636363636364,22,2.5,0.0833333333333333,2.636786595981637e-05
amreli,Chili Red,2008,5,4656.25,4,0.4,0.0129032258064516,2.3961814879354125e-05
amreli,Chili Red,2009,3,6480.555555555556,9,0.0,0.0,2.783630928743344e-05
amreli,Chili Red,2009,4,7811.666666666667,18,0.4,0.0133333333333333,2.557813733582555e-05
amreli,Chili Red,2010,2,8302.5,2,0.2,0.0071428571428571,2.99311631174642e-05
amreli,Chili Red,2010,3,8606.315789473685,19,0.0,0.0,2.498554576857593e-05
amreli,Chili Red,2010,4,6621.666666666667,15,0.0,0.0,2.318176771718019e-05
amreli,Chili Red,2011,4,10907.857142857143,21,0.2,0.0066666666666666,2.683073353077739e-05
amreli,Chili Red,2011,5,9591.666666666666,3,0.2,0.0064516129032258,2.44455117514388e-05
amreli,Chili Red,2012,3,8372.5,10,0.0,0.0,2.87782621560224e-05
amreli,Chili Red,2012,4,6860.0,20,1.1,0.0366666666666666,2.731226484004016e-05
amreli,Chili Red,2013,3,11332.916666666666,12,0.0,0.0,2.460776639368873e-05
amreli,Chili Red,2013,4,12997.142857142857,14,2.4,0.08,2.379236930796437e-05
amreli,Chili Red,2014,3,7643.75,4,5.5,0.1774193548387097,3.198173717609137e-05
amreli,Chili Red,2014,4,7509.523809523809,21,2.2,0.0733333333333333,2.7988453149437736e-05
amreli,Chili Red,2014,5,6369.0,5,1.1,0.0354838709677419,2.5240813755826712e-05
amreli,Chili Red,2015,3,13561.111111111111,9,6.2,0.2,2.7874541930925863e-05
amreli,Chili Red,2015,4,13273.5,20,0.5,0.0166666666666666,2.493419725991732e-05
amreli,Chili Red,2016,3,13738.0,10,3.2,0.1032258064516129,2.706604583342892e-05
amreli,Chili Red,2018,3,11407.35294117647,17,0.0,0.0,2.684657651830099e-05
amreli,Chili Red,2018,4,11705.76923076923,13,0.3,0.01,2.366241612810579e-05
amreli,Chili Red,2023,12,14372.0,25,0.8,0.0258064516129032,4.813282677735804e-05
amreli,Chili Red,2024,1,11915.384615384615,13,0.1,0.0032258064516129,4.676674757856531e-05
amreli,Chili Red,2024,2,11550.0,21,0.0,0.0,3.8224288195182405e-05
amreli,Chili Red,2024,3,9084.615384615385,13,2.2,0.0709677419354838,2.75292990939728e-05
amreli,Chili Red,2024,4,8527.777777777777,18,0.6,0.02,2.6693798635856778e-05
amreli,Chili Red,2024,5,7236.0,25,0.1,0.0032258064516129,2.371741157354099e-05
amreli,Chili Red,2024,6,5982.142857142857,7,93.9,3.13,2.302240684966449e-05
amreli,Chili Red,2024,11,10442.307692307691,13,0.0,0.0,5.140664736722463e-05
amreli,Chili Red,2024,12,11197.058823529413,17,0.0,0.0,4.750942431324641e-05
amreli,Chili Red,2025,1,11852.272727272728,22,0.0,0.0,4.676674757856531e-05
amreli,Chili Red,2025,2,11286.363636363636,22,0.0,0.0,3.40777256563233e-05
amreli,Chili Red,2025,3,8288.888888888889,9,0.0,0.0,2.7653684154594747e-05
amreli,Chili Red,2025,4,5800.0,18,0.0,0.0,2.5321620478150258e-05
amreli,Chili Red,2025,5,5050.0,4,113.7,3.667741935483871,2.3632074536603635e-05
amreli,Chili Red,2025,12,13150.0,8,0.4,0.0129032258064516,4.7821125545302224e-05
amreli,Chili Red,2026,1,16337.5,4,0.2,0.0066666666666666,4.676674757856531e-05
amreli,Chili Red,2026,2,25180.0,5,0.06666666666666667,0.002380952380952367,3.40777256563233e-05
banaskantha,Chili Red,2007,9,1311.2857142857142,7,56.4,1.88,2.9982915806575047e-05
banaskantha,Chili Red,2007,10,1346.388888888889,9,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2007,11,1460.0,4,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2007,12,1185.0,1,0.4,0.0129032258064516,2.9982915806575047e-05
banaskantha,Chili Red,2008,1,1827.5,1,0.1,0.0032258064516129,2.9982915806575047e-05
banaskantha,Chili Red,2008,6,2850.0,1,24.7,0.8233333333333334,2.9982915806575047e-05
banaskantha,Chili Red,2008,8,2240.0,2,209.8,6.767741935483872,2.9982915806575047e-05
banaskantha,Chili Red,2008,9,1796.7857142857142,7,93.6,3.12,2.9982915806575047e-05
banaskantha,Chili Red,2008,10,1278.5,10,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2008,11,1062.0833333333333,6,0.7,0.0233333333333333,2.9982915806575047e-05
banaskantha,Chili Red,2008,12,1250.0,1,4.2,0.1354838709677419,2.9982915806575047e-05
banaskantha,Chili Red,2009,4,2350.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2009,9,2924.375,4,2.4,0.08,2.9982915806575047e-05
banaskantha,Chili Red,2009,10,3031.6071428571427,14,0.1,0.0032258064516129,2.9982915806575047e-05
banaskantha,Chili Red,2009,11,3161.428571428572,7,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2009,12,2883.333333333333,3,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2010,4,2525.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2010,6,3700.0,1,25.9,0.8633333333333333,2.9982915806575047e-05
banaskantha,Chili Red,2010,9,1705.8333333333333,3,115.6,3.8533333333333335,2.9982915806575047e-05
banaskantha,Chili Red,2010,10,1826.8181818181815,11,0.8999999999999999,0.0290322580645161,2.9982915806575047e-05
banaskantha,Chili Red,2010,11,1871.875,8,75.5,2.5166666666666666,2.9982915806575047e-05
banaskantha,Chili Red,2010,12,2163.75,2,0.2,0.0064516129032258,2.9982915806575047e-05
banaskantha,Chili Red,2011,11,2604.375,4,0.3,0.01,2.9982915806575047e-05
banaskantha,Chili Red,2011,12,2500.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2012,10,3324.1666666666665,3,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2012,11,3838.3333333333335,6,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2013,1,2575.0,2,0.7,0.0225806451612903,2.9982915806575047e-05
banaskantha,Chili Red,2013,6,5000.0,1,54.0,1.8,2.9982915806575047e-05
banaskantha,Chili Red,2013,9,3825.0,1,247.8,8.26,2.9982915806575047e-05
banaskantha,Chili Red,2013,10,4260.0,1,55.5,1.7903225806451613,2.9982915806575047e-05
banaskantha,Chili Red,2013,11,4437.5,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2013,12,3755.0,4,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2014,1,3355.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2014,3,4405.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2014,5,4125.0,1,0.9,0.0290322580645161,2.9982915806575047e-05
banaskantha,Chili Red,2014,6,3000.0,1,1.7,0.0566666666666666,2.9982915806575047e-05
banaskantha,Chili Red,2014,9,2877.5,1,153.1,5.1033333333333335,2.9982915806575047e-05
banaskantha,Chili Red,2014,10,3413.125,4,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2014,11,4329.583333333333,6,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2014,12,4105.0,2,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2016,6,4310.0,3,25.3,0.8433333333333333,2.9982915806575047e-05
banaskantha,Chili Red,2016,9,3371.25,2,7.3,0.2433333333333333,2.9982915806575047e-05
banaskantha,Chili Red,2016,10,3743.75,4,84.89999999999999,2.7387096774193544,2.9982915806575047e-05
banaskantha,Chili Red,2017,10,2000.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2017,11,2275.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2017,12,3055.0,1,11.9,0.3838709677419355,2.9982915806575047e-05
banaskantha,Chili Red,2018,10,4048.3333333333335,3,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2018,12,4005.0,1,0.0,0.0,2.9982915806575047e-05
banaskantha,Chili Red,2019,7,3255.0,1,81.2,2.6193548387096777,2.9982915806575047e-05
banaskantha,Chili Red,2019,12,5000.0,1,1.1,0.0354838709677419,2.9982915806575047e-05
banaskantha,Chili Red,2020,1,5000.0,1,1.7,0.0548387096774193,2.9982915806575047e-05
banaskantha,Chili Red,2020,11,4000.0,1,0.0,0.0,2.9982915806575047e-05
bhavnagar,Chili Red,2005,5,1455.0,1,1.4,0.0451612903225806,2.088140615015809e-05
bhavnagar,Chili Red,2008,4,2370.0,1,2.4,0.08,2.7907352123638616e-05
devbhumidwarka,Chili Red,2014,1,7000.0,1,0.0,0.0,2.9982915806575047e-05
devbhumidwarka,Chili Red,2014,2,7155.0,5,0.9,0.0321428571428571,2.9982915806575047e-05
devbhumidwarka,Chili Red,2014,3,6787.0,5,0.0,0.0,2.9982915806575047e-05
devbhumidwarka,Chili Red,2014,4,8453.333333333334,3,0.7,0.0233333333333333,2.9982915806575047e-05
devbhumidwarka,Chili Red,2015,2,3600.0,1,0.3,0.0107142857142857,2.9982915806575047e-05
devbhumidwarka,Chili Red,2015,3,9136.0,5,3.8,0.1225806451612903,2.9982915806575047e-05
devbhumidwarka,Chili Red,2015,4,10675.0,4,1.0,0.0333333333333333,2.9982915806575047e-05
jamnagar,Chili Red,2007,3,5172.0,4,2.6,0.0838709677419354,2.388198624427894e-05
jamnagar,Chili Red,2007,4,5806.5,2,1.6,0.0533333333333333,2.1259266079454898e-05
jamnagar,Chili Red,2007,5,4013.928571428572,14,1.2,0.0387096774193548,1.8737250475883223e-05
jamnagar,Chili Red,2007,6,3300.0,1,124.4,4.1466666666666665,1.7238868061154472e-05
jamnagar,Chili Red,2008,2,3567.333333333333,9,0.9,0.0310344827586206,3.342845712388939e-05
jamnagar,Chili Red,2008,3,4380.923076923077,13,0.8,0.0258064516129032,2.604226673630869e-05
jamnagar,Chili Red,2008,4,4336.0,18,0.9,0.03,2.2463662217334308e-05
jamnagar,Chili Red,2008,5,3216.086956521739,23,0.1,0.0032258064516129,1.9119765082719832e-05
jamnagar,Chili Red,2008,6,2749.0,4,125.3,4.176666666666667,1.6982329085345496e-05
jamnagar,Chili Red,2009,2,4529.0,20,0.0,0.0,2.7620992229550188e-05
jamnagar,Chili Red,2009,3,5045.823529411765,17,1.4,0.0451612903225806,2.214267505674865e-05
jamnagar,Chili Red,2009,4,5837.9473684210525,19,0.2,0.0066666666666666,2.0168475880822664e-05
jamnagar,Chili Red,2009,5,3795.0,3,0.0,0.0,1.716666809450656e-05
jamnagar,Chili Red,2010,2,5353.0,13,0.0,0.0,2.8563363493918068e-05
jamnagar,Chili Red,2010,3,6112.571428571428,14,0.0,0.0,2.2548310614355287e-05
jamnagar,Chili Red,2010,4,5351.529411764706,17,0.0,0.0,2.0461688076294925e-05
jamnagar,Chili Red,2010,5,3561.333333333333,9,0.0,0.0,1.81409105806678e-05
jamnagar,Chili Red,2010,6,3631.5,2,14.9,0.4966666666666667,1.957224072140974e-05
jamnagar,Chili Red,2011,3,9638.9,10,0.0,0.0,2.933600440497545e-05
jamnagar,Chili Red,2011,4,9869.333333333334,15,0.4,0.0133333333333333,2.5078503637906864e-05
jamnagar,Chili Red,2011,5,6603.333333333333,12,0.0,0.0,2.0764039296775428e-05
jamnagar,Chili Red,2011,6,5409.769230769231,13,8.3,0.2766666666666666,1.5367063462856512e-05
jamnagar,Chili Red,2012,3,6165.2,5,0.0,0.0,2.4782344867945827e-05
jamnagar,Chili Red,2012,4,5802.8,5,0.0,0.0,2.4044524476718016e-05
jamnagar,Chili Red,2012,5,3415.555555555556,9,0.3,0.0096774193548387,1.989411971053181e-05
jamnagar,Chili Red,2012,6,3850.0,2,38.5,1.2833333333333334,1.7728541061270976e-05
jamnagar,Chili Red,2012,9,3550.0,1,236.7,7.89,4.284445438773391e-05
jamnagar,Chili Red,2013,3,7499.25,16,0.2,0.0064516129032258,2.06399954242516e-05
jamnagar,Chili Red,2013,4,10342.105263157897,19,3.3,0.11,1.9009280220961192e-05
jamnagar,Chili Red,2013,5,5174.076923076923,13,0.0,0.0,1.7071700372357853e-05
jamnagar,Chili Red,2013,6,5000.0,4,148.0,4.933333333333334,2.152260491474057e-05
jamnagar,Chili Red,2014,3,7299.0,11,0.1,0.0032258064516129,2.729772710222289e-05
jamnagar,Chili Red,2014,4,5950.076923076923,13,1.2999999999999998,0.0433333333333333,2.486374388104917e-05
jamnagar,Chili Red,2014,5,4943.0,21,3.2,0.1032258064516129,2.145060283789144e-05
jamnagar,Chili Red,2014,6,3806.4,10,8.6,0.2866666666666667,1.8192433087323604e-05
jamnagar,Chili Red,2015,3,7034.75,4,11.0,0.3548387096774194,2.2273331268548e-05
jamnagar,Chili Red,2015,4,8123.111111111111,18,0.0,0.0,1.9612278182645896e-05
jamnagar,Chili Red,2016,3,7712.6,5,0.3,0.0096774193548387,2.001644240220352e-05
jamnagar,Chili Red,2016,4,8006.5,8,0.0,0.0,1.835107812711149e-05
jamnagar,Chili Red,2017,1,7132.428571428572,7,0.0,0.0,3.574258369479837e-05
jamnagar,Chili Red,2017,2,6000.0,1,0.0,0.0,2.9723533309970133e-05
jamnagar,Chili Red,2025,11,10887.5,2,9.9,0.3299999999999999,2.2710880633839845e-05
porbandar,Chili Red,2015,12,8550.0,1,0.0,0.0,3.237547266792798e-05
porbandar,Chili Red,2016,2,10586.25,4,0.0,0.0,2.7195746624290787e-05
porbandar,Chili Red,2016,3,8885.0,15,2.3,0.0741935483870967,2.3389181506388006e-05
porbandar,Chili Red,2016,4,10976.111111111111,18,0.0,0.0,2.260213357175897e-05
porbandar,Chili Red,2016,5,10000.0,1,2.1,0.0677419354838709,2.095243569603676e-05
porbandar,Chili Red,2017,1,5947.142857142857,7,0.0,0.0,4.400429428459008e-05
porbandar,Chili Red,2017,2,5948.571428571428,21,0.0,0.0,3.4894577556343586e-05
porbandar,Chili Red,2017,3,4925.588235294118,17,0.1,0.0032258064516129,2.601938714835261e-05
porbandar,Chili Red,2017,4,3449.1304347826085,23,0.0,0.0,2.462658804791987e-05
porbandar,Chili Red,2017,5,2628.181818181818,11,3.5,0.1129032258064516,2.2689975601229064e-05
porbandar,Chili Red,2017,6,2000.0,2,259.8,8.66,2.261075993316635e-05
porbandar,Chili Red,2018,2,6874.0,10,0.1,0.0035714285714285,3.2470432380050484e-05
