district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Drumstick,2001,11,1250.0,2,5.04090909090909,0.168030303030303,3.771675724863355e-05
ahmadabad,Drumstick,2001,12,1205.0,10,1.75,0.056451612903225805,3.859287526826919e-05
ahmadabad,Drumstick,2002,1,1366.6666666666667,6,0.8782608695652173,0.02834969611968208,4.140102487551057e-05
ahmadabad,Drumstick,2002,2,1112.5,16,0.6454545454545455,0.023035154500671732,3.757568374705998e-05
ahmadabad,Drumstick,2002,3,546.6842105263158,19,2.517391304347826,0.08120617110799437,2.944533888328668e-05
ahmadabad,Drumstick,2002,4,456.0,25,1.2826086956521738,0.04275362318840578,2.5079388900194862e-05
ahmadabad,Drumstick,2002,5,776.1904761904761,21,8.94090909090909,0.28841642228738995,2.2118421678291084e-05
ahmadabad,Drumstick,2002,6,1132.5,20,80.55652173913043,2.685217391304348,2.0505425426600558e-05
ahmadabad,Drumstick,2002,7,1268.75,8,352.0086956521739,11.355119214586257,2.0866191101797692e-05
ahmadabad,Drumstick,2002,10,700.0,2,23.278260869565216,0.7509116409537168,4.22872121441419e-05
ahmadabad,Drumstick,2002,11,517.3913043478261,23,5.04090909090909,0.168030303030303,3.771675724863355e-05
ahmadabad,Drumstick,2002,12,627.5,20,1.75,0.056451612903225805,3.859287526826919e-05
ahmadabad,Drumstick,2003,1,696.4285714285714,14,0.1,0.0032258064516129,4.140102487551057e-05
ahmadabad,Drumstick,2003,2,566.6666666666666,12,10.9,0.3892857142857143,3.757568374705998e-05
ahmadabad,Drumstick,2003,3,563.0952380952381,21,0.0,0.0,2.944533888328668e-05
ahmadabad,Drumstick,2003,4,539.1304347826087,23,0.4,0.0133333333333333,2.5079388900194862e-05
ahmadabad,Drumstick,2003,5,468.75,24,0.0,0.0,2.2118421678291084e-05
ahmadabad,Drumstick,2003,6,1231.578947368421,19,87.2,2.9066666666666667,2.0505425426600558e-05
ahmadabad,Drumstick,2003,7,1370.8333333333333,12,397.5,12.82258064516129,2.0866191101797692e-05
ahmadabad,Drumstick,2003,8,1743.75,8,194.5,6.274193548387097,3.807829145197295e-05
ahmadabad,Drumstick,2003,9,1231.25,16,19.4,0.6466666666666666,4.667000624574443e-05
ahmadabad,Drumstick,2003,10,1336.111111111111,18,0.6,0.0193548387096774,4.22872121441419e-05
ahmadabad,Drumstick,2003,11,1313.3333333333333,15,0.0,0.0,3.771675724863355e-05
ahmadabad,Drumstick,2003,12,1555.2631578947369,19,0.0,0.0,3.859287526826919e-05
ahmadabad,Drumstick,2004,1,1084.0,25,0.0,0.0,4.140102487551057e-05
ahmadabad,Drumstick,2004,2,630.952380952381,21,0.0,0.0,3.757568374705998e-05
ahmadabad,Drumstick,2004,3,684.5238095238095,21,0.0,0.0,2.944533888328668e-05
ahmadabad,Drumstick,2004,4,480.0,10,0.0,0.0,2.5079388900194862e-05
ahmadabad,Drumstick,2004,5,566.6666666666666,6,11.0,0.3548387096774194,2.2118421678291084e-05
ahmadabad,Drumstick,2004,6,1207.5,20,114.8,3.826666666666666,2.0505425426600558e-05
ahmadabad,Drumstick,2004,7,1428.571428571429,14,275.8,8.896774193548387,2.0866191101797692e-05
ahmadabad,Drumstick,2004,8,1480.0,5,483.0,15.580645161290322,3.807829145197295e-05
ahmadabad,Drumstick,2004,9,1767.6470588235295,17,29.2,0.9733333333333332,4.667000624574443e-05
ahmadabad,Drumstick,2004,10,1460.0,20,22.7,0.732258064516129,4.22872121441419e-05
ahmadabad,Drumstick,2004,11,1337.5,6,0.1,0.0033333333333333,3.771675724863355e-05
ahmadabad,Drumstick,2004,12,794.7368421052631,19,0.5,0.0161290322580645,3.859287526826919e-05
ahmadabad,Drumstick,2005,2,751.4705882352941,17,0.0,0.0,3.3320762755521185e-05
ahmadabad,Drumstick,2005,3,812.0,25,0.0,0.0,2.607901388869269e-05
ahmadabad,Drumstick,2005,4,581.25,24,0.0,0.0,2.2592327402845845e-05
ahmadabad,Drumstick,2005,5,1017.6470588235294,17,1.5,0.0483870967741935,2.1749432993541363e-05
ahmadabad,Drumstick,2005,6,855.5555555555555,18,314.8,10.493333333333334,1.5062733877494743e-05
ahmadabad,Drumstick,2005,7,1464.7058823529412,17,279.9,9.029032258064516,1.725048519830705e-05
ahmadabad,Drumstick,2005,8,1238.4615384615386,13,276.5,8.919354838709678,3.664642619175696e-05
ahmadabad,Drumstick,2005,9,1387.5,14,296.3,9.876666666666669,4.465853286803269e-05
ahmadabad,Drumstick,2005,10,1600.0,1,0.0,0.0,4.163442064707478e-05
ahmadabad,Drumstick,2006,1,1561.111111111111,9,0.0,0.0,3.826173143042432e-05
ahmadabad,Drumstick,2006,2,745.4545454545455,22,0.0,0.0,3.3919413254241616e-05
ahmadabad,Drumstick,2006,3,356.25,8,4.7,0.1516129032258064,2.708774415098713e-05
ahmadabad,Drumstick,2006,4,750.0,1,0.0,0.0,2.289987453545444e-05
ahmadabad,Drumstick,2006,5,557.5,20,1.6,0.0516129032258064,2.0453423769159177e-05
ahmadabad,Drumstick,2006,6,1027.5,20,112.9,3.7633333333333336,2.0978812192369733e-05
ahmadabad,Drumstick,2006,7,1465.625,16,614.2,19.81290322580645,1.6314707457000158e-05
ahmadabad,Drumstick,2006,9,2230.0,5,114.0,3.8,4.3589307496655816e-05
ahmadabad,Drumstick,2006,10,2705.555555555556,9,0.0,0.0,3.840154487867378e-05
ahmadabad,Drumstick,2006,11,2025.0,10,0.2,0.0066666666666666,3.518817983120915e-05
ahmadabad,Drumstick,2006,12,1964.7058823529408,17,0.0,0.0,3.685318221090574e-05
ahmadabad,Drumstick,2007,1,1897.058823529412,17,0.0,0.0,3.776424135132441e-05
ahmadabad,Drumstick,2007,2,1269.4444444444443,18,0.0,0.0,3.422007471931285e-05
ahmadabad,Drumstick,2007,3,997.9166666666666,24,1.0,0.032258064516129,2.6665512618134924e-05
ahmadabad,Drumstick,2007,4,887.5,24,1.5,0.05,2.3440212924309327e-05
ahmadabad,Drumstick,2007,5,770.0,25,0.1,0.0032258064516129,2.144514266250797e-05
ahmadabad,Drumstick,2007,6,1118.0,25,85.1,2.8366666666666664,1.8353022726950163e-05
ahmadabad,Drumstick,2007,7,1690.7894736842106,19,302.7,9.764516129032256,2.4239909627733355e-05
ahmadabad,Drumstick,2007,8,1506.0,25,330.1,10.648387096774194,4.105241453347374e-05
ahmadabad,Drumstick,2007,9,1623.529411764706,17,231.9,7.73,4.696472947977271e-05
ahmadabad,Drumstick,2007,10,2718.181818181818,11,1.0,0.032258064516129,4.334970075969775e-05
ahmadabad,Drumstick,2007,11,2672.222222222222,9,1.8,0.06,3.674972070335933e-05
ahmadabad,Drumstick,2007,12,2667.5,20,0.0,0.0,3.5187240650247404e-05
ahmadabad,Drumstick,2008,1,1529.1666666666667,24,0.0,0.0,3.8340708113770815e-05
ahmadabad,Drumstick,2008,2,1509.090909090909,22,0.0,0.0,3.675588447087456e-05
ahmadabad,Drumstick,2008,3,1311.3636363636365,22,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05
ahmadabad,Drumstick,2008,4,1002.0,25,2.4,0.08,2.3945607607829e-05
ahmadabad,Drumstick,2008,5,1084.090909090909,22,0.0,0.0,2.1848210216849822e-05
ahmadabad,Drumstick,2008,6,1038.095238095238,21,75.9,2.53,1.5790292916277757e-05
ahmadabad,Drumstick,2008,7,1576.190476190476,21,283.1,9.13225806451613,2.260650554224059e-05
ahmadabad,Drumstick,2008,8,1609.5238095238096,21,235.9,7.609677419354837,3.8641801018280085e-05
ahmadabad,Drumstick,2008,9,1950.0,20,131.1,4.37,4.037186397074391e-05
ahmadabad,Drumstick,2008,10,1888.4615384615383,13,2.2,0.0709677419354838,3.932383510342132e-05
ahmadabad,Drumstick,2008,11,2559.090909090909,11,6.2,0.2066666666666666,3.5746072079531186e-05
ahmadabad,Drumstick,2008,12,2052.6315789473683,19,0.8,0.0258064516129032,3.776113612431969e-05
ahmadabad,Drumstick,2009,1,1858.8235294117649,17,0.0,0.0,4.0747087302437816e-05
ahmadabad,Drumstick,2009,2,1156.25,16,0.0,0.0,3.3766832062874406e-05
ahmadabad,Drumstick,2009,3,1028.9473684210527,19,0.2,0.0064516129032258,2.6851341813599344e-05
ahmadabad,Drumstick,2009,4,661.5384615384615,26,1.5,0.05,2.3134792960604133e-05
ahmadabad,Drumstick,2009,5,1121.1538461538462,26,0.0,0.0,2.0974650475139565e-05
ahmadabad,Drumstick,2009,6,1584.0,25,17.1,0.5700000000000001,2.0082294557862617e-05
ahmadabad,Drumstick,2009,7,2268.5185185185187,27,452.9,14.609677419354838,2.111029201948397e-05
ahmadabad,Drumstick,2009,8,1662.5,24,124.5,4.016129032258065,3.6569448274530135e-05
ahmadabad,Drumstick,2009,9,1496.1538461538462,26,16.1,0.5366666666666667,3.9649148696792685e-05
ahmadabad,Drumstick,2009,10,1619.2307692307693,26,1.9,0.0612903225806451,3.395838409913904e-05
ahmadabad,Drumstick,2009,11,2639.1304347826085,23,1.5,0.05,3.217276102460755e-05
ahmadabad,Drumstick,2009,12,2348.1481481481483,27,0.4,0.0129032258064516,3.40859821208877e-05
ahmadabad,Drumstick,2010,1,2082.608695652174,23,1.3,0.0419354838709677,3.604698647025337e-05
ahmadabad,Drumstick,2010,2,1056.5217391304348,23,0.0,0.0,3.1869253498065125e-05
ahmadabad,Drumstick,2010,3,828.8461538461538,26,0.0,0.0,2.5084470714421704e-05
ahmadabad,Drumstick,2010,4,884.6153846153846,26,0.0,0.0,2.200529165647741e-05
ahmadabad,Drumstick,2010,5,1184.6153846153843,26,0.0,0.0,2.007171407263436e-05
ahmadabad,Drumstick,2010,6,2530.769230769231,26,14.6,0.4866666666666666,2.002290102615415e-05
ahmadabad,Drumstick,2010,7,2834.6153846153848,26,339.6,10.95483870967742,2.255873841629846e-05
ahmadabad,Drumstick,2010,8,2572.0,25,442.6,14.27741935483871,3.2205732438232136e-05
ahmadabad,Drumstick,2010,9,2275.0,24,260.8,8.693333333333333,4.559610648436607e-05
ahmadabad,Drumstick,2010,10,3894.0,25,3.6,0.1161290322580645,4.3520674184389214e-05
ahmadabad,Drumstick,2010,11,3803.846153846154,26,49.3,1.643333333333333,3.901224088512793e-05
ahmadabad,Drumstick,2010,12,4177.777777777777,27,1.5,0.0483870967741935,3.744680341643629e-05
ahmadabad,Drumstick,2011,1,5215.789473684211,19,0.0,0.0,4.203450763616721e-05
ahmadabad,Drumstick,2011,2,2666.6666666666665,12,0.0,0.0,4.083951836030256e-05
ahmadabad,Drumstick,2011,3,1894.4444444444443,18,0.0,0.0,2.9471120754200672e-05
ahmadabad,Drumstick,2011,4,1171.428571428571,14,1.3,0.0433333333333333,2.3823716092164785e-05
ahmadabad,Drumstick,2011,5,1408.8235294117646,17,0.0,0.0,2.2045195652924648e-05
ahmadabad,Drumstick,2011,6,1933.3333333333333,15,2.2,0.0733333333333333,1.5734096315889965e-05
ahmadabad,Drumstick,2011,7,2371.428571428572,14,237.8,7.670967741935484,2.536464201442824e-05
ahmadabad,Drumstick,2011,8,2244.4444444444443,18,319.6,10.30967741935484,3.502258074228614e-05
ahmadabad,Drumstick,2011,9,2835.714285714286,14,152.9,5.096666666666667,4.8115735450896725e-05
ahmadabad,Drumstick,2011,10,3350.0,12,0.2,0.0064516129032258,4.15905270930363e-05
ahmadabad,Drumstick,2011,11,2811.764705882353,17,0.0,0.0,3.681234060874164e-05
ahmadabad,Drumstick,2011,12,2586.1111111111118,18,0.0,0.0,3.7399040940659465e-05
ahmadabad,Drumstick,2012,1,2704.0,25,0.0,0.0,3.9490096615958726e-05
ahmadabad,Drumstick,2012,2,3248.0,25,0.0,0.0,3.6470896191358274e-05
ahmadabad,Drumstick,2012,3,2900.0,25,0.0,0.0,2.755383882199435e-05
ahmadabad,Drumstick,2012,4,1160.0,25,0.4,0.0133333333333333,2.5504882704756164e-05
ahmadabad,Drumstick,2012,5,1474.074074074074,27,0.0,0.0,2.187474578236645e-05
ahmadabad,Drumstick,2012,6,1860.0,25,12.1,0.4033333333333333,2.0578665043537125e-05
ahmadabad,Drumstick,2012,7,2257.692307692308,26,115.0,3.70967741935484,1.6491301369643384e-05
ahmadabad,Drumstick,2012,8,2084.6153846153848,26,112.6,3.6322580645161286,2.8479090943260748e-05
ahmadabad,Drumstick,2012,9,2176.0,25,251.1,8.37,4.728124608155365e-05
ahmadabad,Drumstick,2012,10,2930.769230769231,26,0.5,0.0161290322580645,3.8289504275662086e-05
ahmadabad,Drumstick,2012,11,3416.0,25,0.0,0.0,3.47102364280335e-05
ahmadabad,Drumstick,2012,12,3072.0,25,0.0,0.0,3.711251140255428e-05
ahmadabad,Drumstick,2013,1,2739.1304347826085,23,0.0,0.0,3.856358394037367e-05
ahmadabad,Drumstick,2013,2,1942.857142857143,21,0.1,0.0035714285714285,3.6533058565094496e-05
ahmadabad,Drumstick,2013,3,1745.0,20,0.0,0.0,2.7710110226993e-05
ahmadabad,Drumstick,2013,4,1552.3809523809523,21,6.7,0.2233333333333333,2.308900986885841e-05
ahmadabad,Drumstick,2013,5,1654.5454545454545,22,0.0,0.0,2.2132935282320857e-05
ahmadabad,Drumstick,2013,6,2472.222222222222,18,110.2,3.673333333333333,2.252353647885816e-05
ahmadabad,Drumstick,2013,7,3950.0,22,295.8,9.541935483870969,1.7022086694368705e-05
ahmadabad,Drumstick,2013,8,2823.529411764706,17,146.8,4.735483870967743,4.1705939216023214e-05
ahmadabad,Drumstick,2013,9,2783.333333333333,18,305.0,10.166666666666666,4.664705449173006e-05
ahmadabad,Drumstick,2013,10,4300.0,25,90.7,2.925806451612903,4.848301558508023e-05
ahmadabad,Drumstick,2013,11,7007.692307692308,13,0.0,0.0,4.149167689621332e-05
ahmadabad,Drumstick,2013,12,5822.727272727273,22,0.0,0.0,3.805047920468666e-05
ahmadabad,Drumstick,2014,1,6400.0,19,4.1,0.132258064516129,4.375416162986223e-05
ahmadabad,Drumstick,2014,2,3508.333333333333,24,2.3000000000000003,0.0821428571428571,4.308717327823502e-05
ahmadabad,Drumstick,2014,3,2125.0,24,0.2,0.0064516129032258,3.0401330635931143e-05
ahmadabad,Drumstick,2014,4,1791.6666666666667,24,2.9,0.0966666666666666,2.4960565139402498e-05
ahmadabad,Drumstick,2014,5,2496.296296296296,27,0.0,0.0,2.3239107558223665e-05
ahmadabad,Drumstick,2014,6,3378.260869565217,23,2.8000000000000003,0.0933333333333333,1.997316834987928e-05
ahmadabad,Drumstick,2014,7,3740.740740740741,27,320.6,10.341935483870968,2.053775386116393e-05
ahmadabad,Drumstick,2014,8,3644.0,25,135.9,4.383870967741935,4.127694207266024e-05
ahmadabad,Drumstick,2014,9,3824.0,25,301.7,10.056666666666668,4.8125408136149806e-05
ahmadabad,Drumstick,2014,10,4304.0,25,2.2,0.0709677419354838,4.452559177120333e-05
ahmadabad,Drumstick,2014,11,4048.0,25,6.2,0.2066666666666666,3.87043634130837e-05
ahmadabad,Drumstick,2014,12,4734.615384615385,26,0.0,0.0,3.924645696206544e-05
ahmadabad,Drumstick,2015,1,4227.272727272727,22,5.5,0.1774193548387097,4.429137115981123e-05
ahmadabad,Drumstick,2015,2,3010.5263157894738,19,0.0,0.0,3.9949274143456674e-05
ahmadabad,Drumstick,2015,3,2261.1111111111118,18,32.9,1.0612903225806452,3.055394557662524e-05
ahmadabad,Drumstick,2015,4,1386.3636363636365,22,2.8,0.0933333333333333,2.522566601032541e-05
ahmadabad,Drumstick,2015,5,2320.0,20,0.1,0.0032258064516129,2.2208772614804723e-05
ahmadabad,Drumstick,2015,6,3936.842105263158,19,44.3,1.4766666666666666,2.123323246445273e-05
ahmadabad,Drumstick,2015,7,3247.7272727272725,22,363.5,11.725806451612904,1.9348974284763044e-05
ahmadabad,Drumstick,2015,8,2318.181818181818,22,25.8,0.832258064516129,3.993645080618366e-05
ahmadabad,Drumstick,2015,9,2747.368421052632,19,72.3,2.41,4.816321713473653e-05
ahmadabad,Drumstick,2015,10,2668.0,25,0.0,0.0,4.292876526750568e-05
ahmadabad,Drumstick,2015,11,2984.2105263157896,19,0.0,0.0,3.8085233574586754e-05
ahmadabad,Drumstick,2015,12,3985.0,20,0.0,0.0,3.595764888621849e-05
ahmadabad,Drumstick,2016,1,3988.0,25,0.0,0.0,3.82949029180592e-05
ahmadabad,Drumstick,2016,2,2216.0,25,0.0,0.0,3.58758547397519e-05
ahmadabad,Drumstick,2016,3,983.3333333333334,24,0.5,0.0161290322580645,2.917100952821568e-05
ahmadabad,Drumstick,2016,4,980.4347826086956,23,0.0,0.0,2.4618408692290084e-05
ahmadabad,Drumstick,2016,5,2015.3846153846157,26,1.5,0.0483870967741935,2.145876884492433e-05
ahmadabad,Drumstick,2016,6,3896.153846153846,26,40.50000000000001,1.3500000000000003,1.877084165374821e-05
ahmadabad,Drumstick,2016,7,3908.3333333333335,24,174.6,5.632258064516129,1.6933296459072276e-05
ahmadabad,Drumstick,2016,8,2620.454545454545,22,330.4,10.658064516129032,3.8242507688747295e-05
ahmadabad,Drumstick,2016,9,2737.5,24,6.4,0.2133333333333333,4.909261400179009e-05
ahmadabad,Drumstick,2016,10,3191.304347826087,23,112.8,3.638709677419355,4.186539494096516e-05
ahmadabad,Drumstick,2016,11,4154.545454545455,22,0.0,0.0,3.767486192581924e-05
ahmadabad,Drumstick,2016,12,3082.0,25,0.0,0.0,3.82640014680039e-05
ahmadabad,Drumstick,2017,1,2660.4166666666665,24,0.0,0.0,3.994631387303658e-05
ahmadabad,Drumstick,2017,2,1680.4347826086955,23,0.0,0.0,3.7046376212644734e-05
ahmadabad,Drumstick,2017,3,1006.25,24,0.0,0.0,2.960569478936636e-05
ahmadabad,Drumstick,2017,4,1043.1818181818182,22,0.0,0.0,2.5888256811143745e-05
ahmadabad,Drumstick,2017,5,1383.3333333333333,27,0.6,0.0193548387096774,2.258314879310385e-05
ahmadabad,Drumstick,2017,6,2796.0,25,92.0,3.066666666666667,2.3348495267200336e-05
ahmadabad,Drumstick,2017,7,4206.25,24,733.0,23.64516129032258,2.088166042918639e-05
ahmadabad,Drumstick,2017,8,3927.5,20,225.9,7.287096774193548,4.0923991056534894e-05
ahmadabad,Drumstick,2017,9,4270.588235294118,17,68.3,2.2766666666666664,4.84972400308825e-05
ahmadabad,Drumstick,2017,10,5085.294117647059,17,0.3,0.0096774193548387,4.161186503880456e-05
ahmadabad,Drumstick,2017,11,4730.0,25,0.0,0.0,3.78238894816127e-05
ahmadabad,Drumstick,2017,12,4602.272727272727,22,13.6,0.4387096774193549,4.252240565730429e-05
ahmadabad,Drumstick,2018,1,3527.2727272727275,11,0.0,0.0,4.299584114237011e-05
ahmadabad,Drumstick,2018,2,2850.0,12,0.6,0.0214285714285714,3.7911311939491934e-05
ahmadabad,Drumstick,2018,3,1221.875,16,0.0,0.0,3.029429668021601e-05
ahmadabad,Drumstick,2018,4,1282.3529411764705,17,0.3,0.01,2.5025456354904493e-05
ahmadabad,Drumstick,2018,5,1494.4444444444443,18,0.5,0.0161290322580645,2.0058650853705864e-05
ahmadabad,Drumstick,2018,6,2689.285714285714,14,18.4,0.6133333333333333,1.889632265463069e-05
ahmadabad,Drumstick,2018,7,3570.5882352941176,17,465.3,15.00967741935484,1.4190475758591477e-05
ahmadabad,Drumstick,2018,8,2700.0,12,257.2,8.296774193548387,3.51574889847144e-05
ahmadabad,Drumstick,2018,9,3288.4615384615386,13,36.9,1.23,4.316152749301148e-05
ahmadabad,Drumstick,2018,10,3437.5,12,0.0,0.0,3.76061135588367e-05
ahmadabad,Drumstick,2018,11,2730.0,10,0.0,0.0,3.4604197805304365e-05
ahmadabad,Drumstick,2018,12,2714.285714285714,14,0.0,0.0,3.623375331813844e-05
ahmadabad,Drumstick,2019,1,3265.625,16,0.0,0.0,3.767640241886117e-05
ahmadabad,Drumstick,2019,2,3383.333333333333,9,0.0,0.0,3.612484381064527e-05
