district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
banaskantha,Green Peas,2014,7,6500.0,1,162.5,5.241935483870968,4.112296565355606e-05
dahod,Green Peas,2001,12,1200.0,1,7.115,0.2295161290322581,4.86956884938306e-05
dahod,Green Peas,2002,1,1200.0,2,2.518181818181818,0.08123167155425216,4.6417636290521384e-05
dahod,Green Peas,2002,2,1200.0,8,1.7190476190476192,0.061300727187426664,3.928973817779843e-05
dahod,Green Peas,2002,3,1175.0,2,1.7347826086956522,0.055960729312762955,3.0495920200264967e-05
dahod,Green Peas,2002,4,1200.8333333333333,6,1.126086956521739,0.03753623188405795,2.8258400535699666e-05
dahod,Green Peas,2002,5,1225.0,4,6.834782608695652,0.220476858345021,2.747676857372471e-05
dahod,Green Peas,2002,6,1255.0,1,105.71304347826087,3.523768115942029,2.7940664243470815e-05
dahod,Green Peas,2002,7,1310.0,5,419.6478260869565,13.537026647966341,3.283770885317159e-05
dahod,Green Peas,2002,8,1325.0,1,363.3272727272727,11.720234604105572,5.339282034599854e-05
dahod,Green Peas,2002,9,1325.0,1,222.2904761904762,7.40968253968254,6.565423290226757e-05
dahod,Green Peas,2002,10,1383.3333333333333,3,25.18,0.812258064516129,5.4431673709951265e-05
dahod,Green Peas,2002,11,1480.0,4,8.872727272727273,0.2957575757575757,4.843154528571422e-05
dahod,Green Peas,2002,12,1404.2857142857142,7,7.115,0.2295161290322581,4.86956884938306e-05
dahod,Green Peas,2003,1,1345.0,2,1.3,0.0419354838709677,4.6417636290521384e-05
dahod,Green Peas,2003,2,1253.3333333333333,3,18.5,0.6607142857142857,3.928973817779843e-05
dahod,Green Peas,2003,3,1292.0,5,0.0,0.0,3.0495920200264967e-05
dahod,Green Peas,2003,4,1241.6666666666667,3,0.0,0.0,2.8258400535699666e-05
dahod,Green Peas,2003,5,1200.0,3,0.0,0.0,2.747676857372471e-05
dahod,Green Peas,2003,6,1200.0,3,181.1,6.036666666666666,2.7940664243470815e-05
dahod,Green Peas,2003,7,1203.3333333333333,3,410.9,13.25483870967742,3.283770885317159e-05
dahod,Green Peas,2003,8,1200.0,1,314.3,10.138709677419357,5.339282034599854e-05
dahod,Green Peas,2003,9,1200.0,1,92.4,3.08,6.565423290226757e-05
dahod,Green Peas,2003,10,1200.0,1,0.0,0.0,5.4431673709951265e-05
dahod,Green Peas,2003,11,1300.0,2,0.0,0.0,4.843154528571422e-05
dahod,Green Peas,2003,12,1260.0,1,0.0,0.0,4.86956884938306e-05
dahod,Green Peas,2004,1,1250.0,1,0.8999999999999999,0.0290322580645161,4.6417636290521384e-05
dahod,Green Peas,2004,3,1107.857142857143,7,0.0,0.0,3.0495920200264967e-05
dahod,Green Peas,2004,4,1133.0,9,0.0,0.0,2.8258400535699666e-05
dahod,Green Peas,2004,5,1091.875,8,12.3,0.3967741935483871,2.747676857372471e-05
dahod,Green Peas,2004,6,1067.5,6,120.9,4.03,2.7940664243470815e-05
dahod,Green Peas,2004,7,1096.25,8,348.4,11.238709677419354,3.283770885317159e-05
dahod,Green Peas,2004,8,1150.0,1,584.0,18.83870967741936,5.339282034599854e-05
dahod,Green Peas,2004,9,1100.0,3,59.0,1.9666666666666663,6.565423290226757e-05
dahod,Green Peas,2004,10,1386.6666666666667,6,44.7,1.4419354838709677,5.4431673709951265e-05
dahod,Green Peas,2004,11,1358.3333333333333,12,0.8,0.0266666666666666,4.843154528571422e-05
dahod,Green Peas,2004,12,1250.0,4,0.1,0.0032258064516129,4.86956884938306e-05
dahod,Green Peas,2005,1,1250.0,5,2.5,0.0806451612903225,3.9616619637754e-05
dahod,Green Peas,2005,2,1167.625,8,0.0,0.0,3.5108147371384346e-05
dahod,Green Peas,2005,3,1115.7333333333331,15,0.0,0.0,2.81041941270436e-05
dahod,Green Peas,2005,4,1097.0833333333333,12,0.0,0.0,2.57611439139299e-05
dahod,Green Peas,2005,5,1086.875,8,2.1,0.0677419354838709,2.5631074431968783e-05
dahod,Green Peas,2005,6,1100.0,9,105.6,3.5200000000000005,2.014452864921297e-05
dahod,Green Peas,2005,7,1100.0,5,312.9,10.093548387096773,3.923572616780615e-05
dahod,Green Peas,2005,8,1166.6666666666667,6,201.2,6.490322580645162,5.797658299968928e-05
dahod,Green Peas,2005,9,1150.0,4,363.3,12.11,6.18734302906238e-05
dahod,Green Peas,2005,10,1200.0,1,0.6,0.0193548387096774,5.194600451368487e-05
dahod,Green Peas,2005,11,1250.0,1,0.0,0.0,4.478313960709812e-05
dahod,Green Peas,2006,1,1200.0,1,0.0,0.0,4.060462671240584e-05
dahod,Green Peas,2006,3,1258.75,4,5.2,0.1677419354838709,2.8276550530012005e-05
dahod,Green Peas,2006,4,1353.888888888889,9,0.0,0.0,2.5980887191516933e-05
dahod,Green Peas,2006,5,1318.0,5,3.0,0.0967741935483871,2.466957233138092e-05
dahod,Green Peas,2006,6,1316.6666666666667,6,82.10000000000001,2.736666666666667,3.1957892403049995e-05
dahod,Green Peas,2006,7,1155.0,5,697.3,22.493548387096773,2.13502170521292e-05
dahod,Green Peas,2006,8,1300.0,2,535.0,17.258064516129032,4.284692950860874e-05
dahod,Green Peas,2006,9,1400.0,1,162.1,5.403333333333333,6.272447723657778e-05
dahod,Green Peas,2006,11,1350.0,5,2.0,0.0666666666666666,4.5591341889949136e-05
dahod,Green Peas,2006,12,1350.0,6,0.0,0.0,4.468702853569159e-05
dahod,Green Peas,2007,1,1330.0,5,0.0,0.0,4.2641126924138606e-05
dahod,Green Peas,2007,2,1450.4545454545455,22,1.9,0.0678571428571428,3.704536194365397e-05
dahod,Green Peas,2007,3,1593.0526315789473,19,0.2,0.0064516129032258,2.858257513647511e-05
dahod,Green Peas,2007,4,1736.7857142857142,14,1.0,0.0333333333333333,2.751867886467911e-05
dahod,Green Peas,2007,5,1701.4,25,1.6,0.0516129032258064,2.6836893716719146e-05
dahod,Green Peas,2007,6,1632.6470588235295,17,106.8,3.56,2.412700732764617e-05
dahod,Green Peas,2007,7,1700.357142857143,14,882.1,28.45483870967742,3.642176806210862e-05
dahod,Green Peas,2007,8,1691.6666666666667,12,375.1,12.1,5.768963822651873e-05
dahod,Green Peas,2007,9,1625.0,2,299.7,9.99,6.751696532286671e-05
dahod,Green Peas,2007,10,1600.0,7,0.0,0.0,5.262506783790407e-05
dahod,Green Peas,2007,11,1754.1666666666667,12,0.2,0.0066666666666666,4.62902608414624e-05
dahod,Green Peas,2007,12,1736.3636363636365,22,0.0,0.0,4.484265212247661e-05
