district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Mango,2002,10,2000.0,1,17.28666666666667,0.5576344086021504,4.207301035988509e-05
ahmadabad,Mango,2002,11,8000.0,1,5.271428571428571,0.17571428571428568,3.75117120048848e-05
ahmadabad,Mango,2002,12,2200.0,1,2.314285714285714,0.07465437788018434,3.8357004146178124e-05
ahmadabad,Mango,2006,1,833.3333333333334,3,0.0,0.0,3.826173143042432e-05
ahmadabad,Mango,2006,2,550.0,2,0.0,0.0,3.3919413254241616e-05
ahmadabad,Mango,2006,3,733.3333333333334,3,4.7,0.1516129032258064,2.708774415098713e-05
ahmadabad,Mango,2006,4,612.5,2,0.0,0.0,2.289987453545444e-05
ahmadabad,Mango,2006,5,450.0,1,1.6,0.0516129032258064,2.0453423769159177e-05
ahmadabad,Mango,2006,6,825.0,2,112.9,3.7633333333333336,2.0978812192369733e-05
ahmadabad,Mango,2006,8,675.0,2,588.0,18.967741935483872,3.0267156518329703e-05
ahmadabad,Mango,2006,9,600.0,2,114.0,3.8,4.3589307496655816e-05
ahmadabad,Mango,2006,10,500.0,1,0.0,0.0,3.840154487867378e-05
ahmadabad,Mango,2006,11,800.0,1,0.2,0.0066666666666666,3.518817983120915e-05
ahmadabad,Mango,2008,1,2033.3333333333333,6,0.0,0.0,3.8340708113770815e-05
ahmadabad,Mango,2008,2,1950.0,6,0.0,0.0,3.675588447087456e-05
ahmadabad,Mango,2008,3,2066.6666666666665,6,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05
ahmadabad,Mango,2008,4,2966.6666666666665,6,2.4,0.08,2.3945607607829e-05
ahmadabad,Mango,2008,5,2100.0,5,0.0,0.0,2.1848210216849822e-05
ahmadabad,Mango,2008,7,3300.0,2,283.1,9.13225806451613,2.260650554224059e-05
ahmadabad,Mango,2008,8,1700.0,3,235.9,7.609677419354837,3.8641801018280085e-05
ahmadabad,Mango,2008,9,1725.0,4,131.1,4.37,4.037186397074391e-05
ahmadabad,Mango,2008,10,1450.0,2,2.2,0.0709677419354838,3.932383510342132e-05
ahmadabad,Mango,2008,11,1850.0,2,6.2,0.2066666666666666,3.5746072079531186e-05
ahmadabad,Mango,2008,12,1850.0,2,0.8,0.0258064516129032,3.776113612431969e-05
ahmadabad,Mango,2009,1,3470.0,5,0.0,0.0,4.0747087302437816e-05
ahmadabad,Mango,2009,2,4350.0,3,0.0,0.0,3.3766832062874406e-05
ahmadabad,Mango,2009,3,4040.0,5,0.2,0.0064516129032258,2.6851341813599344e-05
ahmadabad,Mango,2009,4,4250.0,8,1.5,0.05,2.3134792960604133e-05
ahmadabad,Mango,2009,5,4250.0,2,0.0,0.0,2.0974650475139565e-05
ahmadabad,Mango,2009,6,4025.0,8,17.1,0.5700000000000001,2.0082294557862617e-05
ahmadabad,Mango,2009,7,3940.0,5,452.9,14.609677419354838,2.111029201948397e-05
ahmadabad,Mango,2009,8,2880.0,5,124.5,4.016129032258065,3.6569448274530135e-05
ahmadabad,Mango,2009,9,3528.5714285714284,7,16.1,0.5366666666666667,3.9649148696792685e-05
ahmadabad,Mango,2009,10,3728.571428571429,7,1.9,0.0612903225806451,3.395838409913904e-05
ahmadabad,Mango,2009,11,2820.0,5,1.5,0.05,3.217276102460755e-05
ahmadabad,Mango,2009,12,3900.0,7,0.4,0.0129032258064516,3.40859821208877e-05
ahmadabad,Mango,2010,1,3750.0,8,1.3,0.0419354838709677,3.604698647025337e-05
ahmadabad,Mango,2010,2,3687.5,8,0.0,0.0,3.1869253498065125e-05
ahmadabad,Mango,2010,3,2671.428571428572,7,0.0,0.0,2.5084470714421704e-05
ahmadabad,Mango,2010,4,7757.142857142857,7,0.0,0.0,2.200529165647741e-05
ahmadabad,Mango,2010,5,4088.8888888888887,9,0.0,0.0,2.007171407263436e-05
ahmadabad,Mango,2010,6,4012.5,8,14.6,0.4866666666666666,2.002290102615415e-05
ahmadabad,Mango,2010,7,3644.444444444444,9,339.6,10.95483870967742,2.255873841629846e-05
ahmadabad,Mango,2010,8,5114.285714285715,7,442.6,14.27741935483871,3.2205732438232136e-05
ahmadabad,Mango,2010,9,4233.333333333333,6,260.8,8.693333333333333,4.559610648436607e-05
ahmadabad,Mango,2010,10,4150.0,10,3.6,0.1161290322580645,4.3520674184389214e-05
ahmadabad,Mango,2010,11,3916.6666666666665,6,49.3,1.643333333333333,3.901224088512793e-05
ahmadabad,Mango,2010,12,3665.0,10,1.5,0.0483870967741935,3.744680341643629e-05
ahmadabad,Mango,2011,1,4472.916666666667,12,0.0,0.0,4.203450763616721e-05
ahmadabad,Mango,2011,2,2427.777777777778,9,0.0,0.0,4.083951836030256e-05
ahmadabad,Mango,2011,3,4004.5454545454554,11,0.0,0.0,2.9471120754200672e-05
ahmadabad,Mango,2011,4,3936.363636363637,11,1.3,0.0433333333333333,2.3823716092164785e-05
ahmadabad,Mango,2011,5,2021.4285714285716,7,0.0,0.0,2.2045195652924648e-05
ahmadabad,Mango,2011,6,1775.0,9,2.2,0.0733333333333333,1.5734096315889965e-05
ahmadabad,Mango,2011,7,3620.8333333333335,12,237.8,7.670967741935484,2.536464201442824e-05
ahmadabad,Mango,2011,8,3359.375,8,319.6,10.30967741935484,3.502258074228614e-05
ahmadabad,Mango,2011,9,4092.307692307693,13,152.9,5.096666666666667,4.8115735450896725e-05
ahmadabad,Mango,2011,10,5814.285714285715,7,0.2,0.0064516129032258,4.15905270930363e-05
ahmadabad,Mango,2011,11,4516.666666666667,15,0.0,0.0,3.681234060874164e-05
ahmadabad,Mango,2011,12,4960.0,10,0.0,0.0,3.7399040940659465e-05
ahmadabad,Mango,2012,1,4072.222222222222,9,0.0,0.0,3.9490096615958726e-05
ahmadabad,Mango,2012,2,4354.166666666667,12,0.0,0.0,3.6470896191358274e-05
ahmadabad,Mango,2012,3,4654.545454545455,11,0.0,0.0,2.755383882199435e-05
ahmadabad,Mango,2012,4,4050.0,12,0.4,0.0133333333333333,2.5504882704756164e-05
ahmadabad,Mango,2012,5,4651.923076923077,13,0.0,0.0,2.187474578236645e-05
ahmadabad,Mango,2012,6,4379.166666666667,12,12.1,0.4033333333333333,2.0578665043537125e-05
ahmadabad,Mango,2012,7,3446.153846153846,13,115.0,3.70967741935484,1.6491301369643384e-05
ahmadabad,Mango,2012,8,3471.428571428572,7,112.6,3.6322580645161286,2.8479090943260748e-05
ahmadabad,Mango,2012,9,4557.142857142857,14,251.1,8.37,4.728124608155365e-05
ahmadabad,Mango,2012,10,4570.0,10,0.5,0.0161290322580645,3.8289504275662086e-05
ahmadabad,Mango,2012,11,3150.0,13,0.0,0.0,3.47102364280335e-05
ahmadabad,Mango,2012,12,4168.181818181818,11,0.0,0.0,3.711251140255428e-05
ahmadabad,Mango,2013,1,5016.666666666667,6,0.0,0.0,3.856358394037367e-05
ahmadabad,Mango,2013,2,4000.0,4,0.1,0.0035714285714285,3.6533058565094496e-05
ahmadabad,Mango,2013,3,3133.333333333333,3,0.0,0.0,2.7710110226993e-05
ahmadabad,Mango,2013,4,4683.333333333333,3,6.7,0.2233333333333333,2.308900986885841e-05
ahmadabad,Mango,2013,5,3750.0,4,0.0,0.0,2.2132935282320857e-05
ahmadabad,Mango,2013,6,3928.571428571429,7,110.2,3.673333333333333,2.252353647885816e-05
ahmadabad,Mango,2013,7,3508.333333333333,6,295.8,9.541935483870969,1.7022086694368705e-05
ahmadabad,Mango,2013,8,3411.1111111111118,9,146.8,4.735483870967743,4.1705939216023214e-05
ahmadabad,Mango,2013,9,3233.333333333333,3,305.0,10.166666666666666,4.664705449173006e-05
ahmadabad,Mango,2013,10,3533.333333333333,3,90.7,2.925806451612903,4.848301558508023e-05
ahmadabad,Mango,2013,11,3500.0,4,0.0,0.0,4.149167689621332e-05
ahmadabad,Mango,2013,12,4261.111111111111,9,0.0,0.0,3.805047920468666e-05
ahmadabad,Mango,2014,1,6622.222222222223,9,4.1,0.132258064516129,4.375416162986223e-05
