district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Methi Seeds,2005,9,1115.0,1,296.3,9.876666666666669,4.465853286803269e-05
ahmadabad,Methi Seeds,2005,11,1200.0,2,0.0,0.0,3.582371516438292e-05
ahmadabad,Methi Seeds,2005,12,1361.25,1,0.0,0.0,3.5097438841756655e-05
ahmadabad,Methi Seeds,2023,6,5640.0,1,146.7,4.89,2.1474508873277658e-05
ahmadabad,Methi Seeds,2023,11,6070.0,1,23.8,0.7933333333333333,3.784427960279895e-05
amreli,Methi Seeds,2005,4,1485.0,1,1.9,0.0633333333333333,2.3230678973964467e-05
amreli,Methi Seeds,2006,3,1427.5,2,13.7,0.4419354838709677,2.885752435266206e-05
amreli,Methi Seeds,2006,4,1822.0,5,0.1,0.0033333333333333,2.457337190414844e-05
amreli,Methi Seeds,2006,5,1524.5,10,0.6,0.0193548387096774,2.2027132428345106e-05
amreli,Methi Seeds,2006,6,1880.0,3,65.4,2.18,3.179158953109492e-05
amreli,Methi Seeds,2006,7,2500.0,1,291.1,9.390322580645162,3.5602209949437395e-05
amreli,Methi Seeds,2006,9,2095.0,1,99.5,3.316666666666667,5.7193255847083685e-05
amreli,Methi Seeds,2006,10,1888.75,4,0.7,0.0225806451612903,4.755883294532721e-05
amreli,Methi Seeds,2006,11,2208.333333333333,3,0.6,0.02,4.381559702781129e-05
amreli,Methi Seeds,2006,12,2160.0,5,0.0,0.0,4.091690801726731e-05
amreli,Methi Seeds,2007,3,2522.0,5,0.0,0.0,2.744307185448957e-05
amreli,Methi Seeds,2007,4,2160.833333333333,6,0.1,0.0033333333333333,2.5035011472918773e-05
amreli,Methi Seeds,2007,5,2003.888888888889,9,0.5,0.0161290322580645,2.298311514827196e-05
amreli,Methi Seeds,2007,6,1907.0,5,145.8,4.86,1.829578989274012e-05
amreli,Methi Seeds,2007,7,2265.0,2,171.8,5.541935483870968,3.250865729239908e-05
amreli,Methi Seeds,2007,8,2572.5,4,408.9,13.190322580645162,5.44659955954558e-05
amreli,Methi Seeds,2007,10,2410.0,3,2.3,0.0741935483870967,5.658001377184892e-05
amreli,Methi Seeds,2007,11,2650.0,1,17.1,0.5700000000000001,4.806192325588157e-05
amreli,Methi Seeds,2007,12,2675.0,1,0.0,0.0,4.402292047252987e-05
amreli,Methi Seeds,2008,2,2720.0,1,0.0,0.0,3.963991576450183e-05
amreli,Methi Seeds,2008,3,3178.333333333333,3,0.0,0.0,3.046723996764088e-05
amreli,Methi Seeds,2008,4,2659.5,10,2.5,0.0833333333333333,2.636786595981637e-05
amreli,Methi Seeds,2008,5,2493.75,8,0.4,0.0129032258064516,2.3961814879354125e-05
amreli,Methi Seeds,2008,6,2928.0,10,193.4,6.446666666666667,2.110486122232645e-05
amreli,Methi Seeds,2008,7,3062.5,10,195.6,6.309677419354839,3.1284548429996967e-05
amreli,Methi Seeds,2008,8,3196.875,8,122.2,3.941935483870968,5.940779699946841e-05
amreli,Methi Seeds,2008,9,2997.5,8,569.9,18.996666666666663,5.7696613376692e-05
amreli,Methi Seeds,2008,10,2683.333333333333,3,29.2,0.9419354838709676,5.007646959967691e-05
amreli,Methi Seeds,2008,11,2899.0,5,1.7,0.0566666666666666,4.551386857984996e-05
