district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Moath Dal,2003,12,1048.0,1,0.0,0.0,3.723158458588992e-05
ahmadabad,Moath Dal,2004,4,705.0,2,0.0,0.0,2.3355122007049225e-05
ahmadabad,Moath Dal,2004,12,1135.0,2,0.5,0.0161290322580645,3.723158458588992e-05
ahmadabad,Moath Dal,2005,1,1119.0,2,0.0,0.0,3.7468679306831104e-05
ahmadabad,Moath Dal,2005,2,1225.0,2,0.0,0.0,3.3320762755521185e-05
ahmadabad,Moath Dal,2005,10,1176.25,1,0.0,0.0,4.163442064707478e-05
ahmadabad,Moath Dal,2005,11,1000.0,1,0.0,0.0,3.582371516438292e-05
ahmadabad,Moath Dal,2005,12,1684.642857142857,7,0.0,0.0,3.5097438841756655e-05
ahmadabad,Moath Dal,2006,1,1967.625,16,0.0,0.0,3.826173143042432e-05
ahmadabad,Moath Dal,2006,2,1810.0666666666664,15,0.0,0.0,3.3919413254241616e-05
ahmadabad,Moath Dal,2006,3,2156.222222222222,9,4.7,0.1516129032258064,2.708774415098713e-05
ahmadabad,Moath Dal,2006,4,2465.0,7,0.0,0.0,2.289987453545444e-05
ahmadabad,Moath Dal,2006,5,2115.0,1,1.6,0.0516129032258064,2.0453423769159177e-05
ahmadabad,Moath Dal,2006,6,1875.0,1,112.9,3.7633333333333336,2.0978812192369733e-05
ahmadabad,Moath Dal,2006,8,1995.0,1,588.0,18.967741935483872,3.0267156518329703e-05
ahmadabad,Moath Dal,2006,12,2818.266666666667,15,0.0,0.0,3.685318221090574e-05
ahmadabad,Moath Dal,2007,1,2380.5,20,0.0,0.0,3.776424135132441e-05
ahmadabad,Moath Dal,2007,2,2388.6666666666665,12,0.0,0.0,3.422007471931285e-05
ahmadabad,Moath Dal,2007,3,2241.714285714286,7,1.0,0.032258064516129,2.6665512618134924e-05
ahmadabad,Moath Dal,2007,4,2138.5,4,1.5,0.05,2.3440212924309327e-05
ahmadabad,Moath Dal,2007,5,1892.3333333333333,3,0.1,0.0032258064516129,2.144514266250797e-05
ahmadabad,Moath Dal,2007,6,2440.0,1,85.1,2.8366666666666664,1.8353022726950163e-05
ahmadabad,Moath Dal,2007,7,2460.0,2,302.7,9.764516129032256,2.4239909627733355e-05
ahmadabad,Moath Dal,2007,8,2452.0,2,330.1,10.648387096774194,4.105241453347374e-05
ahmadabad,Moath Dal,2007,9,2470.0,2,231.9,7.73,4.696472947977271e-05
ahmadabad,Moath Dal,2007,12,1646.6666666666667,3,0.0,0.0,3.5187240650247404e-05
ahmadabad,Moath Dal,2008,1,1675.625,8,0.0,0.0,3.8340708113770815e-05
ahmadabad,Moath Dal,2008,2,1585.4,5,0.0,0.0,3.675588447087456e-05
ahmadabad,Moath Dal,2008,3,1635.5,4,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05
ahmadabad,Moath Dal,2008,4,1617.0,6,2.4,0.08,2.3945607607829e-05
ahmadabad,Moath Dal,2008,5,1445.0,3,0.0,0.0,2.1848210216849822e-05
