district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Onion,2001,3,475.0,1,2.631818181818182,0.08489736070381229,2.928633125765426e-05
ahmadabad,Onion,2001,4,475.0,1,1.3409090909090908,0.04469696969696968,2.4935946813510072e-05
ahmadabad,Onion,2001,5,475.0,1,2.4809523809523806,0.08003072196620582,2.1893316457515146e-05
ahmadabad,Onion,2001,6,465.0,1,78.85909090909091,2.6286363636363634,2.0195067091732312e-05
ahmadabad,Onion,2001,7,465.0,1,357.5,11.53225806451613,2.0591680683133553e-05
ahmadabad,Onion,2001,8,465.0,1,306.05454545454546,9.872727272727273,3.7630230098398896e-05
ahmadabad,Onion,2002,1,325.0,1,0.7954545454545454,0.0256793743890518,4.058520083971746e-05
ahmadabad,Onion,2002,2,281.25,4,0.6454545454545455,0.023035154500671732,3.7719329582096365e-05
ahmadabad,Onion,2002,3,292.5,2,2.631818181818182,0.08489736070381229,2.928633125765426e-05
ahmadabad,Onion,2002,4,292.5,2,1.3409090909090908,0.04469696969696968,2.4935946813510072e-05
ahmadabad,Onion,2002,5,350.0,2,2.4809523809523806,0.08003072196620582,2.1893316457515146e-05
ahmadabad,Onion,2002,6,290.0,3,78.85909090909091,2.6286363636363634,2.0195067091732312e-05
ahmadabad,Onion,2002,7,286.6666666666667,3,357.5,11.53225806451613,2.0591680683133553e-05
ahmadabad,Onion,2002,8,275.0,1,306.05454545454546,9.872727272727273,3.7630230098398896e-05
ahmadabad,Onion,2002,9,316.6666666666667,3,158.22272727272727,5.274090909090909,4.6630238348732385e-05
ahmadabad,Onion,2002,10,240.0,2,23.895454545454548,0.7708211143695014,4.1952527638983064e-05
ahmadabad,Onion,2002,11,220.0,1,4.863636363636363,0.16212121212121208,3.746722136204756e-05
ahmadabad,Onion,2002,12,240.0,2,1.1636363636363636,0.037536656891495594,3.828547060414943e-05
ahmadabad,Onion,2003,1,468.57142857142856,7,0.1,0.0032258064516129,4.058520083971746e-05
ahmadabad,Onion,2003,2,432.5,8,10.9,0.3892857142857143,3.7719329582096365e-05
ahmadabad,Onion,2003,3,524.2857142857143,7,0.0,0.0,2.928633125765426e-05
ahmadabad,Onion,2003,4,471.6666666666667,9,0.4,0.0133333333333333,2.4935946813510072e-05
ahmadabad,Onion,2003,5,426.1111111111111,9,0.0,0.0,2.1893316457515146e-05
ahmadabad,Onion,2003,6,451.4285714285714,7,87.2,2.9066666666666667,2.0195067091732312e-05
ahmadabad,Onion,2003,7,418.125,8,397.5,12.82258064516129,2.0591680683133553e-05
ahmadabad,Onion,2003,8,487.5,8,194.5,6.274193548387097,3.7630230098398896e-05
ahmadabad,Onion,2003,9,479.375,8,19.4,0.6466666666666666,4.6630238348732385e-05
ahmadabad,Onion,2003,10,437.5,10,0.6,0.0193548387096774,4.1952527638983064e-05
