district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Onion Green,2005,10,300.0,2,0.0,0.0,4.163442064707478e-05
ahmadabad,Onion Green,2005,11,491.6666666666667,3,0.0,0.0,3.582371516438292e-05
ahmadabad,Onion Green,2005,12,387.5,6,0.0,0.0,3.5097438841756655e-05
ahmadabad,Onion Green,2006,3,200.0,1,4.7,0.1516129032258064,2.708774415098713e-05
ahmadabad,Onion Green,2006,6,350.0,2,112.9,3.7633333333333336,2.0978812192369733e-05
ahmadabad,Onion Green,2006,7,741.6666666666666,6,614.2,19.81290322580645,1.6314707457000158e-05
ahmadabad,Onion Green,2006,8,457.1428571428572,7,588.0,18.967741935483872,3.0267156518329703e-05
ahmadabad,Onion Green,2009,4,755.0,10,1.5,0.05,2.3134792960604133e-05
ahmadabad,Onion Green,2009,5,880.0,10,0.0,0.0,2.0974650475139565e-05
ahmadabad,Onion Green,2009,6,1645.4545454545455,11,17.1,0.5700000000000001,2.0082294557862617e-05
ahmadabad,Onion Green,2009,7,2137.5,6,452.9,14.609677419354838,2.111029201948397e-05
ahmadabad,Onion Green,2009,8,1566.6666666666667,9,124.5,4.016129032258065,3.6569448274530135e-05
ahmadabad,Onion Green,2009,9,1272.7272727272727,11,16.1,0.5366666666666667,3.9649148696792685e-05
ahmadabad,Onion Green,2009,10,669.2307692307693,13,1.9,0.0612903225806451,3.395838409913904e-05
ahmadabad,Onion Green,2009,11,550.0,13,1.5,0.05,3.217276102460755e-05
ahmadabad,Onion Green,2009,12,546.1538461538462,13,0.4,0.0129032258064516,3.40859821208877e-05
ahmadabad,Onion Green,2010,1,600.0,10,1.3,0.0419354838709677,3.604698647025337e-05
ahmadabad,Onion Green,2010,2,413.6363636363636,11,0.0,0.0,3.1869253498065125e-05
ahmadabad,Onion Green,2010,3,490.0,10,0.0,0.0,2.5084470714421704e-05
ahmadabad,Onion Green,2010,4,575.0,10,0.0,0.0,2.200529165647741e-05
ahmadabad,Onion Green,2010,5,925.0,10,0.0,0.0,2.007171407263436e-05
ahmadabad,Onion Green,2010,6,3100.0,11,14.6,0.4866666666666666,2.002290102615415e-05
ahmadabad,Onion Green,2010,7,2233.333333333333,3,339.6,10.95483870967742,2.255873841629846e-05
ahmadabad,Onion Green,2010,8,1240.0,10,442.6,14.27741935483871,3.2205732438232136e-05
ahmadabad,Onion Green,2010,9,1075.0,8,260.8,8.693333333333333,4.559610648436607e-05
ahmadabad,Onion Green,2010,10,1130.0,10,3.6,0.1161290322580645,4.3520674184389214e-05
ahmadabad,Onion Green,2010,11,1053.125,16,49.3,1.643333333333333,3.901224088512793e-05
ahmadabad,Onion Green,2010,12,1067.857142857143,14,1.5,0.0483870967741935,3.744680341643629e-05
ahmadabad,Onion Green,2011,1,1079.4117647058824,17,0.0,0.0,4.203450763616721e-05
ahmadabad,Onion Green,2011,2,403.3333333333333,15,0.0,0.0,4.083951836030256e-05
ahmadabad,Onion Green,2011,3,559.0909090909091,11,0.0,0.0,2.9471120754200672e-05
ahmadabad,Onion Green,2011,4,560.0,10,1.3,0.0433333333333333,2.3823716092164785e-05
ahmadabad,Onion Green,2011,5,725.0,10,0.0,0.0,2.2045195652924648e-05
ahmadabad,Onion Green,2011,6,1366.6666666666667,9,2.2,0.0733333333333333,1.5734096315889965e-05
ahmadabad,Onion Green,2011,7,1333.3333333333333,3,237.8,7.670967741935484,2.536464201442824e-05
ahmadabad,Onion Green,2011,8,804.5454545454545,11,319.6,10.30967741935484,3.502258074228614e-05
ahmadabad,Onion Green,2011,9,950.0,10,152.9,5.096666666666667,4.8115735450896725e-05
ahmadabad,Onion Green,2011,10,866.6666666666666,9,0.2,0.0064516129032258,4.15905270930363e-05
ahmadabad,Onion Green,2011,11,890.9090909090909,11,0.0,0.0,3.681234060874164e-05
ahmadabad,Onion Green,2011,12,445.0,10,0.0,0.0,3.7399040940659465e-05
ahmadabad,Onion Green,2012,1,254.54545454545453,11,0.0,0.0,3.9490096615958726e-05
ahmadabad,Onion Green,2012,2,382.1428571428572,14,0.0,0.0,3.6470896191358274e-05
ahmadabad,Onion Green,2012,3,379.1666666666667,12,0.0,0.0,2.755383882199435e-05
ahmadabad,Onion Green,2012,4,965.0,10,0.4,0.0133333333333333,2.5504882704756164e-05
ahmadabad,Onion Green,2012,5,1163.6363636363635,11,0.0,0.0,2.187474578236645e-05
ahmadabad,Onion Green,2012,6,1905.0,10,12.1,0.4033333333333333,2.0578665043537125e-05
ahmadabad,Onion Green,2012,7,1965.0,10,115.0,3.70967741935484,1.6491301369643384e-05
ahmadabad,Onion Green,2012,8,1372.2222222222222,9,112.6,3.6322580645161286,2.8479090943260748e-05
ahmadabad,Onion Green,2012,9,883.3333333333334,12,251.1,8.37,4.728124608155365e-05
ahmadabad,Onion Green,2012,10,1066.6666666666667,12,0.5,0.0161290322580645,3.8289504275662086e-05
ahmadabad,Onion Green,2012,11,1230.0,10,0.0,0.0,3.47102364280335e-05
ahmadabad,Onion Green,2012,12,350.0,11,0.0,0.0,3.711251140255428e-05
ahmadabad,Onion Green,2013,1,404.54545454545456,11,0.0,0.0,3.856358394037367e-05
ahmadabad,Onion Green,2013,2,500.0,10,0.1,0.0035714285714285,3.6533058565094496e-05
ahmadabad,Onion Green,2013,3,710.0,10,0.0,0.0,2.7710110226993e-05
ahmadabad,Onion Green,2013,4,966.6666666666666,9,6.7,0.2233333333333333,2.308900986885841e-05
