district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Papaya,2001,12,533.0,5,1.4272727272727272,0.046041055718475075,3.795675103407861e-05
ahmadabad,Papaya,2002,1,650.0,1,0.9909090909090907,0.03196480938416422,4.0349205009744664e-05
ahmadabad,Papaya,2002,4,700.0,1,1.5307692307692307,0.05102564102564101,2.423137063124364e-05
ahmadabad,Papaya,2007,4,625.0,1,1.5,0.05,2.3440212924309327e-05
ahmadabad,Papaya,2008,2,743.75,16,0.0,0.0,3.675588447087456e-05
ahmadabad,Papaya,2008,3,750.0,2,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05
ahmadabad,Papaya,2008,4,1011.1111111111112,18,2.4,0.08,2.3945607607829e-05
ahmadabad,Papaya,2008,5,850.0,6,0.0,0.0,2.1848210216849822e-05
ahmadabad,Papaya,2008,8,895.8333333333334,12,235.9,7.609677419354837,3.8641801018280085e-05
ahmadabad,Papaya,2008,9,1035.7142857142858,21,131.1,4.37,4.037186397074391e-05
ahmadabad,Papaya,2008,10,866.6666666666666,6,2.2,0.0709677419354838,3.932383510342132e-05
ahmadabad,Papaya,2009,1,865.7894736842105,19,0.0,0.0,4.0747087302437816e-05
ahmadabad,Papaya,2009,2,940.0,20,0.0,0.0,3.3766832062874406e-05
ahmadabad,Papaya,2009,3,1343.0555555555557,18,0.2,0.0064516129032258,2.6851341813599344e-05
ahmadabad,Papaya,2009,4,825.0,20,1.5,0.05,2.3134792960604133e-05
ahmadabad,Papaya,2009,5,800.0,19,0.0,0.0,2.0974650475139565e-05
ahmadabad,Papaya,2009,6,880.952380952381,21,17.1,0.5700000000000001,2.0082294557862617e-05
ahmadabad,Papaya,2009,7,827.7777777777778,18,452.9,14.609677419354838,2.111029201948397e-05
ahmadabad,Papaya,2009,8,1800.0,18,124.5,4.016129032258065,3.6569448274530135e-05
ahmadabad,Papaya,2009,9,1736.3636363636365,22,16.1,0.5366666666666667,3.9649148696792685e-05
ahmadabad,Papaya,2009,10,1850.0,16,1.9,0.0612903225806451,3.395838409913904e-05
ahmadabad,Papaya,2009,11,1238.888888888889,18,1.5,0.05,3.217276102460755e-05
ahmadabad,Papaya,2009,12,1316.6666666666667,21,0.4,0.0129032258064516,3.40859821208877e-05
ahmadabad,Papaya,2010,1,702.9411764705883,17,1.3,0.0419354838709677,3.604698647025337e-05
ahmadabad,Papaya,2010,2,1341.1764705882354,17,0.0,0.0,3.1869253498065125e-05
ahmadabad,Papaya,2010,3,1241.1764705882354,17,0.0,0.0,2.5084470714421704e-05
ahmadabad,Papaya,2010,4,1600.0,9,0.0,0.0,2.200529165647741e-05
ahmadabad,Papaya,2010,5,1000.0,4,0.0,0.0,2.007171407263436e-05
ahmadabad,Papaya,2010,6,925.0,2,14.6,0.4866666666666666,2.002290102615415e-05
ahmadabad,Papaya,2010,7,1333.3333333333333,6,339.6,10.95483870967742,2.255873841629846e-05
ahmadabad,Papaya,2010,8,1325.0,8,442.6,14.27741935483871,3.2205732438232136e-05
ahmadabad,Papaya,2010,9,1537.5,8,260.8,8.693333333333333,4.559610648436607e-05
ahmadabad,Papaya,2010,10,1181.25,8,3.6,0.1161290322580645,4.3520674184389214e-05
ahmadabad,Papaya,2010,11,1412.5,4,49.3,1.643333333333333,3.901224088512793e-05
ahmadabad,Papaya,2010,12,1223.076923076923,13,1.5,0.0483870967741935,3.744680341643629e-05
ahmadabad,Papaya,2011,1,1250.0,10,0.0,0.0,4.203450763616721e-05
ahmadabad,Papaya,2011,2,1827.7777777777776,9,0.0,0.0,4.083951836030256e-05
ahmadabad,Papaya,2011,3,1840.909090909091,11,0.0,0.0,2.9471120754200672e-05
ahmadabad,Papaya,2011,4,1365.0,10,1.3,0.0433333333333333,2.3823716092164785e-05
ahmadabad,Papaya,2011,5,1116.6666666666667,6,0.0,0.0,2.2045195652924648e-05
ahmadabad,Papaya,2011,6,1300.0,8,2.2,0.0733333333333333,1.5734096315889965e-05
ahmadabad,Papaya,2011,7,1300.0,5,237.8,7.670967741935484,2.536464201442824e-05
ahmadabad,Papaya,2011,8,1750.0,10,319.6,10.30967741935484,3.502258074228614e-05
ahmadabad,Papaya,2011,9,1556.25,8,152.9,5.096666666666667,4.8115735450896725e-05
ahmadabad,Papaya,2011,10,1463.6363636363635,11,0.2,0.0064516129032258,4.15905270930363e-05
ahmadabad,Papaya,2011,11,1800.0,4,0.0,0.0,3.681234060874164e-05
ahmadabad,Papaya,2011,12,1800.0,12,0.0,0.0,3.7399040940659465e-05
