district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Peas Wet,2014,10,8030.0,10,2.2,0.0709677419354838,4.452559177120333e-05
ahmadabad,Peas Wet,2014,11,6168.0,25,6.2,0.2066666666666666,3.87043634130837e-05
ahmadabad,Peas Wet,2014,12,2600.0,27,0.0,0.0,3.924645696206544e-05
ahmadabad,Peas Wet,2015,1,2221.0526315789475,19,5.5,0.1774193548387097,4.429137115981123e-05
ahmadabad,Peas Wet,2015,2,1633.3333333333333,12,0.0,0.0,3.9949274143456674e-05
ahmadabad,Peas Wet,2015,3,2446.6666666666665,15,32.9,1.0612903225806452,3.055394557662524e-05
ahmadabad,Peas Wet,2015,4,4078.571428571429,14,2.8,0.0933333333333333,2.522566601032541e-05
ahmadabad,Peas Wet,2015,5,4461.111111111111,18,0.1,0.0032258064516129,2.2208772614804723e-05
ahmadabad,Peas Wet,2015,6,6638.461538461538,13,44.3,1.4766666666666666,2.123323246445273e-05
ahmadabad,Peas Wet,2015,7,6945.0,20,363.5,11.725806451612904,1.9348974284763044e-05
ahmadabad,Peas Wet,2015,8,5614.285714285715,14,25.8,0.832258064516129,3.993645080618366e-05
ahmadabad,Peas Wet,2015,9,8037.5,16,72.3,2.41,4.816321713473653e-05
ahmadabad,Peas Wet,2015,10,8661.538461538461,13,0.0,0.0,4.292876526750568e-05
ahmadabad,Peas Wet,2015,11,7306.666666666667,15,0.0,0.0,3.8085233574586754e-05
ahmadabad,Peas Wet,2015,12,2883.333333333333,18,0.0,0.0,3.595764888621849e-05
ahmadabad,Peas Wet,2016,1,2081.25,16,0.0,0.0,3.82949029180592e-05
ahmadabad,Peas Wet,2016,2,1606.6666666666667,15,0.0,0.0,3.58758547397519e-05
ahmadabad,Peas Wet,2016,3,2429.4117647058824,17,0.5,0.0161290322580645,2.917100952821568e-05
ahmadabad,Peas Wet,2016,4,6040.0,15,0.0,0.0,2.4618408692290084e-05
ahmadabad,Peas Wet,2016,5,5486.666666666667,15,1.5,0.0483870967741935,2.145876884492433e-05
ahmadabad,Peas Wet,2016,6,6163.636363636364,11,40.50000000000001,1.3500000000000003,1.877084165374821e-05
ahmadabad,Peas Wet,2016,7,8700.0,17,174.6,5.632258064516129,1.6933296459072276e-05
ahmadabad,Peas Wet,2016,8,4889.285714285715,14,330.4,10.658064516129032,3.8242507688747295e-05
ahmadabad,Peas Wet,2016,9,6106.666666666667,15,6.4,0.2133333333333333,4.909261400179009e-05
ahmadabad,Peas Wet,2016,10,8460.714285714286,14,112.8,3.638709677419355,4.186539494096516e-05
ahmadabad,Peas Wet,2016,11,6945.454545454545,11,0.0,0.0,3.767486192581924e-05
ahmadabad,Peas Wet,2016,12,1741.1764705882354,17,0.0,0.0,3.82640014680039e-05
ahmadabad,Peas Wet,2017,1,861.5384615384615,13,0.0,0.0,3.994631387303658e-05
ahmadabad,Peas Wet,2017,2,1095.8333333333333,12,0.0,0.0,3.7046376212644734e-05
ahmadabad,Peas Wet,2017,3,1442.857142857143,14,0.0,0.0,2.960569478936636e-05
ahmadabad,Peas Wet,2017,4,4441.666666666667,12,0.0,0.0,2.5888256811143745e-05
ahmadabad,Peas Wet,2017,5,4426.315789473684,19,0.6,0.0193548387096774,2.258314879310385e-05
ahmadabad,Peas Wet,2017,6,4607.692307692308,13,92.0,3.066666666666667,2.3348495267200336e-05
ahmadabad,Peas Wet,2017,7,6135.294117647059,17,733.0,23.64516129032258,2.088166042918639e-05
ahmadabad,Peas Wet,2017,8,4607.142857142857,14,225.9,7.287096774193548,4.0923991056534894e-05
ahmadabad,Peas Wet,2017,9,7608.333333333333,12,68.3,2.2766666666666664,4.84972400308825e-05
ahmadabad,Peas Wet,2017,10,9150.0,10,0.3,0.0096774193548387,4.161186503880456e-05
ahmadabad,Peas Wet,2017,11,5439.285714285715,14,0.0,0.0,3.78238894816127e-05
ahmadabad,Peas Wet,2017,12,2356.6666666666665,15,13.6,0.4387096774193549,4.252240565730429e-05
ahmadabad,Peas Wet,2018,1,1957.5,20,0.0,0.0,4.299584114237011e-05
ahmadabad,Peas Wet,2018,2,1727.7777777777778,18,0.6,0.0214285714285714,3.7911311939491934e-05
ahmadabad,Peas Wet,2018,3,1730.952380952381,21,0.0,0.0,3.029429668021601e-05
ahmadabad,Peas Wet,2018,4,4130.0,10,0.3,0.01,2.5025456354904493e-05
ahmadabad,Peas Wet,2018,5,4700.0,15,0.5,0.0161290322580645,2.0058650853705864e-05
ahmadabad,Peas Wet,2018,6,4720.0,5,18.4,0.6133333333333333,1.889632265463069e-05
ahmadabad,Peas Wet,2018,7,7041.176470588235,17,465.3,15.00967741935484,1.4190475758591477e-05
ahmadabad,Peas Wet,2018,8,4214.705882352941,17,257.2,8.296774193548387,3.51574889847144e-05
ahmadabad,Peas Wet,2018,9,7726.666666666667,15,36.9,1.23,4.316152749301148e-05
ahmadabad,Peas Wet,2018,10,8759.09090909091,11,0.0,0.0,3.76061135588367e-05
ahmadabad,Peas Wet,2018,11,5280.0,10,0.0,0.0,3.4604197805304365e-05
ahmadabad,Peas Wet,2018,12,1994.7368421052631,19,0.0,0.0,3.623375331813844e-05
ahmadabad,Peas Wet,2019,1,1521.428571428571,14,0.0,0.0,3.767640241886117e-05
ahmadabad,Peas Wet,2019,2,1368.75,16,0.0,0.0,3.612484381064527e-05
ahmadabad,Peas Wet,2019,3,2297.222222222222,18,0.2,0.0064516129032258,2.742355743063716e-05
ahmadabad,Peas Wet,2019,4,4042.857142857143,14,0.1,0.0033333333333333,2.434595138310186e-05
ahmadabad,Peas Wet,2019,5,4884.615384615385,13,0.0,0.0,2.192138801217912e-05
ahmadabad,Peas Wet,2019,6,5669.2307692307695,13,104.7,3.49,1.9577523116147428e-05
ahmadabad,Peas Wet,2019,7,7794.444444444444,18,230.0,7.419354838709677,1.7490397494106505e-05
ahmadabad,Peas Wet,2019,8,6639.285714285715,14,768.9,24.80322580645161,3.2052080498776885e-05
ahmadabad,Peas Wet,2019,9,9706.666666666666,15,420.0,14.0,4.731467871431298e-05
ahmadabad,Peas Wet,2019,10,11081.818181818182,11,18.5,0.5967741935483871,4.7615255253428885e-05
ahmadabad,Peas Wet,2019,11,5353.333333333333,15,10.4,0.3466666666666666,4.514273753635781e-05
ahmadabad,Peas Wet,2019,12,2423.529411764706,17,0.2,0.0064516129032258,4.1205177997909736e-05
ahmadabad,Peas Wet,2020,1,2508.333333333333,18,2.7,0.0870967741935483,4.694991872433266e-05
ahmadabad,Peas Wet,2020,2,2487.5,8,0.0,0.0,4.576876473882365e-05
ahmadabad,Peas Wet,2020,3,2553.125,16,3.1,0.0999999999999999,3.514142870276463e-05
ahmadabad,Peas Wet,2020,6,6850.0,9,81.6,2.72,2.700453068926787e-05
ahmadabad,Peas Wet,2020,7,9681.25,8,211.4,6.819354838709677,3.4942667638827434e-05
ahmadabad,Peas Wet,2020,11,9581.25,8,0.0,0.0,3.799517657815833e-05
ahmadabad,Peas Wet,2020,12,1675.0,8,3.0,0.0967741935483871,4.077453308727723e-05
ahmadabad,Peas Wet,2021,1,1284.6153846153843,13,0.0,0.0,4.660461810228506e-05
ahmadabad,Peas Wet,2021,2,1961.764705882353,17,0.0,0.0,4.303949387313242e-05
ahmadabad,Peas Wet,2021,3,2957.5,20,0.0,0.0,3.246648377030273e-05
ahmadabad,Peas Wet,2021,4,5755.555555555556,9,0.0,0.0,2.7804788547205936e-05
ahmadabad,Peas Wet,2021,5,5766.666666666667,3,144.6,4.664516129032258,2.617031565225795e-05
ahmadabad,Peas Wet,2021,6,6062.5,12,117.9,3.93,2.640223378909725e-05
ahmadabad,Peas Wet,2021,7,6870.833333333333,12,231.2,7.458064516129032,2.6081889056416323e-05
ahmadabad,Peas Wet,2021,8,7250.0,3,37.2,1.2000000000000002,3.721056149544299e-05
ahmadabad,Peas Wet,2021,9,13200.0,1,470.4,15.68,4.742559628897341e-05
ahmadabad,Peas Wet,2021,10,11445.0,10,9.7,0.3129032258064516,4.864621774215967e-05
ahmadabad,Peas Wet,2021,11,9944.444444444443,9,3.9,0.13,4.056489700951676e-05
ahmadabad,Peas Wet,2021,12,2926.6666666666665,15,12.9,0.4161290322580645,4.093812746003217e-05
ahmadabad,Peas Wet,2022,1,2023.076923076923,13,5.9,0.1903225806451612,4.664454819011785e-05
ahmadabad,Peas Wet,2022,2,2340.909090909091,11,0.0,0.0,4.197156709965887e-05
ahmadabad,Peas Wet,2022,3,3164.285714285714,14,0.0,0.0,3.120859159264688e-05
