district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Pumpkin,2001,12,225.0,1,1.6904761904761905,0.05453149001536098,3.8471672056102085e-05
ahmadabad,Pumpkin,2002,2,158.33333333333334,3,0.6454545454545455,0.023035154500671732,3.757568374705998e-05
ahmadabad,Pumpkin,2002,4,233.33333333333331,3,1.4047619047619047,0.046825396825396805,2.5029154284588178e-05
ahmadabad,Pumpkin,2002,5,312.5,2,8.94090909090909,0.28841642228738995,2.2118421678291084e-05
ahmadabad,Pumpkin,2002,6,205.0,5,80.50909090909092,2.6836363636363636,2.0163367254881227e-05
ahmadabad,Pumpkin,2002,7,308.3333333333333,6,352.0086956521739,11.355119214586257,2.0866191101797692e-05
ahmadabad,Pumpkin,2002,11,220.83333333333331,6,5.04090909090909,0.168030303030303,3.771675724863355e-05
ahmadabad,Pumpkin,2002,12,175.0,5,1.6904761904761905,0.05453149001536098,3.8471672056102085e-05
ahmadabad,Pumpkin,2003,1,210.7142857142857,7,0.1,0.0032258064516129,4.1575430066904256e-05
ahmadabad,Pumpkin,2003,2,250.0,1,10.9,0.3892857142857143,3.757568374705998e-05
ahmadabad,Pumpkin,2003,3,296.42857142857144,7,0.0,0.0,2.944533888328668e-05
ahmadabad,Pumpkin,2003,4,253.125,8,0.4,0.0133333333333333,2.5029154284588178e-05
ahmadabad,Pumpkin,2003,5,303.57142857142856,7,0.0,0.0,2.2118421678291084e-05
ahmadabad,Pumpkin,2003,6,222.22222222222223,9,87.2,2.9066666666666667,2.0163367254881227e-05
ahmadabad,Pumpkin,2003,7,360.7142857142857,7,397.5,12.82258064516129,2.0866191101797692e-05
ahmadabad,Pumpkin,2003,8,221.875,8,194.5,6.274193548387097,3.766717908704436e-05
ahmadabad,Pumpkin,2003,9,197.22222222222223,9,19.4,0.6466666666666666,4.662284846623507e-05
ahmadabad,Pumpkin,2003,10,186.11111111111111,9,0.6,0.0193548387096774,4.220367086206498e-05
ahmadabad,Pumpkin,2003,11,200.0,6,0.0,0.0,3.771675724863355e-05
ahmadabad,Pumpkin,2003,12,225.0,7,0.0,0.0,3.8471672056102085e-05
ahmadabad,Pumpkin,2004,1,200.0,4,0.0,0.0,4.1575430066904256e-05
ahmadabad,Pumpkin,2004,2,225.0,3,0.0,0.0,3.757568374705998e-05
ahmadabad,Pumpkin,2004,4,250.0,2,0.0,0.0,2.5029154284588178e-05
ahmadabad,Pumpkin,2004,5,275.0,2,11.0,0.3548387096774194,2.2118421678291084e-05
ahmadabad,Pumpkin,2004,6,250.0,2,114.8,3.826666666666666,2.0163367254881227e-05
ahmadabad,Pumpkin,2004,7,312.5,4,275.8,8.896774193548387,2.0866191101797692e-05
ahmadabad,Pumpkin,2004,8,412.5,2,483.0,15.580645161290322,3.766717908704436e-05
ahmadabad,Pumpkin,2004,9,325.0,4,29.2,0.9733333333333332,4.662284846623507e-05
ahmadabad,Pumpkin,2004,10,246.875,8,22.7,0.732258064516129,4.220367086206498e-05
ahmadabad,Pumpkin,2004,11,250.0,1,0.1,0.0033333333333333,3.771675724863355e-05
ahmadabad,Pumpkin,2004,12,266.6666666666667,3,0.5,0.0161290322580645,3.8471672056102085e-05
ahmadabad,Pumpkin,2005,2,275.0,3,0.0,0.0,3.3320762755521185e-05
ahmadabad,Pumpkin,2005,3,337.5,2,0.0,0.0,2.607901388869269e-05
ahmadabad,Pumpkin,2005,4,266.6666666666667,6,0.0,0.0,2.2592327402845845e-05
ahmadabad,Pumpkin,2005,5,262.5,6,1.5,0.0483870967741935,2.1749432993541363e-05
ahmadabad,Pumpkin,2005,6,241.66666666666663,3,314.8,10.493333333333334,1.5062733877494743e-05
ahmadabad,Pumpkin,2005,7,491.6666666666667,6,279.9,9.029032258064516,1.725048519830705e-05
ahmadabad,Pumpkin,2005,8,356.25,8,276.5,8.919354838709678,3.664642619175696e-05
ahmadabad,Pumpkin,2005,9,188.75,8,296.3,9.876666666666669,4.465853286803269e-05
ahmadabad,Pumpkin,2005,10,196.875,8,0.0,0.0,4.163442064707478e-05
ahmadabad,Pumpkin,2006,2,304.1666666666667,6,0.0,0.0,3.3919413254241616e-05
ahmadabad,Pumpkin,2006,3,275.0,3,4.7,0.1516129032258064,2.708774415098713e-05
ahmadabad,Pumpkin,2006,5,275.0,3,1.6,0.0516129032258064,2.0453423769159177e-05
ahmadabad,Pumpkin,2006,6,350.0,7,112.9,3.7633333333333336,2.0978812192369733e-05
ahmadabad,Pumpkin,2006,7,420.8333333333333,6,614.2,19.81290322580645,1.6314707457000158e-05
ahmadabad,Pumpkin,2006,8,500.0,1,588.0,18.967741935483872,3.0267156518329703e-05
ahmadabad,Pumpkin,2006,10,268.75,4,0.0,0.0,3.840154487867378e-05
ahmadabad,Pumpkin,2006,11,357.1428571428572,7,0.2,0.0066666666666666,3.518817983120915e-05
ahmadabad,Pumpkin,2006,12,481.25,8,0.0,0.0,3.685318221090574e-05
ahmadabad,Pumpkin,2007,1,350.0,2,0.0,0.0,3.776424135132441e-05
ahmadabad,Pumpkin,2007,2,262.5,2,0.0,0.0,3.422007471931285e-05
ahmadabad,Pumpkin,2007,3,325.0,4,1.0,0.032258064516129,2.6665512618134924e-05
ahmadabad,Pumpkin,2007,4,325.0,5,1.5,0.05,2.3440212924309327e-05
ahmadabad,Pumpkin,2007,5,383.3333333333333,6,0.1,0.0032258064516129,2.144514266250797e-05
ahmadabad,Pumpkin,2007,6,325.0,2,85.1,2.8366666666666664,1.8353022726950163e-05
ahmadabad,Pumpkin,2007,7,410.0,5,302.7,9.764516129032256,2.4239909627733355e-05
ahmadabad,Pumpkin,2007,8,400.0,6,330.1,10.648387096774194,4.105241453347374e-05
ahmadabad,Pumpkin,2007,9,300.0,2,231.9,7.73,4.696472947977271e-05
ahmadabad,Pumpkin,2007,11,300.0,1,1.8,0.06,3.674972070335933e-05
ahmadabad,Pumpkin,2007,12,400.0,1,0.0,0.0,3.5187240650247404e-05
ahmadabad,Pumpkin,2008,1,382.1428571428572,7,0.0,0.0,3.8340708113770815e-05
ahmadabad,Pumpkin,2008,2,443.75,4,0.0,0.0,3.675588447087456e-05
ahmadabad,Pumpkin,2008,3,390.0,5,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05
ahmadabad,Pumpkin,2008,4,488.8888888888889,9,2.4,0.08,2.3945607607829e-05
ahmadabad,Pumpkin,2008,5,350.0,7,0.0,0.0,2.1848210216849822e-05
ahmadabad,Pumpkin,2008,6,275.0,4,75.9,2.53,1.5790292916277757e-05
ahmadabad,Pumpkin,2008,7,250.0,3,283.1,9.13225806451613,2.260650554224059e-05
ahmadabad,Pumpkin,2008,8,353.57142857142856,7,235.9,7.609677419354837,3.8641801018280085e-05
ahmadabad,Pumpkin,2008,9,150.0,1,131.1,4.37,4.037186397074391e-05
ahmadabad,Pumpkin,2008,10,370.0,5,2.2,0.0709677419354838,3.932383510342132e-05
ahmadabad,Pumpkin,2008,11,650.0,4,6.2,0.2066666666666666,3.5746072079531186e-05
ahmadabad,Pumpkin,2008,12,575.0,4,0.8,0.0258064516129032,3.776113612431969e-05
ahmadabad,Pumpkin,2009,1,400.0,7,0.0,0.0,4.0747087302437816e-05
ahmadabad,Pumpkin,2009,2,280.0,5,0.0,0.0,3.3766832062874406e-05
ahmadabad,Pumpkin,2009,3,281.25,4,0.2,0.0064516129032258,2.6851341813599344e-05
ahmadabad,Pumpkin,2009,4,268.75,4,1.5,0.05,2.3134792960604133e-05
ahmadabad,Pumpkin,2009,5,390.625,8,0.0,0.0,2.0974650475139565e-05
ahmadabad,Pumpkin,2009,6,350.0,9,17.1,0.5700000000000001,2.0082294557862617e-05
ahmadabad,Pumpkin,2009,7,700.0,2,452.9,14.609677419354838,2.111029201948397e-05
ahmadabad,Pumpkin,2009,8,825.0,4,124.5,4.016129032258065,3.6569448274530135e-05
ahmadabad,Pumpkin,2009,9,333.3333333333333,6,16.1,0.5366666666666667,3.9649148696792685e-05
ahmadabad,Pumpkin,2009,10,271.42857142857144,7,1.9,0.0612903225806451,3.395838409913904e-05
ahmadabad,Pumpkin,2009,11,255.0,5,1.5,0.05,3.217276102460755e-05
ahmadabad,Pumpkin,2009,12,461.1111111111111,9,0.4,0.0129032258064516,3.40859821208877e-05
ahmadabad,Pumpkin,2010,1,575.0,8,1.3,0.0419354838709677,3.604698647025337e-05
ahmadabad,Pumpkin,2010,2,385.7142857142857,7,0.0,0.0,3.1869253498065125e-05
ahmadabad,Pumpkin,2010,3,470.8333333333333,6,0.0,0.0,2.5084470714421704e-05
ahmadabad,Pumpkin,2010,4,528.5714285714286,7,0.0,0.0,2.200529165647741e-05
ahmadabad,Pumpkin,2010,5,416.6666666666667,3,0.0,0.0,2.007171407263436e-05
ahmadabad,Pumpkin,2010,6,422.22222222222223,9,14.6,0.4866666666666666,2.002290102615415e-05
