district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean
ahmadabad,Tomato,2001,11,862.5,2,4.821739130434782,0.1607246376811594,3.7622105144421015e-05
ahmadabad,Tomato,2001,12,605.0,10,1.673913043478261,0.05399719495091164,3.841810344694357e-05
ahmadabad,Tomato,2002,1,220.83333333333331,6,0.8782608695652173,0.02834969611968208,4.140102487551057e-05
ahmadabad,Tomato,2002,2,317.85714285714283,14,0.6454545454545455,0.023035154500671732,3.819933382519588e-05
ahmadabad,Tomato,2002,3,540.0,15,2.517391304347826,0.08120617110799437,2.944533888328668e-05
ahmadabad,Tomato,2002,4,567.8571428571429,21,1.2826086956521738,0.04275362318840578,2.5079388900194862e-05
ahmadabad,Tomato,2002,5,750.0,18,8.94090909090909,0.28841642228738995,2.2118421678291084e-05
ahmadabad,Tomato,2002,6,973.3333333333334,15,80.55652173913043,2.685217391304348,2.0505425426600558e-05
ahmadabad,Tomato,2002,7,885.2941176470588,17,352.0086956521739,11.355119214586257,2.0866191101797692e-05
ahmadabad,Tomato,2002,8,900.0,1,277.56363636363636,8.95366568914956,3.766717908704436e-05
ahmadabad,Tomato,2002,10,400.0,1,23.278260869565216,0.7509116409537168,4.22872121441419e-05
ahmadabad,Tomato,2002,11,308.3333333333333,18,4.821739130434782,0.1607246376811594,3.7622105144421015e-05
ahmadabad,Tomato,2002,12,187.5,18,1.673913043478261,0.05399719495091164,3.841810344694357e-05
ahmadabad,Tomato,2003,1,272.22222222222223,9,0.1,0.0032258064516129,4.140102487551057e-05
ahmadabad,Tomato,2003,2,330.0,5,10.9,0.3892857142857143,3.819933382519588e-05
ahmadabad,Tomato,2003,3,272.72727272727275,11,0.0,0.0,2.944533888328668e-05
ahmadabad,Tomato,2003,4,443.42105263157896,19,0.4,0.0133333333333333,2.5079388900194862e-05
ahmadabad,Tomato,2003,5,685.0,10,0.0,0.0,2.2118421678291084e-05
ahmadabad,Tomato,2003,6,853.125,16,87.2,2.9066666666666667,2.0505425426600558e-05
ahmadabad,Tomato,2003,7,1331.578947368421,19,397.5,12.82258064516129,2.0866191101797692e-05
ahmadabad,Tomato,2003,8,446.6666666666667,15,194.5,6.274193548387097,3.766717908704436e-05
ahmadabad,Tomato,2003,9,570.0,10,19.4,0.6466666666666666,4.6630238348732385e-05
ahmadabad,Tomato,2003,10,765.625,16,0.6,0.0193548387096774,4.22872121441419e-05
ahmadabad,Tomato,2003,11,729.1666666666666,12,0.0,0.0,3.7622105144421015e-05
ahmadabad,Tomato,2003,12,443.75,12,0.0,0.0,3.841810344694357e-05
ahmadabad,Tomato,2004,1,335.5769230769231,26,0.0,0.0,4.140102487551057e-05
ahmadabad,Tomato,2004,2,370.0,20,0.0,0.0,3.819933382519588e-05
ahmadabad,Tomato,2004,3,171.42857142857142,21,0.0,0.0,2.944533888328668e-05
ahmadabad,Tomato,2004,4,212.64705882352945,17,0.0,0.0,2.5079388900194862e-05
