district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
jamnagar,Ajwan,2003,11,2974.375,4,0.0,0.0,3.834670620884884e-05,2003-11-01,2521.6666666666665,2843.75,2871.875,2909.833333333333,2775.0,3750.0,2875.1527777777774,33.16337748905888,2943.8263888888887,428.57519956040045,130.625,64.54166666666697,349.29999999999995,-6.819354838709678,4.876679754083287e-05,-5.9479392328674e-06,-0.5000000000000004,0.8660254037844384
mahesana,Ajwan,2003,11,2675.0,1,0.0,0.0,4.842700413364557e-05,2003-11-01,2958.75,2974.375,2843.75,2871.875,3765.0,2231.25,2896.6666666666665,68.75094696317782,2977.055555555555,420.520941533849,-299.375,-196.875,13.4,-6.819354838709678,3.834670620884884e-05,-7.830755477886756e-06,-0.5000000000000004,0.8660254037844384
jamnagar,Ajwan,2003,12,2211.25,2,0.0,0.0,3.641680513973124e-05,2003-12-01,3055.0,2675.0,2974.375,2843.75,2497.5,12012.5,2831.0416666666665,150.0915519219309,2795.3888888888887,176.94844208809508,-463.75,-632.5,0.0,-2.358192219679634,4.842700413364557e-05,-1.234999240110163e-05,-2.4492935982947064e-16,1.0
mahesana,Ajwan,2003,12,2900.0,1,0.0,0.0,4.9981943623423386e-05,2003-12-01,2904.0,2211.25,2675.0,2974.375,2909.833333333333,3642.5,2620.2083333333335,384.5016728940639,2747.680555555555,281.20373281990487,688.75,-74.375,0.0,-2.358192219679634,3.641680513973124e-05,1.1635237414574545e-05,-2.4492935982947064e-16,1.0
mahesana,Ajwan,2004,1,2521.6666666666665,3,0.0,0.0,5.344168546966769e-05,2004-01-01,3155.0,2900.0,2211.25,2675.0,2871.875,2122.5,2595.4166666666665,351.20403020656494,2746.0416666666665,280.09615164557914,-378.3333333333335,-153.33333333333348,0.0,-1.3272727272727272,4.9981943623423386e-05,5.014681336022123e-06,0.49999999999999994,0.8660254037844387
jamnagar,Ajwan,2004,1,2958.75,4,0.1,0.0032258064516129,3.639971463368188e-05,2004-01-01,3005.0,2521.6666666666665,2900.0,2211.25,2843.75,2876.5,2544.305555555555,344.93264573332726,2687.6736111111113,285.0748688413346,437.0833333333335,747.5,0.0,-1.227272727272727,5.344168546966769e-05,-1.7090506049361148e-08,0.49999999999999994,0.8660254037844387
jamnagar,Ajwan,2004,2,3055.0,3,0.0,0.0,3.177705781598111e-05,2004-02-01,3239.0,2958.75,2521.6666666666665,2900.0,2974.375,2775.0,2793.472222222222,237.21632668968752,2706.840277777778,301.0836451892724,96.25,155.0,0.1,-0.5541016940235691,3.639971463368188e-05,-1.8204885807442273e-05,0.8660254037844386,0.5000000000000001
jamnagar,Ajwan,2004,3,2904.0,5,0.0,0.0,2.401985005374917e-05,2004-03-01,2675.0,3055.0,2958.75,2521.6666666666665,2675.0,3765.0,2845.1388888888887,284.2388512097484,2720.277777777778,316.8008122300609,-151.0,382.3333333333335,0.1,-2.1046453546453545,3.177705781598111e-05,-2.9421835415918523e-05,1.0,6.123233995736766e-17
mahesana,Ajwan,2004,4,3155.0,1,0.0,0.0,3.4956069191947184e-05,2004-04-01,2926.5,2904.0,3055.0,2958.75,2211.25,2497.5,2972.5833333333335,76.4445605215556,2758.444444444445,323.9683269269521,251.0,196.25,0.1,-1.000109751886746,2.401985005374917e-05,-1.4436454417346927e-06,0.8660254037844387,-0.4999999999999998
jamnagar,Ajwan,2004,4,3005.0,5,0.1,0.0033333333333333,2.18425256206813e-05,2004-04-01,2987.5,3155.0,2904.0,3055.0,2900.0,2909.833333333333,3038.0,126.36059512363988,2915.7361111111113,216.41068478875366,-150.0,-50.0,0.0,-0.9001097518867459,3.4956069191947184e-05,-9.934532195299813e-06,0.8660254037844387,-0.4999999999999998
