district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
mahesana,Banana,2004,2,452.77777777777777,9,0.0,0.0,5.046239264488802e-05,2004-02-01,1262.5,360.0,267.0,244.5,36.0,675.0,290.5,61.23111953900545,193.5,129.99538453345178,92.77777777777777,208.27777777777777,0.0,-0.30893392689784444,5.400839601295462e-05,9.781794550508653e-06,0.8660254037844386,0.5000000000000001
mahesana,Banana,2004,3,600.0,1,0.0,0.0,3.92394095163768e-05,2004-03-01,255.0,452.77777777777777,360.0,267.0,40.0,712.5,359.9259259259259,92.88891104022397,262.962962962963,139.9729236015444,147.22222222222223,333.0,0.0,-2.0076923076923077,5.046239264488802e-05,-1.441188578002567e-06,1.0,6.123233995736766e-17
chhotaudaipur,Banana,2004,7,367.125,8,432.7000000000001,13.958064516129031,4.0680598094379365e-05,2004-07-01,425.0,600.0,452.77777777777777,360.0,213.5,417.5,470.9259259259259,121.02485885513477,356.2962962962963,148.03844873723432,-232.875,7.125,0.0,82.61709401709413,3.92394095163768e-05,-1.3327797918575257e-05,-0.4999999999999997,-0.8660254037844388
chhotaudaipur,Banana,2004,8,310.5,18,526.8,16.993548387096773,4.0680598094379365e-05,2004-08-01,460.2941176470589,367.125,600.0,452.77777777777777,244.5,355.0,473.3009259259259,117.78620935272119,381.900462962963,130.6674787438941,-56.625,-142.27777777777777,432.7000000000001,234.09666666666664,4.0680598094379365e-05,-9.781794550508653e-06,-0.8660254037844384,-0.5000000000000004
jamnagar,Banana,2004,12,1262.5,2,0.0,0.0,4.0680598094379365e-05,2004-12-01,670.0,310.5,367.125,600.0,267.0,347.8125,425.875,153.43152992458863,392.900462962963,119.04880418997828,952.0,662.5,959.5,-2.221359223300971,4.0680598094379365e-05,1.441188578002567e-06,-2.4492935982947064e-16,1.0
narmada,Banana,2004,12,255.0,2,0.2,0.0064516129032258,4.905232184743313e-05,2004-12-01,511.9565217391304,1262.5,310.5,367.125,360.0,306.5625,646.7083333333334,534.0422550775671,558.8171296296297,359.45666650359766,-1007.5,-112.125,959.5,-2.021359223300971,4.0680598094379365e-05,8.371723753053764e-06,-2.4492935982947064e-16,1.0
narmada,Banana,2005,7,425.0,1,302.6,9.761290322580646,3.8639802944057584e-05,2005-07-01,430.6875,255.0,1262.5,310.5,452.77777777777777,36.0,609.3333333333334,566.3391945939583,541.3171296296297,373.3589620436652,170.0,114.5,527.0,-47.48290598290595,4.905232184743313e-05,-2.0407951503217806e-06,-0.4999999999999997,-0.8660254037844388
mahesana,Banana,2005,7,460.2941176470589,17,260.0,8.387096774193548,2.4036138305770643e-05,2005-07-01,1012.5,425.0,255.0,1262.5,600.0,40.0,647.5,539.3456683797507,536.6875,374.84568283161536,35.2941176470589,-802.2058823529411,302.8,-90.08290598290597,3.8639802944057584e-05,-1.6644459788608722e-05,-0.4999999999999997,-0.8660254037844388
navsari,Banana,2005,8,670.0,1,332.8,10.735483870967744,5.8173982360584345e-05,2005-08-01,448.75,460.2941176470589,425.0,255.0,367.125,213.5,380.09803921568636,109.76592479830909,513.4031862745098,374.46520540754386,209.7058823529411,415.0,562.8,40.09666666666669,2.4036138305770643e-05,9.121660513151216e-06,-0.8660254037844384,-0.5000000000000004
mahesana,Banana,2005,8,511.9565217391304,23,242.1,7.809677419354839,4.653246229995417e-05,2005-08-01,372.65,670.0,460.2941176470589,425.0,310.5,244.5,518.4313725490197,132.4432154006071,563.8823529411765,371.2027281660573,-158.04347826086962,86.95652173913038,895.4,-50.603333333333325,5.8173982360584345e-05,7.892659355896588e-06,-0.8660254037844384,-0.5000000000000004
