district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
ahmadabad,Beetroot,2003,3,480.0,5,0.0,0.0,2.944533888328668e-05,2003-03-01,431.25,300.0,263.8888888888889,415.0,875.0,1066.6666666666667,326.2962962962963,78.9130114397223,575.6481481481482,329.9899042435425,180.0,65.0,12.61363636363642,-3.027959866220736,3.757568374705998e-05,-8.848741951007747e-06,1.0,6.123233995736766e-17
ahmadabad,Beetroot,2003,4,525.0,8,0.4,0.0133333333333333,2.5029154284588174e-05,2003-04-01,455.0,480.0,300.0,263.8888888888889,1078.571428571429,400.0,347.962962962963,115.7641457816703,509.81481481481484,295.97282134806983,45.0,261.1111111111111,11.000000000000059,-0.8032501889644746,2.944533888328668e-05,-1.6371870590922398e-05,0.8660254037844387,-0.4999999999999998
ahmadabad,Beetroot,2003,5,878.5714285714286,7,0.0,0.0,2.2118421678291084e-05,2003-05-01,512.5,525.0,480.0,300.0,521.4285714285714,283.3333333333333,435.0,119.0588089979071,417.55291005291,112.84724597360076,353.57142857142856,578.5714285714286,11.30000000000006,-9.17637741046832,2.5029154284588174e-05,-1.5457262068768895e-05,0.49999999999999994,-0.8660254037844387
ahmadabad,Beetroot,2003,6,553.5714285714286,7,87.2,2.9066666666666667,1.990286596039388e-05,2003-06-01,492.8571428571428,878.5714285714286,525.0,480.0,415.0,418.75,627.8571428571428,218.28763088163848,477.07671957671954,220.98050710800248,-325.0,73.57142857142856,0.40000000000005864,-16.185645161290324,2.2118421678291084e-05,-9.5424729228928e-06,1.2246467991473532e-16,-1.0
ahmadabad,Beetroot,2003,7,431.25,8,397.5,12.82258064516129,2.086619110179769e-05,2003-07-01,500.0,553.5714285714286,878.5714285714286,525.0,263.8888888888889,394.44444444444446,652.3809523809524,196.40692521423202,500.17195767195767,220.43570666444845,-122.32142857142856,-93.75,87.60000000000007,60.73636991028292,1.990286596039388e-05,-4.162963182790485e-06,-0.4999999999999997,-0.8660254037844388
ahmadabad,Beetroot,2003,8,455.0,5,194.5,6.274193548387097,3.807829145197295e-05,2003-08-01,675.0,431.25,553.5714285714286,878.5714285714286,300.0,721.4285714285714,621.1309523809524,231.18679040512504,528.0654761904763,193.50026422049498,23.75,-423.57142857142856,484.70000000000005,-92.60689655172416,2.086619110179769e-05,1.5959869773681867e-05,-0.8660254037844384,-0.5000000000000004
ahmadabad,Beetroot,2003,9,512.5,8,19.4,0.6466666666666666,4.6601480902888966e-05,2003-09-01,640.0,455.0,431.25,553.5714285714286,480.0,875.0,479.94047619047615,64.86257384959885,553.8988095238095,165.24666228477506,57.5,-41.071428571428555,679.2,-196.05166666666668,3.807829145197295e-05,2.6698614942495086e-05,-1.0,-1.8369701987210297e-16
ahmadabad,Beetroot,2003,10,492.8571428571428,7,0.6,0.0193548387096774,4.226398822509829e-05,2003-10-01,405.0,512.5,455.0,431.25,525.0,1078.571428571429,466.25,41.77693741767231,559.3154761904763,162.85520114235112,-19.642857142857224,61.607142857142776,611.4,-32.644444444444446,4.6601480902888966e-05,2.13977971233006e-05,-0.8660254037844386,0.5000000000000001
ahmadabad,Beetroot,2003,11,500.0,6,0.0,0.0,3.771675724863355e-05,2003-11-01,239.5,492.8571428571428,512.5,455.0,878.5714285714286,521.4285714285714,486.7857142857142,29.226857232237226,553.9583333333334,164.72768254382294,7.142857142857224,45.0,214.50000000000006,-8.780013368983957,4.226398822509829e-05,-3.615342033393997e-07,-0.5000000000000004,0.8660254037844384
ahmadabad,Beetroot,2003,12,675.0,10,0.0,0.0,3.829408083429443e-05,2003-12-01,209.375,500.0,492.8571428571428,512.5,553.5714285714286,415.0,501.7857142857142,9.942436362201901,490.86309523809524,43.19220461050438,175.0,162.5,20.000000000000057,-4.6665813060179255,3.771675724863355e-05,-8.307400068594538e-06,-2.4492935982947064e-16,1.0
ahmadabad,Beetroot,2004,1,640.0,10,0.0,0.0,4.140102487551057e-05,2004-01-01,328.57142857142856,675.0,500.0,492.8571428571428,431.25,263.8888888888889,555.9523809523808,103.16010276614305,511.1011904761904,85.8421974651528,-35.0,147.14285714285722,0.6000000000000568,-0.9736748064324002,3.829408083429443e-05,-8.629633495877163e-07,0.49999999999999994,0.8660254037844387
