district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
ahmadabad,Cabbage,2002,3,205.05263157894737,19,2.517391304347826,0.0812061711079943,2.944533888328668e-05,2002-03-01,200.0,139.7826086956522,268.75,201.4705882352941,253.57142857142856,331.25,203.3343989769821,64.50389405162166,232.52105827338428,67.99401815386126,65.27002288329518,3.5820433436532824,2.5173913043478264,0.7188100754817395,4.532260844923813e-05,-8.539998913361486e-06,1.0,6.123233995736766e-17
dahod,Cabbage,2002,3,487.5,16,1.7347826086956522,0.0559607293127629,3.0495920200264967e-05,2002-03-01,300.0,205.05263157894737,139.7826086956522,268.75,335.0,425.0,204.5284134248665,64.48529373792918,224.43459210797081,67.87486027780045,282.4473684210526,218.75,4.4173913043478255,-0.06379862017043436,2.944533888328668e-05,-8.793817977533464e-06,1.0,6.123233995736766e-17
vadodara,Cabbage,2002,3,167.85714285714286,7,1.7952380952380953,0.057910906298003,4.029662929722959e-05,2002-03-01,248.75,487.5,205.05263157894737,139.7826086956522,196.55172413793105,355.35714285714283,277.44508009153316,184.81706091459952,249.85125877463747,123.39987117420905,-319.6428571428571,28.074534161490675,4.4331262939958584,-0.0033431336279912127,3.0495920200264967e-05,-5.025979152008538e-06,1.0,6.123233995736766e-17
dahod,Cabbage,2002,4,384.6,25,1.126086956521739,0.0375362318840579,2.8258400535699666e-05,2002-04-01,478.0,167.85714285714286,487.5,205.05263157894737,201.4705882352941,393.75,286.8032581453634,174.80063712301927,245.06882856117272,126.3982641092662,216.74285714285716,179.54736842105265,6.047412008281573,0.15821333706137275,4.029662929722959e-05,-1.186938347587015e-06,0.8660254037844387,-0.4999999999999998
vadodara,Cabbage,2002,4,200.0,5,0.8999999999999999,0.0299999999999999,3.633426998195054e-05,2002-04-01,385.0,384.6,167.85714285714286,487.5,268.75,230.0,346.652380952381,163.16527012250393,275.59039718862374,135.54434712216974,-184.60000000000002,-287.5,4.656107660455486,-0.06787361946036641,2.8258400535699666e-05,5.838349781685574e-06,0.8660254037844387,-0.4999999999999998
ahmadabad,Cabbage,2002,4,300.0,25,1.2826086956521738,0.0427536231884057,2.5079388900194862e-05,2002-04-01,555.5555555555555,200.0,384.6,167.85714285714286,139.7826086956522,351.7857142857143,250.81904761904764,116.96708182771991,264.1320638552904,139.09759658645817,100.0,132.14285714285714,3.8213250517598345,0.3147350761918075,3.633426998195054e-05,-1.5217240397034727e-05,0.8660254037844387,-0.4999999999999998
ahmadabad,Cabbage,2002,5,248.75,20,8.94090909090909,0.2884164222873899,2.2118421678291084e-05,2002-05-01,644.5652173913044,300.0,200.0,384.6,205.05263157894737,253.57142857142856,294.8666666666667,92.40699829197649,290.83496240601505,125.12886156228362,-51.25,-135.85000000000002,3.3086956521739133,0.49495451408494695,2.5079388900194862e-05,-6.139978857408581e-06,0.49999999999999994,-0.8660254037844387
dahod,Cabbage,2002,5,478.0,25,6.834782608695652,0.220476858345021,2.747676857372471e-05,2002-05-01,830.0,248.75,300.0,200.0,487.5,335.0,249.58333333333334,50.005208062094255,298.1178571428572,120.3166259695387,229.25,278.0,11.123517786561264,-1.6111719681284908,2.2118421678291084e-05,-8.857501408225832e-06,0.49999999999999994,-0.8660254037844387
ahmadabad,Cabbage,2002,6,385.0,20,80.55652173913043,2.685217391304348,2.050542542660056e-05,2002-06-01,400.0,478.0,248.75,300.0,167.85714285714286,196.55172413793105,342.25,120.32326250563527,296.5345238095238,117.35194931701562,-93.0,85.0,17.058300395256914,-17.20472287817752,2.747676857372471e-05,-4.573963473594301e-06,1.2246467991473532e-16,-1.0
dahod,Cabbage,2002,6,555.5555555555555,18,105.71304347826089,3.523768115942029,2.794066424347081e-05,2002-06-01,682.6086956521739,385.0,478.0,248.75,384.6,201.4705882352941,370.5833333333333,115.30295240510259,332.725,102.24203514210784,170.55555555555554,306.80555555555554,96.33221343873517,7.951798860952934,2.050542542660056e-05,5.822242565179727e-06,1.2246467991473532e-16,-1.0
