district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
ahmadabad,Capsicum,2003,1,616.6666666666666,3,0.1,0.0032258064516129,4.303242505518691e-05,2003-01-01,500.0,866.6666666666666,1666.6666666666667,1475.0,2060.0,975.0,1336.111111111111,417.6931799689729,1403.0555555555557,485.6386593007271,-250.0,-858.3333333333334,389.8699999999999,-1.0701530612244896,4.0462683130903726e-05,2.1423711105128803e-05,0.49999999999999994,0.8660254037844387
ahmadabad,Capsicum,2003,3,1333.3333333333333,3,0.0,0.0,3.171094785257454e-05,2003-03-01,825.0,616.6666666666666,866.6666666666666,1666.6666666666667,800.0,416.6666666666667,1050.0,548.4827557301445,1162.5,451.4098285741389,716.6666666666666,-333.3333333333335,8.189999999999943,-1.8305194805194807,4.303242505518691e-05,-6.949670178485831e-06,1.0,6.123233995736766e-17
vadodara,Capsicum,2005,10,2450.0,1,1.3,0.0419354838709677,5.5616243243127854e-05,2005-10-01,571.4285714285714,1333.3333333333333,616.6666666666666,866.6666666666666,1550.0,440.0,938.8888888888888,363.751034108241,1251.388888888889,416.9471278320641,1116.6666666666667,1583.3333333333335,3.629999999999943,-48.11666666666667,3.171094785257454e-05,1.5153560112224128e-05,-0.8660254037844386,0.5000000000000001
vadodara,Capsicum,2005,11,800.0,3,0.0,0.0,5.126170870518109e-05,2005-11-01,412.5,2450.0,1333.3333333333333,616.6666666666666,1475.0,610.0,1466.6666666666667,923.9107701023469,1401.3888888888887,645.2479425828552,-1650.0,183.33333333333337,1.3999999999999433,-10.206666666666665,5.5616243243127854e-05,8.229283649994184e-06,-0.5000000000000004,0.8660254037844384
vadodara,Capsicum,2005,12,500.0,1,0.0,0.0,4.7086623316867416e-05,2005-12-01,583.3333333333334,800.0,2450.0,1333.3333333333333,1666.6666666666667,500.0,1527.7777777777776,842.010380863254,1288.888888888889,687.3189997427742,-300.0,-833.3333333333333,1.2999999999999432,-5.513571428571429,5.126170870518109e-05,1.5375675464292878e-05,-2.4492935982947064e-16,1.0
ahmadabad,Capsicum,2006,1,825.0,7,0.0,0.0,3.826173143042432e-05,2006-01-01,375.0,500.0,800.0,2450.0,866.6666666666666,1487.5,1250.0,1050.0000000000002,1094.4444444444443,723.1617820121324,325.0,-1625.0,1.2999999999999432,-1.1701530612244897,4.7086623316867416e-05,-1.7354511812703537e-05,0.49999999999999994,0.8660254037844387
vadodara,Capsicum,2006,1,571.4285714285714,7,0.0,0.0,4.448927239592277e-05,2006-01-01,568.75,825.0,500.0,800.0,616.6666666666666,2060.0,708.3333333333334,180.85445345175597,1087.5,725.9811368838114,-253.57142857142856,-228.57142857142856,0.0,-1.1701530612244897,3.826173143042432e-05,-6.772436309258324e-06,0.49999999999999994,0.8660254037844387
vadodara,Capsicum,2006,2,412.5,6,0.0,0.0,4.0293514708280224e-05,2006-02-01,1333.3333333333333,571.4285714285714,825.0,500.0,1333.3333333333333,800.0,632.1428571428572,170.7949600174049,1079.9603174603174,732.0584220250099,-158.92857142857144,-87.5,0.0,-0.18979791759964174,4.448927239592277e-05,-6.793108608587192e-06,0.8660254037844386,0.5000000000000001
vadodara,Capsicum,2006,3,583.3333333333334,6,8.5,0.2741935483870967,3.670766685894824e-05,2006-03-01,980.5555555555557,412.5,571.4285714285714,825.0,2450.0,1550.0,602.9761904761905,208.05168036014578,926.4880952380953,764.1375162282524,170.83333333333337,-241.66666666666663,0.0,6.669480519480519,4.0293514708280224e-05,-1.5540645714760744e-06,1.0,6.123233995736766e-17
ahmadabad,Capsicum,2006,4,375.0,2,0.0,0.0,2.289987453545444e-05,2006-04-01,1115.0,583.3333333333334,412.5,571.4285714285714,800.0,1475.0,522.4206349206349,95.37997863817577,615.3769841269841,164.594437611565,-208.33333333333337,-196.42857142857144,8.499999999999943,-1.0552,3.670766685894824e-05,-2.158939786046833e-05,0.8660254037844387,-0.4999999999999998
