district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
mahesana,Castor Seed,2001,9,210.0,1,138.31304347826085,4.610434782608696,5.8250981344611726e-05,2001-09-01,1000.0,1045.0,215.0,216.0,215.0,1010.0,492.0,478.91230930098254,626.0,449.95555336055133,-835.0,-6.0,882.5999999999999,-37.885197178121985,4.728921763281194e-05,2.773045334235131e-05,-1.0,-1.8369701987210297e-16
mahesana,Castor Seed,2001,10,218.0,1,18.108695652173918,0.5841514726507714,5.199723000934115e-05,2001-10-01,1065.0,210.0,1045.0,215.0,1020.0,210.0,490.0,480.6506007486103,625.1666666666666,450.87267234405175,8.0,3.0,667.586956521739,-5.529942411182425,5.8250981344611726e-05,3.723432561944073e-06,-0.8660254037844386,0.5000000000000001
rajkot,Castor Seed,2001,10,1052.5,2,23.604347826086958,0.7614305750350631,5.2089952040357616e-05,2001-10-01,1057.5,218.0,210.0,1045.0,1045.0,1012.5,491.0,479.79474778284094,491.5,428.7473615079165,834.5,7.5,405.1782608695652,-0.03429023726938496,5.199723000934115e-05,4.800734407545677e-06,-0.8660254037844386,0.5000000000000001
mahesana,Castor Seed,2001,11,219.0,1,5.182608695652174,0.1727536231884058,4.817559721662357e-05,2001-11-01,1000.0,1052.5,218.0,210.0,216.0,1020.0,493.5,484.1247256647815,492.75,430.6903470011837,-833.5,9.0,180.02608695652174,-2.0981929921115388,5.2089952040357616e-05,-1.0075384127988154e-05,-0.5000000000000004,0.8660254037844384
dahod,Castor Seed,2001,11,1000.0,1,9.308695652173911,0.3102898550724637,4.824039736309929e-05,2001-11-01,220.0,219.0,1052.5,218.0,215.0,212.0,496.5,481.51038410401907,493.25,430.3063734131764,781.0,782.0,46.89565217391305,2.0278939644101985,4.817559721662357e-05,-3.7568326462418544e-06,-0.5000000000000004,0.8660254037844384
rajkot,Castor Seed,2001,11,1065.0,2,7.508695652173912,0.2502898550724637,4.531989649548173e-05,2001-11-01,1194.3333333333333,1000.0,219.0,1052.5,1045.0,1017.5,757.1666666666666,466.80465221903415,624.0833333333334,447.7691834714251,65.0,12.5,38.095652173913045,0.2278939644101987,4.824039736309929e-05,-6.7700555448758866e-06,-0.5000000000000004,0.8660254037844384
rajkot,Castor Seed,2001,12,1057.5,2,0.8478260869565217,0.0273492286115006,4.318471679287518e-05,2001-12-01,215.0,1065.0,1000.0,219.0,210.0,215.0,761.3333333333334,470.7975502626723,627.4166666666666,451.58746845618595,-7.5,838.5,21.999999999999996,-1.9135989982557489,4.531989649548173e-05,-4.99088042374839e-06,-2.4492935982947064e-16,1.0
dahod,Castor Seed,2001,12,1000.0,1,6.2043478260869565,0.2001402524544179,4.819273595412971e-05,2001-12-01,1203.4444444444443,1057.5,1065.0,1000.0,218.0,1020.0,1040.8333333333333,35.56098048892309,768.6666666666666,426.7743744259568,-57.5,0.0,17.665217391304346,3.442922740874686,4.318471679287518e-05,-4.7661408969580155e-08,-2.4492935982947064e-16,1.0
mahesana,Castor Seed,2001,12,220.0,1,1.5086956521739132,0.0486676016830294,4.9981943623423386e-05,2001-12-01,1236.0,1000.0,1057.5,1065.0,1052.5,1045.0,1040.8333333333333,35.56098048892309,899.0,334.3777803622725,-780.0,-845.0,14.56086956521739,-1.2527294330383574,4.819273595412971e-05,4.662047127941656e-06,-2.4492935982947064e-16,1.0
rajkot,Castor Seed,2002,1,1194.3333333333333,15,0.6625,0.0213799283154121,4.19416772168006e-05,2002-01-01,216.0,220.0,1000.0,1057.5,219.0,216.0,759.1666666666666,467.8162922914652,760.25,419.76466621191463,974.3333333333333,136.83333333333326,8.560869565217391,-0.6405476965259574,4.9981943623423386e-05,-1.2430395760745831e-06,0.49999999999999994,0.8660254037844387
mahesana,Castor Seed,2002,1,215.0,1,1.5583333333333336,0.0502777777777777,5.317022468166837e-05,2002-01-01,1215.625,1194.3333333333333,220.0,1000.0,1000.0,215.0,804.7777777777777,515.6696114259094,922.8055555555555,351.55164654028476,-979.3333333333333,-785.0,8.37554347826087,0.25528563680737615,4.19416772168006e-05,4.97748872753866e-06,0.49999999999999994,0.8660254037844387
dahod,Castor Seed,2002,1,1203.4444444444443,9,2.482608695652174,0.0800841514726507,4.595542253475469e-05,2002-01-01,1257.5,215.0,1194.3333333333333,220.0,1065.0,1045.0,543.1111111111111,563.9805289520529,791.9722222222222,449.5038056527402,988.4444444444443,983.4444444444443,3.7295289855072467,1.1795609991262166,5.317022468166837e-05,-4.026521088668693e-06,0.49999999999999994,0.8660254037844387
rajkot,Castor Seed,2002,2,1236.0,15,0.3130434782608696,0.0111640608267294,3.617472262739891e-05,2002-02-01,215.0,1203.4444444444443,215.0,1194.3333333333333,1057.5,210.0,870.9259259259258,568.0667815607222,815.0462962962962,469.4335099537418,32.55555555555566,41.66666666666674,4.703442028985507,-0.3094548325338839,4.595542253475469e-05,-5.766954589401691e-06,0.8660254037844386,0.5000000000000001
