district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
rajkot,Cotton,2002,4,1940.555555555556,9,0.682608695652174,0.0227536231884057,2.4190993616631505e-05,2002-04-01,1566.6666666666667,1615.0,1907.7272727272727,1620.0,1893.1818181818185,2000.0,1714.242424242424,167.581442722348,1759.7727272727273,175.17376261140848,325.5555555555561,320.5555555555561,2.9391304347826086,-0.33807131721560957,2.91654621133474e-05,-9.405615528932307e-06,0.8660254037844387,-0.4999999999999998
bhavnagar,Cotton,2002,4,1693.75,4,1.2869565217391306,0.0428985507246376,2.6310568523612984e-05,2002-04-01,1859.090909090909,1940.555555555556,1615.0,1907.7272727272727,1570.0,1975.0,1821.0942760942762,179.23605110992952,1767.6683501683503,183.27009348853386,-246.8055555555561,-213.97727272727275,3.3,0.266276508871347,2.4190993616631505e-05,-8.56902511703724e-07,0.8660254037844387,-0.4999999999999998
rajkot,Cotton,2002,5,1905.625,8,6.843478260869565,0.2207573632538569,2.1272430168916444e-05,2002-05-01,1665.0,1693.75,1940.555555555556,1615.0,1952.7272727272727,1975.0,1749.768518518519,169.8533507206406,1788.2933501683503,162.34434878973332,211.875,290.625,3.552173913043478,-0.6010321765825095,2.6310568523612984e-05,-7.893031944430957e-06,0.49999999999999994,-0.8660254037844387
bhavnagar,Cotton,2002,5,1597.5,4,17.730434782608697,0.5719495091164096,2.287601354433601e-05,2002-05-01,1814.0,1905.625,1693.75,1940.555555555556,1620.0,1975.0,1846.643518518519,133.55656828319746,1780.4429713804714,153.71198287787266,-308.125,-343.0555555555561,8.81304347826087,10.285924345156623,2.1272430168916444e-05,-1.314980072295494e-06,0.49999999999999994,-0.8660254037844387
bhavnagar,Cotton,2002,6,1566.6666666666667,3,104.61739130434782,3.487246376811594,2.1955598030579104e-05,2002-06-01,1573.3333333333333,1597.5,1905.625,1693.75,1907.7272727272727,1900.0,1732.2916666666667,157.63676271204443,1776.6929713804714,158.60559707233432,-30.833333333333258,-127.08333333333326,25.860869565217392,6.736510928386892,2.287601354433601e-05,-4.35497049303388e-06,1.2246467991473532e-16,-1.0
rajkot,Cotton,2002,6,1859.090909090909,11,101.29130434782608,3.376376811594203,2.097531097217778e-05,2002-06-01,1840.8333333333333,1566.6666666666667,1597.5,1905.625,1615.0,1950.0,1689.9305555555557,187.43197068339052,1719.8495370370372,163.29891701288898,292.42424242424227,-46.53409090909099,129.19130434782608,3.410423971865157,2.1955598030579104e-05,-2.971191967386651e-07,1.2246467991473532e-16,-1.0
bhavnagar,Cotton,2002,7,1665.0,2,244.6217391304348,7.891023842917251,2.78313894554692e-05,2002-07-01,1958.3333333333333,1859.090909090909,1566.6666666666667,1597.5,1940.555555555556,1893.1818181818185,1674.419191919192,160.67173352358597,1760.5313552188554,162.35600006098,-194.090909090909,67.5,223.6391304347826,-59.804925688406314,2.097531097217778e-05,4.95537591113319e-06,-0.4999999999999997,-0.8660254037844388
rajkot,Cotton,2002,7,1814.0,5,236.09565217391304,7.615988779803646,2.692031894881227e-05,2002-07-01,1666.6666666666667,1665.0,1859.090909090909,1566.6666666666667,1693.75,1570.0,1696.919191919192,148.80225300353732,1714.6054292929293,138.4628014082955,149.0,247.33333333333326,450.5304347826087,-68.33101264492808,2.78313894554692e-05,4.964720918233166e-06,-0.4999999999999997,-0.8660254037844388
bhavnagar,Cotton,2002,8,1573.3333333333333,3,266.8391304347826,8.607713884992988,4.663885540697845e-05,2002-08-01,1972.272727272728,1814.0,1665.0,1859.090909090909,1905.625,1952.7272727272727,1779.3636363636363,101.57548184673628,1734.647095959596,143.45316880957995,-240.66666666666674,-285.75757575757575,582.008695652174,0.573108701510364,2.692031894881227e-05,2.566354443480067e-05,-0.8660254037844384,-0.5000000000000004
rajkot,Cotton,2002,8,1840.8333333333333,12,248.7565217391304,8.024403927068724,4.728921763281194e-05,2002-08-01,1650.0,1573.3333333333333,1814.0,1665.0,1597.5,1620.0,1684.111111111111,121.46619709629957,1679.2651515151513,127.49885170263822,267.5,175.83333333333326,747.5565217391304,-17.509499994141834,4.663885540697845e-05,1.9457828177342738e-05,-0.8660254037844384,-0.5000000000000004
