district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
kheda,Leafy Vegetable,2005,5,603.125,4,1.7000000000000002,0.0548387096774193,3.2891678399905785e-05,2005-05-01,600.0,1325.0,212.5,550.0,266.6666666666667,187.5,695.8333333333334,570.4073836595503,549.3055555555555,404.9384098115919,-721.875,53.125,0.5,-6.428571428571428,3.459239017507862e-05,-1.4430905156684383e-05,0.49999999999999994,-0.8660254037844387
kheda,Leafy Vegetable,2005,6,475.0,5,90.4,3.0133333333333336,2.410236249520682e-05,2005-06-01,298.3333333333333,603.125,1325.0,212.5,391.6666666666667,78.75,713.5416666666666,564.409375106698,605.3819444444445,380.5312080360188,-128.125,262.5,1.8000000000000003,-10.929999999999993,3.2891678399905785e-05,-1.4740291758835032e-05,1.2246467991473532e-16,-1.0
vadodara,Leafy Vegetable,2005,7,300.0,1,202.2,6.522580645161291,3.369001855949336e-05,2005-07-01,362.5,475.0,603.125,1325.0,550.0,612.5,801.0416666666666,458.2611212052942,619.2708333333334,372.60913180458505,-175.0,-1025.0,92.2,-142.9217391304348,2.410236249520682e-05,-9.023716155852541e-07,-0.4999999999999997,-0.8660254037844388
vadodara,Leafy Vegetable,2005,8,345.0,10,219.8,7.090322580645161,5.1999622082486667e-05,2005-08-01,650.0,300.0,475.0,603.125,550.0,850.0,459.375,152.16536029924822,577.6041666666666,395.19781768649307,45.0,-258.125,294.3,-84.2590909090909,3.369001855949336e-05,1.9107943682580882e-05,-0.8660254037844384,-0.5000000000000004
kheda,Leafy Vegetable,2005,8,600.0,1,263.20000000000005,8.490322580645163,5.135958435627191e-05,2005-08-01,488.3333333333333,345.0,300.0,475.0,212.5,557.5,373.3333333333333,90.87537253477072,543.4375,406.75425435697645,255.0,125.0,512.4000000000001,-40.85909090909087,5.1999622082486667e-05,2.725722186106509e-05,-0.8660254037844384,-0.5000000000000004
vadodara,Leafy Vegetable,2005,9,298.3333333333333,12,413.4,13.78,5.829910205436011e-05,2005-09-01,248.2142857142857,600.0,345.0,300.0,1325.0,580.0,415.0,161.78689687363445,608.0208333333334,373.0680267781824,-301.6666666666667,-1.6666666666666856,685.2,187.34545454545454,5.135958435627191e-05,2.460908349486675e-05,-1.0,-1.8369701987210297e-16
kheda,Leafy Vegetable,2005,9,362.5,2,329.5,10.983333333333333,6.034160152145517e-05,2005-09-01,375.0,298.3333333333333,600.0,345.0,603.125,266.6666666666667,414.4444444444444,162.3810105664841,436.90972222222223,142.8789075888957,64.16666666666669,17.5,896.4000000000001,103.44545454545457,5.829910205436011e-05,8.341979438968501e-06,-1.0,-1.8369701987210297e-16
kheda,Leafy Vegetable,2005,10,650.0,1,0.1,0.0032258064516129,5.3503999841965256e-05,2005-10-01,267.5,362.5,298.3333333333333,600.0,475.0,391.6666666666667,420.27777777777777,158.91632436017446,396.8055555555556,118.60112500247092,287.5,50.0,1006.1000000000001,-27.027272727272724,6.034160152145517e-05,2.1444154856933476e-06,-0.8660254037844386,0.5000000000000001
vadodara,Leafy Vegetable,2005,10,488.3333333333333,15,1.3,0.0419354838709677,5.5616243243127854e-05,2005-10-01,900.0,650.0,362.5,298.3333333333333,300.0,550.0,436.9444444444444,187.28011798531264,425.9722222222222,156.98409037106123,-161.66666666666669,190.0,743.0,-25.827272727272724,5.3503999841965256e-05,-2.682858811232259e-06,-0.8660254037844386,0.5000000000000001
vadodara,Leafy Vegetable,2005,11,248.2142857142857,14,0.0,0.0,5.126170870518109e-05,2005-11-01,900.0,488.3333333333333,650.0,362.5,345.0,550.0,500.27777777777777,144.12170140133253,457.3611111111111,145.140178091031,-240.11904761904762,-114.2857142857143,330.9,-10.909074380165288,5.5616243243127854e-05,-9.079892816274076e-06,-0.5000000000000004,0.8660254037844384
kheda,Leafy Vegetable,2005,11,375.0,1,0.0,0.0,4.732258355659017e-05,2005-11-01,350.0,248.2142857142857,488.3333333333333,650.0,600.0,212.5,462.1825396825397,202.16537304257926,441.23015873015873,164.2464526354395,126.7857142857143,-275.0,1.4000000000000001,-10.909074380165288,5.126170870518109e-05,-6.1814162853750885e-06,-0.5000000000000004,0.8660254037844384
vadodara,Leafy Vegetable,2005,12,267.5,10,0.0,0.0,4.7086623316867416e-05,2005-12-01,484.375,375.0,248.2142857142857,488.3333333333333,298.3333333333333,1325.0,370.515873015873,120.12231184703761,403.73015873015873,145.3448020709373,-107.5,-220.83333333333331,1.3,-11.18507438016529,4.732258355659017e-05,-8.529619926260437e-06,-2.4492935982947064e-16,1.0
