district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
bhavnagar,Methi Seeds,2003,4,1474.1666666666667,6,0.6,0.02,2.6118614890928067e-05,2003-04-01,1442.857142857143,1500.0,15550.0,14750.0,1300.0,1697.5,10600.0,7890.97585853613,8303.333333333334,7566.972093688905,-25.833333333333258,-13275.833333333334,25.299999999999997,-0.30346009652229755,2.7167471035316708e-05,-2.3170678997302174e-05,0.8660254037844387,-0.4999999999999998
jamnagar,Methi Seeds,2003,4,1147.0,1,0.0,0.0,2.24808777701508e-05,2003-04-01,1250.0,1474.1666666666667,1500.0,15550.0,15320.0,1555.0,6174.722222222223,8119.238997476805,8332.361111111111,7534.999897085205,-327.16666666666674,-14403.0,0.5999999999999964,-0.9034600965222975,2.6118614890928067e-05,-1.563202408940989e-05,0.8660254037844387,-0.4999999999999998
rajkot,Methi Seeds,2003,4,1684.2857142857142,7,0.0,0.0,2.397682078757498e-05,2003-04-01,1557.5,1147.0,1474.1666666666667,1500.0,1400.0,1850.0,1373.7222222222224,196.77160571288778,5970.194444444444,7116.241228826623,537.2857142857142,184.28571428571422,0.5999999999999964,-0.9034600965222975,2.24808777701508e-05,-3.1906502477417275e-06,0.8660254037844387,-0.4999999999999998
bhavnagar,Methi Seeds,2003,5,1466.875,8,0.4,0.0129032258064516,2.251456652292095e-05,2003-05-01,1235.0,1684.2857142857142,1147.0,1474.1666666666667,14750.0,7500.0,1435.1507936507935,270.7594198809782,6017.575396825397,7080.583489933411,-217.41071428571422,-7.2916666666667425,0.5999999999999964,-5.257575757575758,2.397682078757498e-05,-3.6040483680071175e-06,0.49999999999999994,-0.8660254037844387
rajkot,Methi Seeds,2003,5,1442.857142857143,7,0.0,0.0,2.096058806537744e-05,2003-05-01,1348.75,1466.875,1684.2857142857142,1147.0,15550.0,1455.0,1432.7202380952378,270.2663418083522,3803.72123015873,5757.083390285773,-24.01785714285711,295.8571428571429,0.39999999999999647,-5.657575757575758,2.251456652292095e-05,-1.5202897047733601e-06,0.49999999999999994,-0.8660254037844387
rajkot,Methi Seeds,2003,6,1250.0,1,72.6,2.42,2.097531097217778e-05,2003-06-01,1500.0,1442.857142857143,1466.875,1684.2857142857142,1500.0,1350.0,1531.3392857142856,132.9987664416976,1452.5307539682537,173.2513673455723,-192.8571428571429,-434.2857142857142,0.39999999999999647,-14.24741784037559,2.096058806537744e-05,-3.0015098153972014e-06,1.2246467991473532e-16,-1.0
mahesana,Methi Seeds,2003,6,1557.5,2,84.0,2.8,2.9447866131515943e-05,2003-06-01,1460.0,1250.0,1442.857142857143,1466.875,1474.1666666666667,1300.0,1386.577380952381,118.88755236064783,1410.8640873015872,188.90679805290964,307.5,90.625,72.99999999999999,-2.8474178403755843,2.097531097217778e-05,6.933299608594993e-06,1.2246467991473532e-16,-1.0
jamnagar,Methi Seeds,2003,6,1235.0,1,87.19999999999999,2.9066666666666663,1.87573798202906e-05,2003-06-01,1440.0,1557.5,1250.0,1442.857142857143,1147.0,15320.0,1416.7857142857144,155.3990091372193,1424.7529761904761,197.36583224268094,-322.5,-207.8571428571429,156.59999999999997,0.3525821596244043,2.9447866131515943e-05,-2.20320824508684e-06,1.2246467991473532e-16,-1.0
bhavnagar,Methi Seeds,2003,6,1348.75,4,63.4,2.1133333333333333,2.2310918810231262e-05,2003-06-01,271.0,1235.0,1557.5,1250.0,1684.2857142857142,1400.0,1347.5,182.01991649271042,1439.419642857143,174.54808403877678,113.75,98.75,243.79999999999995,-23.447417840375586,1.87573798202906e-05,1.3356078380534836e-06,1.2246467991473532e-16,-1.0
botad,Methi Seeds,2003,7,1500.0,1,237.5,7.661290322580645,3.868696657980378e-05,2003-07-01,1337.5,1348.75,1235.0,1557.5,1466.875,14750.0,1380.4166666666667,163.56541759597775,1383.4970238095239,127.93179704838845,151.25,-57.5,234.59999999999997,-10.108839779005507,2.2310918810231262e-05,9.239100448287838e-06,-0.4999999999999997,-0.8660254037844388
mahesana,Methi Seeds,2003,7,1460.0,1,325.0,10.483870967741936,3.071492660256217e-05,2003-07-01,679.3333333333334,1500.0,1348.75,1235.0,1442.857142857143,15550.0,1361.25,132.94148148720654,1389.017857142857,132.8690350861347,-40.0,225.0,388.09999999999997,77.3911602209945,3.868696657980378e-05,1.1957546782271567e-05,-0.4999999999999997,-0.8660254037844388
bhavnagar,Methi Seeds,2003,7,1440.0,1,224.7,7.248387096774193,2.803858762071621e-05,2003-07-01,1460.0,1460.0,1500.0,1348.75,1250.0,1500.0,1436.25,78.37210919717052,1391.875,134.43341753457955,-20.0,91.25,625.9,-22.90883977900552,3.071492660256217e-05,5.727668810484948e-06,-0.4999999999999997,-0.8660254037844388
