district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
ahmadabad,Raddish,2003,2,175.0,1,10.9,0.3892857142857143,3.757568374705998e-05,2003-02-01,525.0,177.5,342.85714285714283,150.0,387.5,204.16666666666663,223.45238095238096,104.31771361638276,278.16137566137564,100.37155923576236,-2.5,25.0,8.064347826086957,10.364056406926407,4.140102487551057e-05,-1.0617052207069732e-05,0.8660254037844386,0.5000000000000001
dahod,Raddish,2003,2,183.3333333333333,6,18.5,0.6607142857142857,3.901843863733293e-05,2003-02-01,356.25,175.0,177.5,342.85714285714283,250.0,200.0,231.7857142857143,96.19880032346278,242.744708994709,91.14114603899685,8.333333333333286,-159.52380952380955,12.760000000000002,17.964056406926407,3.757568374705998e-05,9.91063885379291e-07,0.8660254037844386,0.5000000000000001
ahmadabad,Raddish,2003,3,275.0,2,0.0,0.0,2.944533888328668e-05,2003-03-01,755.0,183.3333333333333,175.0,177.5,361.1111111111111,20.0,178.6111111111111,4.276334532870309,231.63359788359787,94.09556214420918,91.66666666666671,97.5,29.5,-2.287020202020202,3.901843863733293e-05,-1.1955685992223892e-05,1.0,6.123233995736766e-17
surendranagar,Raddish,2003,4,600.0,3,0.0,0.0,2.5925361653605463e-05,2003-04-01,725.0,275.0,183.3333333333333,175.0,150.0,150.0,211.1111111111111,55.48606765399485,217.28174603174602,75.03364387746242,325.0,425.0,29.4,-1.0979591836734692,2.944533888328668e-05,-1.1650322093454517e-05,0.8660254037844387,-0.4999999999999998
surendranagar,Raddish,2003,5,525.0,3,0.3,0.0096774193548387,2.1188966455944863e-05,2003-05-01,293.1818181818182,600.0,275.0,183.3333333333333,342.85714285714283,204.54545454545453,352.77777777777777,218.95162665487288,292.281746031746,165.13428907351607,-75.0,341.66666666666674,18.5,-8.17142857142857,2.5925361653605463e-05,-1.7829472181388066e-05,0.49999999999999994,-0.8660254037844387
surendranagar,Raddish,2003,6,356.25,4,86.5,2.8833333333333333,2.159010126647733e-05,2003-06-01,781.25,525.0,600.0,275.0,177.5,206.25,466.6666666666667,170.17148213885125,322.63888888888886,191.00641108107882,-168.75,81.25,0.3,-15.209523809523816,2.1188966455944863e-05,-7.855237616809352e-06,1.2246467991473532e-16,-1.0
surendranagar,Raddish,2003,7,755.0,5,320.7,10.34516129032258,2.395445789442499e-05,2003-07-01,343.1818181818182,356.25,525.0,600.0,175.0,387.5,493.75,124.84365222148877,352.4305555555555,177.28868811964622,398.75,155.0,86.8,-13.293749999999989,2.159010126647733e-05,-1.970903759180472e-06,-0.4999999999999997,-0.8660254037844388
ahmadabad,Raddish,2003,8,725.0,8,194.5,6.274193548387097,3.700823039739357e-05,2003-08-01,80.0,755.0,356.25,525.0,183.3333333333333,250.0,545.4166666666666,200.1574900755237,449.0972222222222,215.2534708499795,-30.0,200.0,407.5,-67.4869565217391,2.395445789442499e-05,1.5819263941448706e-05,-0.8660254037844384,-0.5000000000000004
surendranagar,Raddish,2003,8,293.1818181818182,11,113.8,3.670967741935484,3.961478884797581e-05,2003-08-01,68.33333333333333,725.0,755.0,356.25,275.0,361.1111111111111,612.0833333333334,222.0653526179475,539.375,194.04211849492887,-431.8181818181818,-63.06818181818181,601.7,-148.1869565217391,3.700823039739357e-05,1.802468758149848e-05,-0.8660254037844384,-0.5000000000000004
ahmadabad,Raddish,2003,9,781.25,8,19.4,0.6466666666666666,4.597422164534085e-05,2003-09-01,375.0,293.1818181818182,725.0,755.0,600.0,150.0,591.0606060606061,258.40632577609614,542.4053030303031,189.16847754318243,488.0681818181818,26.25,629.0,-170.0060975609756,3.961478884797581e-05,2.201976375091586e-05,-1.0,-1.8369701987210297e-16
surendranagar,Raddish,2003,9,343.1818181818182,11,21.3,0.7100000000000001,4.794908471297058e-05,2003-09-01,688.8888888888889,781.25,293.1818181818182,725.0,525.0,342.85714285714283,599.8106060606061,267.033566788917,572.6136363636364,213.15625452464496,-438.0681818181818,-381.8181818181818,327.7,-168.1060975609756,4.597422164534085e-05,1.0940854315577008e-05,-1.0,-1.8369701987210297e-16
anand,Raddish,2003,9,80.0,1,31.2,1.04,6.28173192045886e-05,2003-09-01,250.0,343.1818181818182,781.25,293.1818181818182,356.25,177.5,472.5378787878788,268.5188640253522,542.310606060606,233.25531212302286,-263.1818181818182,-213.1818181818182,154.5,-158.20609756097562,4.794908471297058e-05,2.3202530356612793e-05,-1.0,-1.8369701987210297e-16
anand,Raddish,2003,10,68.33333333333333,6,0.0,0.0,5.3713936399827584e-05,2003-10-01,314.2857142857143,80.0,343.1818181818182,781.25,755.0,175.0,401.47727272727275,354.24096409152884,496.2689393939393,296.1194826754438,-11.666666666666671,-712.9166666666666,71.9,-21.751136363636363,6.28173192045886e-05,7.739714754486732e-06,-0.8660254037844386,0.5000000000000001
surendranagar,Raddish,2003,10,375.0,7,0.1,0.0032258064516129,4.376480715443058e-05,2003-10-01,261.1111111111111,68.33333333333333,80.0,343.1818181818182,725.0,183.3333333333333,163.83838383838383,155.4254752585656,381.8244949494949,308.55653489329904,306.6666666666667,31.818181818181813,52.5,-21.65113636363636,5.3713936399827584e-05,-4.1842775585400005e-06,-0.8660254037844386,0.5000000000000001
ahmadabad,Raddish,2003,10,688.8888888888889,9,0.6,0.0193548387096774,4.2084425637442405e-05,2003-10-01,200.0,375.0,68.33333333333333,80.0,293.1818181818182,275.0,174.44444444444443,173.784136001897,323.4911616161616,259.9600569028935,313.8888888888889,608.8888888888889,31.3,-21.15113636363636,4.376480715443058e-05,-2.0732893567146197e-05,-0.8660254037844386,0.5000000000000001
dahod,Raddish,2003,11,250.0,1,0.0,0.0,4.837982133537036e-05,2003-11-01,242.8571428571429,688.8888888888889,375.0,68.33333333333333,781.25,600.0,377.4074074074074,310.28478224130646,389.4423400673401,298.1260307610982,-438.8888888888889,181.66666666666669,0.7,-8.672386363636363,4.2084425637442405e-05,-5.334115064457223e-06,-0.5000000000000004,0.8660254037844384
