district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
mahesana,Soanf,2002,5,370.0,1,5.154545454545455,0.1662756598240469,3.1640895177580034e-05,2002-05-01,3000.0,1865.0,385.0,390.0,465.0,430.0,880.0,853.0386861098387,671.6666666666666,585.7957550773706,-1495.0,-20.0,4.8826086956521735,-2.118174353643721,3.4901176388474665e-05,-1.7326058997499238e-05,0.49999999999999994,-0.8660254037844387
mahesana,Soanf,2002,8,10301.666666666666,3,280.5173913043478,9.048948106591864,4.8273797447397074e-05,2002-08-01,28375.0,370.0,1865.0,385.0,460.0,470.0,873.3333333333334,858.8412736549947,655.8333333333334,593.7290347175777,9931.666666666666,9916.666666666666,8.802371541501977,2.8748393401983208,3.1640895177580034e-05,1.0160895587836385e-05,-0.8660254037844384,-0.5000000000000004
mahesana,Soanf,2002,9,415.0,1,138.31304347826085,4.610434782608696,5.8250981344611726e-05,2002-09-01,10700.0,10301.666666666666,370.0,1865.0,465.0,470.0,4178.888888888889,5354.910086736941,2296.111111111111,3965.431974040248,-9886.666666666666,-1450.0,286.59367588932804,-17.183449469347778,4.8273797447397074e-05,2.334980495613706e-05,-1.0,-1.8369701987210297e-16
mahesana,Soanf,2002,10,3000.0,1,18.108695652173918,0.5841514726507714,5.199723000934115e-05,2002-10-01,2481.25,415.0,10301.666666666666,370.0,390.0,460.0,3695.555555555555,5721.104286696691,2287.777777777778,3970.0994483299314,2585.0,2630.0,423.9849802371541,-2.7983423913043417,5.8250981344611726e-05,2.0356334831761113e-05,-0.8660254037844386,0.5000000000000001
mahesana,Soanf,2002,11,3000.0,1,5.182608695652174,0.1727536231884058,4.817559721662357e-05,2002-11-01,3100.0,3000.0,415.0,10301.666666666666,385.0,460.0,4572.222222222222,5127.422011252972,2722.777777777778,3862.0926490219817,0.0,-7301.666666666666,436.9391304347826,-2.145652173913044,5.199723000934115e-05,-9.820023077350155e-08,-0.5000000000000004,0.8660254037844384
mahesana,Soanf,2002,12,28375.0,2,1.5086956521739132,0.0486676016830294,4.9981943623423386e-05,2002-12-01,2600.0,3000.0,3000.0,415.0,1865.0,420.0,2138.3333333333335,1492.4504458551835,3158.611111111111,3689.193440406824,25375.0,27960.0,161.60434782608695,-1.2725985463593503,4.817559721662357e-05,-8.26903772118834e-06,-2.4492935982947064e-16,1.0
mahesana,Soanf,2003,1,10700.0,4,3.5,0.1129032258064516,5.317022468166837e-05,2003-01-01,2466.6666666666665,28375.0,3000.0,3000.0,370.0,465.0,11458.333333333334,14650.263080686753,7576.944444444444,10817.703669688184,-17675.0,7700.0,24.800000000000004,1.5411764705882354,4.9981943623423386e-05,1.1729946723272255e-06,0.49999999999999994,0.8660254037844387
patan,Soanf,2003,1,2481.25,4,8.1,0.2612903225806451,4.196735495304127e-05,2003-01-01,18400.0,10700.0,28375.0,3000.0,10301.666666666666,460.0,14025.0,13010.16429565745,9298.611111111111,10248.338153447485,-8218.75,-518.75,10.191304347826087,6.141176470588235,5.317022468166837e-05,-6.208242263582302e-06,0.49999999999999994,0.8660254037844387
banaskantha,Soanf,2003,1,3100.0,1,9.3,0.3,3.994556449511037e-05,2003-01-01,3000.0,2481.25,10700.0,28375.0,415.0,465.0,13852.083333333334,13231.526528365246,7995.208333333333,10586.966645853603,618.75,-25275.0,13.108695652173914,7.341176470588236,4.196735495304127e-05,-1.0036379128313017e-05,0.49999999999999994,0.8660254037844387
bhavnagar,Soanf,2003,2,2600.0,1,6.1,0.2178571428571428,3.404782801549122e-05,2003-02-01,2516.6666666666665,3100.0,2481.25,10700.0,3000.0,390.0,5427.083333333333,4576.947729746686,8442.708333333334,10253.98734690153,-500.0,-8100.0,20.900000000000002,5.392782345019823,3.994556449511037e-05,-1.912239666617715e-05,0.8660254037844386,0.5000000000000001
patan,Soanf,2003,2,2466.6666666666665,3,22.2,0.7928571428571428,3.845010018011427e-05,2003-02-01,14654.166666666666,2600.0,3100.0,2481.25,3000.0,385.0,2727.0833333333335,328.3679656016457,8376.041666666666,10297.657816727873,-133.33333333333348,-14.583333333333485,23.5,21.492782345019823,3.404782801549122e-05,-3.517254772926999e-06,0.8660254037844386,0.5000000000000001
mahesana,Soanf,2003,2,18400.0,2,25.3,0.9035714285714284,4.896695417507927e-05,2003-02-01,2450.0,2466.6666666666665,2600.0,3100.0,28375.0,1865.0,2722.222222222222,333.8884266959725,8287.152777777777,10355.48418987316,15933.333333333334,15300.0,37.6,24.592782345019824,3.845010018011427e-05,9.021389679968903e-06,0.8660254037844386,0.5000000000000001
banaskantha,Soanf,2003,2,3000.0,1,27.4,0.9785714285714284,3.994556449511037e-05,2003-02-01,2800.0,18400.0,2466.6666666666665,2600.0,10700.0,370.0,7822.222222222222,9160.866852076908,6624.652777777778,6608.25089490754,-15400.0,400.0,53.6,26.692782345019822,4.896695417507927e-05,5.8977364796191465e-06,0.8660254037844386,0.5000000000000001
patan,Soanf,2003,3,2516.6666666666665,3,0.0,0.0,2.938527518750341e-05,2003-03-01,4375.0,3000.0,18400.0,2466.6666666666665,2481.25,10301.666666666666,7955.555555555555,9049.084258969297,5341.319444444444,6403.01312760395,-483.3333333333335,50.0,74.9,-2.2447334721817547,3.994556449511037e-05,-9.06482499261086e-06,1.0,6.123233995736766e-17
mahesana,Soanf,2003,3,14654.166666666666,6,0.0,0.0,3.811290185956069e-05,2003-03-01,12964.285714285714,2516.6666666666665,3000.0,18400.0,3100.0,415.0,7972.222222222222,9033.953443250346,5347.222222222223,6399.864726579658,12137.5,-3745.833333333334,52.7,-2.2447334721817547,2.938527518750341e-05,-1.0854052315518584e-05,1.0,6.123233995736766e-17
patan,Soanf,2003,4,2450.0,2,0.0,0.0,2.5181560569732595e-05,2003-04-01,13228.57142857143,14654.166666666666,2516.6666666666665,3000.0,2600.0,3000.0,6723.6111111111095,6872.313027110492,7272.916666666667,7267.884908394372,-12204.166666666666,-550.0,27.400000000000002,-1.0147895931552295,3.811290185956069e-05,-1.4764003925377773e-05,0.8660254037844387,-0.4999999999999998
banaskantha,Soanf,2003,4,2800.0,1,0.0,0.0,3.994556449511037e-05,2003-04-01,2506.25,2450.0,14654.166666666666,2516.6666666666665,2466.6666666666665,3000.0,6540.2777777777765,7026.912962819236,7247.916666666667,7287.405302415028,350.0,283.3333333333335,0.0,-1.0147895931552295,2.5181560569732595e-05,1.0560289307606958e-05,0.8660254037844387,-0.4999999999999998
bhavnagar,Soanf,2003,4,4375.0,1,0.6,0.02,2.5433687782576137e-05,2003-04-01,3035.0,2800.0,2450.0,14654.166666666666,18400.0,28375.0,6634.72222222222,6947.247073348415,7303.472222222223,7244.811561399315,1575.0,-10279.166666666666,0.0,-0.41478959315522956,3.994556449511037e-05,-1.2679214076984552e-05,0.8660254037844387,-0.4999999999999998
