district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
kheda,Tobacco,2005,3,1350.0,1,0.7,0.0225806451612903,3.831089605035536e-05,2005-03-01,1325.0,1762.5,1666.25,1758.3333333333333,2825.0,2700.0,1729.0277777777776,54.40705206877852,1833.6805555555557,520.0288731745433,-412.5,-408.33333333333326,0.1,-2.0538461538461537,3.2687510854114186e-05,-7.959766597860579e-06,1.0,6.123233995736766e-17
mahesana,Tobacco,2005,4,1775.0,2,0.0,0.0,3.0190129175545817e-05,2005-04-01,1475.0,1350.0,1762.5,1666.25,1270.0,3355.0,1592.9166666666667,215.80638506154824,1587.8472222222224,219.44412359329553,425.0,108.75,0.7999999999999999,-1.0857142857142859,3.831089605035536e-05,-1.1941519549661864e-05,0.8660254037844387,-0.4999999999999998
kheda,Tobacco,2005,4,1375.0,1,0.0,0.0,3.443451412167455e-05,2005-04-01,1693.75,1775.0,1350.0,1762.5,1720.0,2875.0,1629.1666666666667,241.84619768219068,1672.013888888889,162.6491658675425,-400.0,-387.5,0.7,-1.0857142857142859,3.0190129175545817e-05,1.7470032675603644e-06,0.8660254037844387,-0.4999999999999998
mahesana,Tobacco,2005,5,1666.6666666666667,3,0.1,0.0032258064516129,2.971170306195648e-05,2005-05-01,1450.0,1375.0,1775.0,1350.0,1758.3333333333333,2875.0,1500.0,238.48480035423609,1614.513888888889,199.17371268336092,291.66666666666674,316.66666666666674,0.7,-6.480434782608697,3.443451412167455e-05,-8.599192988398879e-06,0.49999999999999994,-0.8660254037844387
kheda,Tobacco,2005,5,1325.0,1,1.7000000000000002,0.0548387096774193,3.2891678399905785e-05,2005-05-01,1958.3333333333333,1666.6666666666667,1375.0,1775.0,1666.25,3000.0,1605.5555555555557,206.88384645961577,1599.2361111111113,189.20161510253376,-341.66666666666674,-450.0,0.1,-4.880434782608696,2.971170306195648e-05,2.701549224359968e-06,0.49999999999999994,-0.8660254037844387
kheda,Tobacco,2005,6,1475.0,1,90.4,3.0133333333333336,2.410236249520682e-05,2005-06-01,1400.0,1325.0,1666.6666666666667,1375.0,1762.5,3015.0,1455.5555555555557,184.5289297804702,1542.3611111111113,214.61232274516288,150.0,100.0,1.8000000000000003,18.079166666666666,3.2891678399905785e-05,-1.0332151626467731e-05,1.2246467991473532e-16,-1.0
mahesana,Tobacco,2005,6,1693.75,4,93.9,3.1300000000000003,2.424807545817976e-05,2005-06-01,1766.6666666666667,1475.0,1325.0,1666.6666666666667,1350.0,2825.0,1488.888888888889,171.2562515755367,1494.4444444444446,185.791599698475,218.75,27.083333333333258,92.2,21.579166666666666,2.410236249520682e-05,-5.46362760377672e-06,1.2246467991473532e-16,-1.0
kheda,Tobacco,2005,7,1450.0,1,296.3,9.558064516129033,3.35993515079043e-05,2005-07-01,1893.75,1693.75,1475.0,1325.0,1775.0,1270.0,1497.9166666666667,185.44007342894668,1551.7361111111113,185.3413548673743,-243.75,125.0,186.0,-81.23333333333329,2.424807545817976e-05,7.076731079985163e-07,-0.4999999999999997,-0.8660254037844388
mahesana,Tobacco,2005,7,1958.3333333333333,3,260.0,8.387096774193548,2.4036138305770643e-05,2005-07-01,1333.3333333333333,1450.0,1693.75,1475.0,1375.0,1720.0,1539.5833333333333,134.09612534795025,1497.5694444444446,151.4307727484247,508.33333333333326,483.33333333333326,480.6,-117.5333333333333,3.35993515079043e-05,-6.622418943617609e-08,-0.4999999999999997,-0.8660254037844388
kheda,Tobacco,2005,8,1400.0,1,263.20000000000005,8.490322580645163,5.135958435627191e-05,2005-08-01,1925.0,1958.3333333333333,1450.0,1693.75,1666.6666666666667,1758.3333333333333,1700.6944444444443,254.23780880491773,1594.7916666666667,225.93075235813075,-558.3333333333333,-293.75,650.2,0.5750000000000455,2.4036138305770643e-05,2.711150889809215e-05,-0.8660254037844384,-0.5000000000000004
