district,commodity,year,month,monthly_mean_price,days_traded,monthly_rain_sum,monthly_rain_mean,monthly_ndvi_mean,date,target_price,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,price_roll_mean_3,price_roll_std_3,price_roll_mean_6,price_roll_std_6,price_mom_1,price_mom_3,rain_roll_3,rain_dev,ndvi_lag_1,ndvi_trend_3,month_sin,month_cos
surendranagar,Water Melon,2004,10,416.6666666666667,3,23.2,0.7483870967741936,4.534967789906696e-05,2004-10-01,525.0,450.0,600.0,425.0,466.6666666666667,800.0,491.6666666666667,94.64847243000465,429.86111111111114,134.07130841735213,-33.333333333333314,-8.333333333333314,215.7,-4.222641509433966,4.853100024470155e-05,1.8822132528285384e-05,-0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2004,11,566.6666666666666,9,1.9,0.0633333333333333,4.767777684120966e-05,2004-11-01,460.0,416.6666666666667,450.0,600.0,450.0,712.5,488.8888888888889,97.65775461803867,421.5277777777778,132.87464504673687,149.99999999999994,-33.33333333333337,230.89999999999998,-10.8775,4.534967789906696e-05,2.178340010251819e-05,-0.5000000000000004,0.8660254037844384
bharuch,Water Melon,2004,12,443.75,4,0.3,0.0096774193548387,4.466084442347914e-05,2004-12-01,516.6666666666666,566.6666666666666,416.6666666666667,450.0,187.5,537.5,477.77777777777777,78.76359377087688,440.97222222222223,145.7837217199456,-122.91666666666663,-6.25,48.1,-3.0720930232558143,4.767777684120966e-05,-3.870155821222409e-06,-2.4492935982947064e-16,1.0
bharuch,Water Melon,2005,1,450.0,1,0.3,0.0096774193548387,3.706850554188871e-05,2005-01-01,500.0,443.75,566.6666666666666,416.6666666666667,425.0,543.75,475.6944444444444,79.93957498103276,483.6805555555556,78.84162071778725,6.25,33.333333333333314,25.4,-1.1951219512195121,4.466084442347914e-05,-8.28117235717825e-06,0.49999999999999994,0.8660254037844387
bharuch,Water Melon,2005,2,525.0,4,0.0,0.0,3.29437256705711e-05,2005-02-01,300.0,450.0,443.75,566.6666666666666,600.0,550.0,486.8055555555555,69.23231489648413,487.84722222222223,75.7189690138378,75.0,-41.66666666666663,2.5,-0.9750943396226415,3.706850554188871e-05,-1.473405117063856e-05,0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2005,3,460.0,5,0.0,0.0,2.966393620895968e-05,2005-03-01,635.0,525.0,450.0,443.75,450.0,562.5,472.9166666666667,45.213613362939135,475.3472222222222,57.50025160975556,-65.0,16.25,0.6,-1.3847457627118644,3.29437256705711e-05,-1.499690821451946e-05,1.0,6.123233995736766e-17
bharuch,Water Melon,2005,4,516.6666666666666,9,0.0,0.0,2.6959288817308567e-05,2005-04-01,550.0,460.0,525.0,450.0,416.6666666666667,466.6666666666667,478.3333333333333,40.72263907623559,477.01388888888886,56.758758909642964,56.66666666666663,66.66666666666663,0.3,-1.0975,2.966393620895968e-05,-1.0109216724580144e-05,0.8660254037844387,-0.4999999999999998
bharuch,Water Melon,2005,5,500.0,1,0.3,0.0096774193548387,2.593124870111201e-05,2005-05-01,625.0,516.6666666666666,460.0,525.0,566.6666666666666,450.0,500.5555555555555,35.36843120532697,493.6805555555555,49.74268278592092,-16.66666666666663,-25.0,0.0,-5.193975903614458,2.6959288817308567e-05,-7.012476969459087e-06,0.49999999999999994,-0.8660254037844387
surendranagar,Water Melon,2005,5,300.0,1,0.5,0.0161290322580645,2.1274990682534275e-05,2005-05-01,441.6666666666667,500.0,516.6666666666666,460.0,443.75,187.5,492.2222222222222,29.12298316018068,482.5694444444444,35.61992328999599,-200.0,-160.0,0.3,-4.993975903614458,2.593124870111201e-05,-8.388945526425407e-06,0.49999999999999994,-0.8660254037844387
bharuch,Water Melon,2005,10,635.0,10,1.7000000000000002,0.0548387096774193,4.7259768628742376e-05,2005-10-01,431.25,300.0,500.0,516.6666666666666,450.0,425.0,438.88888888888886,120.56963563450398,458.6111111111111,83.33611106481645,335.0,118.33333333333337,0.8,-25.722641509433966,2.1274990682534275e-05,2.030047981143381e-05,-0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2006,2,550.0,2,0.0,0.0,3.345568580600199e-05,2006-02-01,400.0,635.0,300.0,500.0,525.0,600.0,478.3333333333333,168.5477182679533,489.4444444444444,109.5985942056369,-85.0,50.0,2.5,-0.9750943396226415,4.7259768628742376e-05,7.52443710488998e-06,0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2006,3,625.0,4,0.9,0.0290322580645161,3.108501638777036e-05,2006-03-01,500.0,550.0,635.0,300.0,460.0,450.0,495.0,174.14074767268005,493.6111111111111,111.67620191461603,75.0,325.0,2.2,-0.4847457627118644,3.345568580600199e-05,9.810025705236082e-06,1.0,6.123233995736766e-17
vadodara,Water Melon,2006,4,441.6666666666667,6,0.0,0.0,3.237601418044092e-05,2006-04-01,500.0,625.0,550.0,635.0,516.6666666666666,416.6666666666667,603.3333333333334,46.45786621588803,521.1111111111111,121.6171893308703,-183.33333333333331,-193.33333333333331,2.6,-1.0975,3.108501638777036e-05,-1.4883754448301453e-05,0.8660254037844387,-0.4999999999999998
bharuch,Water Melon,2006,4,431.25,4,0.0,0.0,2.8122256100108594e-05,2006-04-01,271.6666666666667,441.6666666666667,625.0,550.0,500.0,566.6666666666666,538.8888888888889,92.17033346131709,508.61111111111114,125.94274125202327,-10.416666666666686,-118.75,0.9,-1.0975,3.237601418044092e-05,-5.333429705893397e-06,0.8660254037844387,-0.4999999999999998
vadodara,Water Melon,2006,5,400.0,1,2.2,0.0709677419354838,2.8891250183432112e-05,2006-05-01,312.5,431.25,441.6666666666667,625.0,300.0,443.75,499.3055555555556,108.9791115730867,497.1527777777778,129.94668155168992,-31.25,-225.0,0.9,-3.2939759036144576,2.8122256100108594e-05,-2.1937662043382447e-06,0.49999999999999994,-0.8660254037844387
bharuch,Water Melon,2006,5,500.0,5,3.3,0.1064516129032258,2.6144048785036827e-05,2006-05-01,762.5,400.0,431.25,441.6666666666667,635.0,450.0,424.3055555555556,21.684020827772837,513.8194444444445,103.27969598063244,100.0,58.333333333333314,2.2,-2.193975903614458,2.8891250183432112e-05,-6.2319653954040954e-06,0.49999999999999994,-0.8660254037844387
bharuch,Water Melon,2006,6,500.0,2,110.0,3.6666666666666665,2.528181799275738e-05,2006-06-01,450.0,500.0,400.0,431.25,550.0,525.0,443.75,51.15845482420304,491.3194444444445,84.61941622258963,0.0,68.75,5.5,27.752054794520546,2.6144048785036827e-05,-2.8404381073512157e-06,1.2246467991473532e-16,-1.0
vadodara,Water Melon,2006,7,271.6666666666667,3,576.2,18.58709677419355,1.859077367272428e-05,2006-07-01,450.0,500.0,500.0,400.0,625.0,460.0,466.6666666666667,57.73502691896274,482.98611111111114,80.02187924191372,-228.33333333333331,-128.33333333333331,115.5,260.34222222222223,2.528181799275738e-05,-1.0300476510707831e-05,-0.4999999999999997,-0.8660254037844388
vadodara,Water Melon,2006,8,312.5,2,504.3,16.267741935483873,4.055328161620248e-05,2006-08-01,600.0,271.6666666666667,500.0,500.0,441.6666666666667,516.6666666666666,423.88888888888886,131.82831146496466,424.09722222222223,84.49622635667546,40.833333333333314,-187.5,689.5,234.06486486486483,1.859077367272428e-05,1.4409232831165654e-05,-0.8660254037844384,-0.5000000000000004
bharuch,Water Melon,2006,10,762.5,4,1.6,0.0516129032258064,4.56027417377621e-05,2006-10-01,850.0,312.5,271.6666666666667,500.0,431.25,500.0,361.38888888888886,121.76461050063115,402.5694444444444,94.93434012613776,450.0,262.5,1190.5,-25.822641509433964,4.055328161620248e-05,2.0320923745004722e-05,-0.8660254037844386,0.5000000000000001
surendranagar,Water Melon,2006,10,450.0,1,0.0,0.0,4.139437816885049e-05,2006-10-01,400.0,762.5,312.5,271.6666666666667,400.0,300.0,448.88888888888886,272.3615006513164,457.7777777777778,176.35323349165725,-312.5,178.33333333333331,1082.1000000000001,-27.422641509433966,4.56027417377621e-05,2.2803604496126212e-05,-0.8660254037844386,0.5000000000000001
vadodara,Water Melon,2006,12,450.0,3,0.0,0.0,4.705851675787907e-05,2006-12-01,316.6666666666667,450.0,762.5,312.5,500.0,635.0,508.3333333333333,230.60156836702848,466.11111111111114,174.24572899808504,0.0,137.5,505.90000000000003,-3.372093023255814,4.139437816885049e-05,6.50523514167659e-06,-2.4492935982947064e-16,1.0
surendranagar,Water Melon,2007,1,600.0,1,0.0,0.0,3.575626960379189e-05,2007-01-01,679.1666666666666,450.0,450.0,762.5,500.0,550.0,554.1666666666666,180.42195912175794,457.7777777777778,173.4948499609224,150.0,-162.5,1.6,-1.4951219512195122,4.705851675787907e-05,-9.846472133970212e-06,0.49999999999999994,0.8660254037844387
bharuch,Water Melon,2007,1,850.0,1,0.0,0.0,3.7653563589790864e-05,2007-01-01,300.0,600.0,450.0,450.0,271.6666666666667,625.0,500.0,86.60254037844383,474.4444444444445,182.90986446476452,250.0,400.0,0.0,-1.4951219512195122,3.575626960379189e-05,-3.740814579059629e-06,0.49999999999999994,0.8660254037844387
vadodara,Water Melon,2007,1,400.0,3,0.0,0.0,4.404536554912896e-05,2007-01-01,793.75,850.0,600.0,450.0,312.5,441.6666666666667,633.3333333333334,202.07259421636886,570.8333333333334,205.64937798755113,-450.0,-50.0,0.0,-1.4951219512195122,3.7653563589790864e-05,-3.0131512087501106e-06,0.49999999999999994,0.8660254037844387
vadodara,Water Melon,2007,2,316.6666666666667,6,0.8,0.0285714285714285,4.19231451217224e-05,2007-02-01,314.2857142857143,400.0,850.0,600.0,762.5,431.25,616.6666666666666,225.4624876411446,585.4166666666666,185.81184479646788,-83.33333333333331,-283.3333333333333,0.0,-0.17509433962264143,4.404536554912896e-05,6.166875517930508e-06,0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2007,2,679.1666666666666,6,1.6,0.0571428571428571,3.534453620926109e-05,2007-02-01,641.6666666666666,316.6666666666667,400.0,850.0,450.0,400.0,522.2222222222223,286.9055851927857,511.1111111111111,189.93176162525867,362.49999999999994,-170.83333333333337,0.8,0.6249056603773586,4.19231451217224e-05,-2.309027380529777e-06,0.8660254037844386,0.5000000000000001
vadodara,Water Melon,2007,3,300.0,4,0.0,0.0,3.554726669616267e-05,2007-03-01,733.3333333333334,679.1666666666666,316.6666666666667,400.0,450.0,500.0,465.27777777777777,189.86166991708387,549.3055555555555,198.05331539951746,-379.16666666666663,-100.0,2.4000000000000004,-1.3847457627118644,3.534453620926109e-05,-8.498098852966291e-06,1.0,6.123233995736766e-17
bharuch,Water Melon,2007,3,793.75,8,0.0,0.0,3.0158848433280447e-05,2007-03-01,341.6666666666667,300.0,679.1666666666666,316.6666666666667,600.0,500.0,431.9444444444444,214.26284048993384,524.3055555555555,221.20906191671733,493.75,477.0833333333333,2.4000000000000004,-1.3847457627118644,3.554726669616267e-05,-1.176429668844195e-05,1.0,6.123233995736766e-17
vadodara,Water Melon,2007,4,314.2857142857143,7,2.2,0.0733333333333333,3.287105912593125e-05,2007-04-01,320.0,793.75,300.0,679.1666666666666,850.0,271.6666666666667,590.9722222222222,258.4201243095206,556.5972222222222,247.09568781179732,-479.4642857142857,-364.88095238095235,1.6,1.1025000000000003,3.0158848433280447e-05,-2.4734770833298407e-06,0.8660254037844387,-0.4999999999999998
bharuch,Water Melon,2007,4,641.6666666666666,6,1.5,0.05,2.763386964593748e-05,2007-04-01,650.0,314.2857142857143,793.75,300.0,400.0,312.5,469.3452380952381,281.03355238837094,467.3115079365079,214.5131412727961,327.38095238095235,341.66666666666663,2.2,0.4025000000000001,3.287105912593125e-05,-7.913397050225188e-06,0.8660254037844387,-0.4999999999999998
bharuch,Water Melon,2007,5,733.3333333333334,3,0.3,0.0096774193548387,2.6241861943227952e-05,2007-05-01,350.0,641.6666666666666,314.2857142857143,793.75,316.6666666666667,762.5,583.234126984127,245.01483952852976,507.5892857142858,221.9074243338645,91.66666666666674,-60.41666666666663,3.7,-5.193975903614458,2.763386964593748e-05,-3.9169864900524956e-06,0.49999999999999994,-0.8660254037844387
vadodara,Water Melon,2007,5,341.6666666666667,6,0.0,0.0,3.027141882913974e-05,2007-05-01,450.0,733.3333333333334,641.6666666666666,314.2857142857143,679.1666666666666,450.0,563.0952380952381,220.29600268317606,577.0337301587301,215.30827585519907,-391.6666666666667,27.380952380952408,4.0,-5.493975903614458,2.6241861943227952e-05,-2.599640296791506e-06,0.49999999999999994,-0.8660254037844387
vadodara,Water Melon,2007,6,320.0,5,128.7,4.29,3.034422559361847e-05,2007-06-01,731.25,341.6666666666667,733.3333333333334,641.6666666666666,300.0,450.0,572.2222222222223,204.8599340832476,520.7837301587302,227.05524046620695,-21.666666666666686,-321.66666666666663,1.8,46.452054794520535,3.027141882913974e-05,2.7103559476809873e-06,1.2246467991473532e-16,-1.0
bharuch,Water Melon,2007,7,650.0,1,575.1,18.55161290322581,3.801545489661596e-05,2007-07-01,412.5,320.0,341.6666666666667,733.3333333333334,793.75,600.0,465.0,232.63586233520496,524.1170634920635,223.28116590649532,330.0,-83.33333333333337,129.0,259.2422222222222,3.034422559361847e-05,1.177359295338801e-05,-0.4999999999999997,-0.8660254037844388
vadodara,Water Melon,2007,7,350.0,3,504.7,16.280645161290323,3.967914625418245e-05,2007-07-01,600.0,650.0,320.0,341.6666666666667,314.2857142857143,850.0,437.2222222222222,184.5891333425349,500.1587301587301,194.40832187955382,-300.0,8.333333333333314,703.8,188.84222222222218,3.801545489661596e-05,9.407727425042707e-06,-0.4999999999999997,-0.8660254037844388
vadodara,Water Melon,2007,8,450.0,2,347.2,11.2,5.419045708371983e-05,2007-08-01,885.0,350.0,650.0,320.0,641.6666666666666,400.0,440.0,182.48287590894654,506.11111111111114,188.02088142504775,100.0,130.0,1208.5,76.96486486486481,3.967914625418245e-05,2.3846231490101365e-05,-0.8660254037844384,-0.5000000000000004
bharuch,Water Melon,2007,9,731.25,4,229.7,7.656666666666666,5.022479736082092e-05,2007-09-01,428.57142857142856,450.0,350.0,650.0,733.3333333333334,316.6666666666667,483.3333333333333,152.75252316519462,474.1666666666667,176.30072162201847,281.25,81.25,1427.0,26.22799999999998,5.419045708371983e-05,1.2209342464204955e-05,-1.0,-1.8369701987210297e-16
vadodara,Water Melon,2007,9,412.5,4,239.7,7.989999999999999,6.194477953226441e-05,2007-09-01,791.6666666666666,731.25,450.0,350.0,341.6666666666667,679.1666666666666,510.4166666666667,197.6752914082418,473.8194444444445,175.68920172239345,-318.75,62.5,1081.6000000000001,36.22799999999998,5.022479736082092e-05,2.2265633278081963e-05,-1.0,-1.8369701987210297e-16
surendranagar,Water Melon,2007,10,600.0,1,0.6000000000000001,0.0193548387096774,4.408292794509679e-05,2007-10-01,466.6666666666667,412.5,731.25,450.0,320.0,300.0,531.25,174.21699830957937,485.625,167.20823469554364,187.5,150.0,816.6,-26.822641509433964,6.194477953226441e-05,-1.0107529138623044e-05,-0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2007,10,885.0,5,0.4,0.0129032258064516,4.7102130203068566e-05,2007-10-01,466.6666666666667,600.0,412.5,731.25,650.0,793.75,581.25,160.20007022470364,532.2916666666666,149.91751204134454,285.0,153.75,470.0000000000001,-27.022641509433967,4.408292794509679e-05,-3.1226671577523507e-06,-0.8660254037844386,0.5000000000000001
vadodara,Water Melon,2007,10,428.57142857142856,7,0.0,0.0,5.5396652463983886e-05,2007-10-01,625.0,885.0,600.0,412.5,350.0,314.2857142857143,632.5,237.92068005955258,571.4583333333334,206.7462464391233,-456.42857142857144,16.071428571428555,240.7000000000001,-27.422641509433966,4.7102130203068566e-05,-6.548127068280525e-06,-0.8660254037844386,0.5000000000000001
bharuch,Water Melon,2007,11,791.6666666666666,3,9.7,0.3233333333333333,4.435437701957975e-05,2007-11-01,500.0,428.57142857142856,885.0,600.0,450.0,641.6666666666666,637.8571428571428,230.55722207959832,584.5535714285714,191.8666279832778,363.0952380952381,191.66666666666663,1.0000000000001137,-3.0775000000000006,5.5396652463983886e-05,2.714490744829608e-07,-0.5000000000000004,0.8660254037844384
vadodara,Water Melon,2007,11,466.6666666666667,3,7.8,0.26,5.1608925171033294e-05,2007-11-01,500.0,791.6666666666666,428.57142857142856,885.0,731.25,733.3333333333334,701.7460317460317,241.13492207160536,641.4980158730158,194.62742190388786,-324.99999999999994,-418.3333333333333,10.100000000000113,-4.9775,4.435437701957975e-05,4.506794967964728e-06,-0.5000000000000004,0.8660254037844384
vadodara,Water Melon,2007,12,466.6666666666667,3,0.0,0.0,4.7206671382386245e-05,2007-12-01,450.0,466.6666666666667,791.6666666666666,428.57142857142856,412.5,341.6666666666667,562.3015873015872,199.54715361411468,597.4007936507936,200.121142685652,0.0,38.09523809523813,17.500000000000114,-3.372093023255814,5.1608925171033294e-05,-8.189981081597641e-06,-2.4492935982947064e-16,1.0
bharuch,Water Melon,2007,12,625.0,1,0.0,0.0,4.152593111203125e-05,2007-12-01,450.0,466.6666666666667,466.6666666666667,791.6666666666666,600.0,320.0,574.9999999999999,187.63883748662835,606.4285714285714,191.13161045993112,158.33333333333331,-166.66666666666663,17.500000000000114,-3.372093023255814,4.7206671382386245e-05,-2.8284459075485026e-06,-2.4492935982947064e-16,1.0
vadodara,Water Melon,2008,1,500.0,6,0.0,0.0,4.419207954106041e-05,2008-01-01,766.6666666666666,625.0,466.6666666666667,466.6666666666667,885.0,650.0,519.4444444444445,91.41379262169073,610.5952380952381,191.23591051208925,-125.0,33.333333333333314,7.8000000000001135,-1.4951219512195122,4.152593111203125e-05,-7.4168456299728835e-06,0.49999999999999994,0.8660254037844387
vadodara,Water Melon,2008,2,500.0,3,0.6,0.0206896551724137,4.0486495478164206e-05,2008-02-01,400.0,500.0,625.0,466.6666666666667,428.57142857142856,350.0,530.5555555555555,83.47210667398177,546.4285714285714,137.90216387976332,0.0,33.333333333333314,0.0,-0.3750943396226415,4.419207954106041e-05,-6.720175904222039e-06,0.8660254037844386,0.5000000000000001
banaskantha,Water Melon,2008,2,450.0,1,0.6,0.0206896551724137,3.65303480565854e-05,2008-02-01,400.0,500.0,500.0,625.0,791.6666666666666,450.0,541.6666666666666,72.16878364870321,558.3333333333334,128.45232578665136,-50.0,-175.0,0.6000000000001137,-0.3750943396226415,4.0486495478164206e-05,-4.995583055445845e-06,0.8660254037844386,0.5000000000000001
amreli,Water Melon,2008,2,450.0,1,0.0,0.0,3.963991576450183e-05,2008-02-01,950.0,450.0,500.0,500.0,466.6666666666667,731.25,483.3333333333333,28.86751345948117,501.3888888888889,63.77405138165229,0.0,-50.0,1.2000000000001136,-0.9750943396226415,3.65303480565854e-05,-4.5521637765585785e-06,0.8660254037844386,0.5000000000000001
ahmadabad,Water Melon,2008,2,766.6666666666666,12,0.0,0.0,3.675588447087456e-05,2008-02-01,933.3333333333334,450.0,450.0,500.0,466.6666666666667,412.5,466.6666666666667,28.86751345948117,498.61111111111114,65.91591164056979,316.66666666666663,266.66666666666663,1.2000000000001136,-0.9750943396226415,3.963991576450183e-05,-3.7306110072896447e-06,0.8660254037844386,0.5000000000000001
amreli,Water Melon,2008,3,400.0,1,0.0,0.0,3.046723996764088e-05,2008-03-01,400.0,766.6666666666666,450.0,450.0,625.0,600.0,555.5555555555555,182.82758524338146,548.6111111111111,124.54546990587049,-366.66666666666663,-50.0,0.6000000000001137,-1.3847457627118644,3.675588447087456e-05,-6.063108088944522e-06,1.0,6.123233995736766e-17
vadodara,Water Melon,2008,3,400.0,2,2.4,0.0774193548387096,3.629118589778593e-05,2008-03-01,350.0,400.0,766.6666666666666,450.0,500.0,885.0,538.8888888888888,198.83922409081418,511.1111111111111,130.66780044859584,0.0,-50.0,0.0,1.0152542372881355,3.046723996764088e-05,-3.3487298667159024e-06,1.0,6.123233995736766e-17
bharuch,Water Melon,2008,3,950.0,3,0.3,0.0096774193548387,2.974685829542553e-05,2008-03-01,625.0,400.0,400.0,766.6666666666666,500.0,428.57142857142856,522.2222222222222,211.6950987028627,494.4444444444444,138.51059593108812,550.0,183.33333333333337,2.4000000000001136,-1.0847457627118644,3.629118589778593e-05,-7.009026175449032e-06,1.0,6.123233995736766e-17
ahmadabad,Water Melon,2008,3,933.3333333333334,3,0.8999999999999999,0.0290322580645161,2.8589756115341467e-05,2008-03-01,713.3333333333334,950.0,400.0,400.0,450.0,791.6666666666666,583.3333333333334,317.54264805429415,569.4444444444445,232.23949962309428,-16.66666666666663,533.3333333333334,2.7000000000001134,-0.48474576271186454,2.974685829542553e-05,-1.8774838522994123e-06,1.0,6.123233995736766e-17
vadodara,Water Melon,2008,4,400.0,12,0.2,0.0066666666666666,3.371226434000109e-05,2008-04-01,581.25,933.3333333333334,950.0,400.0,450.0,466.6666666666667,761.111111111111,312.8424050066909,650.0,264.1548367487861,-533.3333333333334,0.0,3.6000000000001133,-0.8975,2.8589756115341467e-05,-2.578921557784837e-06,0.8660254037844387,-0.4999999999999998
amreli,Water Melon,2008,4,350.0,2,2.5,0.0833333333333333,2.636786595981637e-05,2008-04-01,850.0,400.0,933.3333333333334,950.0,766.6666666666666,466.6666666666667,761.111111111111,312.8424050066909,641.6666666666666,272.3865717036075,-50.0,-600.0,1.4000000000001136,1.4025,3.371226434000109e-05,-3.378992335609159e-06,0.8660254037844387,-0.4999999999999998
bharuch,Water Melon,2008,4,625.0,8,0.0,0.0,2.802789301833213e-05,2008-04-01,333.3333333333333,350.0,400.0,933.3333333333334,400.0,625.0,561.1111111111111,323.32187837669915,572.2222222222223,286.87331053323237,275.0,-308.33333333333337,3.6000000000001133,-1.0975,2.636786595981637e-05,-5.618630970093359e-07,0.8660254037844387,-0.4999999999999998
ahmadabad,Water Melon,2008,4,713.3333333333334,15,2.4,0.08,2.3945607607829e-05,2008-04-01,421.875,625.0,350.0,400.0,400.0,500.0,458.3333333333333,146.4866319270578,609.7222222222223,274.2877983000636,88.33333333333337,313.33333333333337,2.7000000000001134,1.3025,2.802789301833213e-05,-9.766656732172094e-06,0.8660254037844387,-0.4999999999999998
banaskantha,Water Melon,2008,4,581.25,8,0.2,0.0066666666666666,3.65303480565854e-05,2008-04-01,400.0,713.3333333333334,625.0,350.0,950.0,500.0,562.7777777777777,189.4900564184872,661.9444444444445,255.56129220614412,-132.08333333333337,231.25,4.900000000000113,-0.8975,2.3945607607829e-05,1.0162482096769032e-05,0.8660254037844387,-0.4999999999999998
ahmadabad,Water Melon,2008,5,850.0,4,0.0,0.0,2.1848210216849822e-05,2008-05-01,625.0,581.25,713.3333333333334,625.0,933.3333333333334,450.0,639.8611111111111,67.28403379482887,600.4861111111112,213.27479936995928,268.75,225.0,2.6000000000001133,-5.493975903614458,3.65303480565854e-05,-6.179682801482309e-06,0.49999999999999994,-0.8660254037844387
