district,year,month,monthly_rain_sum,monthly_rain_mean
ahmadabad,2003,1,0.1,0.0032258064516129
ahmadabad,2003,2,10.9,0.3892857142857143
ahmadabad,2003,3,0.0,0.0
ahmadabad,2003,4,0.4,0.0133333333333333
ahmadabad,2003,5,0.0,0.0
ahmadabad,2003,6,87.2,2.9066666666666667
ahmadabad,2003,7,397.5,12.82258064516129
ahmadabad,2003,8,194.5,6.274193548387097
ahmadabad,2003,9,19.4,0.6466666666666666
ahmadabad,2003,10,0.6,0.0193548387096774
ahmadabad,2003,11,0.0,0.0
ahmadabad,2003,12,0.0,0.0
ahmadabad,2004,1,0.0,0.0
ahmadabad,2004,2,0.0,0.0
ahmadabad,2004,3,0.0,0.0
ahmadabad,2004,4,0.0,0.0
ahmadabad,2004,5,11.0,0.3548387096774194
ahmadabad,2004,6,114.8,3.826666666666666
ahmadabad,2004,7,275.8,8.896774193548387
ahmadabad,2004,8,483.0,15.580645161290322
ahmadabad,2004,9,29.2,0.9733333333333332
ahmadabad,2004,10,22.7,0.732258064516129
ahmadabad,2004,11,0.1,0.0033333333333333
ahmadabad,2004,12,0.5,0.0161290322580645
ahmadabad,2005,1,0.0,0.0
ahmadabad,2005,2,0.0,0.0
ahmadabad,2005,3,0.0,0.0
ahmadabad,2005,4,0.0,0.0
ahmadabad,2005,5,1.5,0.0483870967741935
ahmadabad,2005,6,314.8,10.493333333333334
ahmadabad,2005,7,279.9,9.029032258064516
ahmadabad,2005,8,276.5,8.919354838709678
ahmadabad,2005,9,296.3,9.876666666666669
ahmadabad,2005,10,0.0,0.0
ahmadabad,2005,11,0.0,0.0
ahmadabad,2005,12,0.0,0.0
ahmadabad,2006,1,0.0,0.0
ahmadabad,2006,2,0.0,0.0
ahmadabad,2006,3,4.7,0.1516129032258064
ahmadabad,2006,4,0.0,0.0
ahmadabad,2006,5,1.6,0.0516129032258064
ahmadabad,2006,6,112.9,3.7633333333333336
ahmadabad,2006,7,614.2,19.81290322580645
ahmadabad,2006,8,588.0,18.967741935483872
ahmadabad,2006,9,114.0,3.8
ahmadabad,2006,10,0.0,0.0
ahmadabad,2006,11,0.2,0.0066666666666666
ahmadabad,2006,12,0.0,0.0
ahmadabad,2007,1,0.0,0.0
ahmadabad,2007,2,0.0,0.0
ahmadabad,2007,3,1.0,0.032258064516129
ahmadabad,2007,4,1.5,0.05
ahmadabad,2007,5,0.1,0.0032258064516129
ahmadabad,2007,6,85.1,2.8366666666666664
ahmadabad,2007,7,302.7,9.764516129032256
ahmadabad,2007,8,330.1,10.648387096774194
ahmadabad,2007,9,231.9,7.73
ahmadabad,2007,10,1.0,0.032258064516129
ahmadabad,2007,11,1.8,0.06
ahmadabad,2007,12,0.0,0.0
ahmadabad,2008,1,0.0,0.0
ahmadabad,2008,2,0.0,0.0
ahmadabad,2008,3,0.8999999999999999,0.0290322580645161
ahmadabad,2008,4,2.4,0.08
ahmadabad,2008,5,0.0,0.0
ahmadabad,2008,6,75.9,2.53
ahmadabad,2008,7,283.1,9.13225806451613
ahmadabad,2008,8,235.9,7.609677419354837
ahmadabad,2008,9,131.1,4.37
ahmadabad,2008,10,2.2,0.0709677419354838
ahmadabad,2008,11,6.2,0.2066666666666666
ahmadabad,2008,12,0.8,0.0258064516129032
ahmadabad,2009,1,0.0,0.0
ahmadabad,2009,2,0.0,0.0
